名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注
智能首饰盒,Swarovski,Smart Jewelry Box,两年保修,Swarovski OS,Swarovski AG,ARM Cortex-M4,ESP32-WROOM-32,APP控制,珠宝管理助手,自动恒温，实时监控珠宝状态,家庭珠宝存储,2022-04-01,家居设计杂志,https://www.home-design.com,,
智能烤箱,美的,Midea MCO-150,三年保修,Midea OS,美的集团,ARM Cortex-A72,NXP LPC1788,语音控制与APP,烹饪助手,智能调节温度，自动烹饪食谱,家庭厨房,2023-08-12,厨房电器论坛,https://www.applianceforum.com,,
智能窗帘控制系统,Lutron,Sivoia QS,五年保修,Lutron OS,Lutron Electronics,ARM Cortex-M0,Microchip PIC16F1823,APP控制,室内光线调节器,自动调整窗帘以适应光线变化,家庭环境调节,2023-06-20,智能家居科技展,https://www.smarthomeexpo.com,,
智能猫眼,Augusta,Smart Peephole,两年保修,Augusta OS,Augusta Technology,ARM Cortex-M4,Silicon Labs EFR32MG,APP控制,家庭安全助手,实时视频监控，访客识别,家庭安全,2022-02-10,家庭安防杂志,https://www.homesecuritymag.com,,
智能植物生长灯,Philips,GrowLight 600,三年保修,Philips Garden OS,Philips Lighting,ARM Cortex-A7,NXP LPC5500,APP控制,植物健康助手,提供最佳光谱，全方位照顾植物成长,家庭园艺,2023-07-18,园艺科技论坛,https://www.gardenforum.com,,
智能节水器具,Rain Bird,Smart Irrigation Controller,两年保修,Rain Bird OS,Rain Bird Corporation,ARM Cortex-M0,Embedded Microcontrollers,APP控制,水资源管理工具,智能调节浇水时间与量,家庭园艺,2022-05-05,水资源管理研究,https://www.watermanagement.com,,
智能面包机,Breville,BBM800XL,三年保修,Breville OS,Breville Group,ARM Cortex-A8,Analog Devices ADuC7026,触摸控制与APP,烘焙助手,智能配方，根据食材调整烘烤时间,家庭厨房,2023-01-30,美容与健康杂志,https://www.healthandbeauty.com,,
智能宠物喂食器,PetSafe,Smart Feed,两年保修,PetSafe OS,PetSafe Inc.,ARM Cortex-M4,Nordic nRF52840,APP控制,宠物管理工具,定时喂食，监控宠物饮食,家庭宠物管理,2022-09-15,宠物科技新报,https://www.pettechnews.com,,
智能音乐播放器,Sonos,Sonos One,五年保修,Sonos OS,Sonos Inc.,ARM Cortex-A53,Qualcomm QCA9377,语音控制,音乐推荐助手,智能播放音乐，自动推荐歌单,家庭娱乐,2023-02-28,家庭影音产品评测,https://www.audiovideoreviews.com,,
智能暖气控制器,Honeywell,Home T9,五年保修,Honeywell OS,Honeywell International Inc.,ARM Cortex-A8,Texas Instruments CC2640R2F,APP控制,家庭温度调节器,根据家庭使用习惯智能调节室温,家庭生活,2023-03-20,家居技术新闻,https://www.hometecnologynews.com,,
