服务商（字符型）,拥有内容类型（字符型）,拥有数据库个数（字符型）,拥有加盟数据库个数（字符型）,每日新增全文文献数量（字符型）,每日新增知识元数量（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
微软,软件开发工具、技术支持文档,350,85,400,900,微软官网,https://www.microsoft.com/,2024-09-16,,,,,,,,,,,
Squarespace,网站建设工具、营销分析,150,30,200,600,Squarespace官网,https://www.squarespace.com/,2024-09-16,,,,,,,,,,,
微软Azure,云服务资源、业务智能,400,85,450,1000,微软Azure官网,https://azure.microsoft.com/zh-cn/,2024-09-16,,,,,,,,,,,
华为云,云服务、数据存储,360,80,550,1300,华为云官网,https://support.huaweicloud.com/,2024-09-16,,,,,,,,,,,
Adobe,创意资产、设计模板,280,65,600,1200,Adobe官网,https://www.adobe.com/cn/,2024-09-16,,,,,,,,,,,
百度云,云存储数据、用户操作,450,90,650,1400,百度云官网,https://cloud.baidu.com/,2024-09-16,,,,,,,,,,,
小米云,智能家居数据、产品文档,250,60,400,900,小米科技官网,https://www.mi.com/,2024-09-16,,,,,,,,,,,
小米科技,用户反馈、产品数据,220,30,300,700,小米官网,https://www.mi.com,2024-09-16,,,,,,,,,,,
CMI智库,市场研究、竞争分析,180,45,250,700,CMI智库官网,https://www.cmi.com.cn/,2024-09-16,,,,,,,,,,,
Salesforce,销售数据、客户反馈,460,120,500,1050,Salesforce官网,https://www.salesforce.com/,2024-09-16,,,,,,,,,,,
