产线名称,所属公司,产线类型,产线地域（国家）,产线地域（省）,产线地域（市）,投资额（数值型）,单位,建设周期,建成年产能（数值型）,单位.1,采集来源,来源链接,采集时间,备注,,,,,,,,,
誉鸿锦氮化镓中试线项目,誉鸿锦半导体有限公司,化合物产线,中国,广东省,深圳市,5000,万元,2022,1.5,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-09-12,,,,,,,,,,
三安光电氮化镓产线项目,三安光电科技股份有限公司,化合物产线,中国,福建省,福州市,30000,万元,2020,4000,万片,2022年中国氮化镓行业概览,https://pdf.dfcfw.com/pdf/H3_AP202210121579105279_1.pdf,2024-09-12,,,,,,,,,,
英诺赛科氮化镓生产线项目,英诺赛科半导体有限公司,化合物产线,中国,珠海市,广东省,20000,万元,2021,15000,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-09-12,,,,,,,,,,
海威华芯氮化镓生产线项目,海威华芯科技有限公司,化合物产线,中国,上海市,上海市,15000,万元,2023,10000,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-09-12,,,,,,,,,,
DB HiTek氮化镓生产线项目,DB HiTek,化合物产线,韩国,忠北道鄉城,待确认,20000,万元,Dec-23,待确认,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-09-12,,,,,,,,,,
Nexperia氮化镓生产线项目,Nexperia (Wingtech),化合物产线,德国,汉堡,待确认,25000,万元,2024,待确认,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-09-12,,,,,,,,,,
纳微半导体氮化镓生产线项目,纳微半导体有限公司,化合物产线,中国,江苏省,苏州市,18000,万元,2022,待确认,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-09-12,,,,,,,,,,
合力氮化镓中试线项目,合力半导体科技有限公司,化合物产线,中国,江苏省,南京市,22000,万元,2022,8000,万片,全球半导体报告2023,https://www.semiconductors.com,2024-09-12,,,,,,,,,,
光阳科技氮化镓生产线项目,光阳科技有限责任公司,化合物产线,中国,浙江省,杭州市,30000,万元,2023,12000,万片,自研产品研发报告,https://www.lighttech.com,2024-09-12,,,,,,,,,,
守信氮化镓制造线项目,守信半导体开发有限公司,化合物产线,中国,四川省,成都市,17000,万元,2022,7000,万片,四川省发展规划局,https://www.scplanning.gov.cn,2024-09-12,,,,,,,,,,
