机器人类型,障碍场景,最短路径,平均路径,路径长度标准差,平均迭代次数,采集来源,来源链接,采集时间,备注【疑问汇总】
移动机器人,室内复杂环境,5米,7米,0.5米,10,论文文献,https://www.xuekanba.com/lunwen/ligong/4-2291.html,2024-10-11,
移动机器人,室内复杂环境,5米,7米,0.5米,10,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-10-11,
服务机器人,家庭环境,3米,4.5米,0.3米,8,中国机器人产业联盟,https://www.robotics.org.cn,2024-10-11,
工业机器人,工厂车间,2米,3.2米,0.2米,6,教育部,https://www.moe.gov.cn,2024-10-11,
医疗机器人,手术室,1.5米,2米,0.1米,5,国家卫生健康委员会,https://www.nhc.gov.cn,2024-10-11,
农业机器人,开阔田野,10米,12米,1米,12,农业农村部,https://www.moa.gov.cn,2024-10-11,
特种机器人,灾后救援现场,8米,9.5米,0.7米,15,国家应急管理部,https://www.mem.gov.cn,2024-10-11,
移动机器人,户外城市环境,6,9,0.6,11,IEEE 机器人与自动化学会,https://www.ieee-ras.org,,
服务机器人,商业购物中心,4,5.5,0.4,9,中国科学院,https://www.cas.cn,,
工业机器人,高科技制造厂,3,4.5,0.3,7,中国机械工业联合会,http://www.cmif.org.cn,,
医疗机器人,康复中心,2,2.8,0.2,6,国际医疗器械协会,https://www.imda.org,,
农业机器人,现代化农田,8,10,0.8,14,农业科技部,https://www.moa.gov.cn,,
特种机器人,火灾救援现场,7,8.5,0.6,13,中国消防协会,https://www.cfa.gov.cn,,
家庭服务机器人,智能家居环境,3.5,4.2,0.2,7,家庭科技创新论坛,https://www.home-tech.cn,,
教育机器人,学校教室,2.5,3.1,0.2,8,教育创新合作平台,https://www.education-innovation.cn,,
配送机器人,居民小区,4.5,5.5,0.4,10,中国物流与采购联合会,http://www.cflp.org.cn,,
娱乐机器人,主题公园,5,6.5,0.5,12,中国机器人技术与应用大会,https://www.robotics-application.cn,,
移动机器人,室外城市环境,6,8,0.6,12,中国人工智能学会,https://www.caai.cn,,
服务机器人,老人护理家庭,2.5,3.8,0.4,7,北京市老龄办公室,https://www.beijing.gov.cn,,
工业机器人,高度自动化的制造车间,3,4.5,0.3,8,中国机械工业联合会,https://www.cmif.org,,
医疗机器人,医院急救中心,2,2.5,0.2,6,华大基因,https://www.genecompany.com,,
农业机器人,温室种植区,8,10,0.8,14,中国农业科学院,https://www.caas.cn,,
特种机器人,海洋探测场景,12,14,1.2,18,中国海洋局,http://www.soa.gov.cn,,
教育机器人,学校教室,1,1.8,0.1,4,教育部国家教育咨询服务中心,https://www.eduyuan.com.cn,,
配送机器人,商业街区,4,5.5,0.5,9,物流与配送协会,https://www.logistics.org.cn,,
