分类,品牌,领域,技术特点,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
运动品牌,安踏,运动鞋服,推出“水墨科技”，在鞋款中提供创新的透气性和轻量化,行业杂志、官网,https://www.anta.com,2024-09-18,,,,,,,,,,,,,
运动品牌,Under Armour,运动服饰,使用UA HOVR技术，确保长时间的舒适感和回弹力,体育新闻、公司公告,https://www.underarmour.com/,2024-09-18,,,,,,,,,,,,,
运动品牌,Fabletics,运动服饰,量身定制服务，结合时尚与功能,市场趋势分析、公司公告,https://www.fabletics.com,2024-09-18,,,,,,,,,,,,,
运动品牌,Hoka One One,跑鞋,MAXIMALIST设计理念，提供极致缓冲与支持,"Company Announcement, Runner's World",https://www.hokaoneone.com/,2024-09-18,,,,,,,,,,,,,
运动品牌,阿迪达斯,运动鞋服,HERB配方与循环经济理念结合，推出可回收鞋款,公司公告、前瞻网,https://www.adidas.com.cn/,2024-09-18,,,,,,,,,,,,,
运动品牌,Sketchers,运动鞋服,采用Hyper Burst中底技术，提供极致轻量及舒适性,公司公告、行业分析报告,https://www.skechers.com,2024-09-18,,,,,,,,,,,,,
运动品牌,安德玛,训练鞋,采用HOVR™技术，提供能量回馈和柔软舒适的穿着体验,公司公告、运动评论网站,https://www.underarmour.com,2024-09-18,,,,,,,,,,,,,
运动品牌,New Balance,训练鞋,采用Fresh Foam科技，提供更好的减震和舒适度，适合各类运动,行业分析报告、官网,https://www.newbalance.com/,2024-09-18,,,,,,,,,,,,,
运动品牌,Under Armour,运动服饰,采用HeatGear技术，保持穿着时身体凉爽，适合高温环境,体育科技论坛、市场调研,https://www.underarmour.com,2024-09-18,,,,,,,,,,,,,
运动品牌,安踏,篮球,结合飞织和抗撕裂材料，提供高强度耐用性,公司公告、运动品牌快讯,https://www.anta.com,2024-09-18,,,,,,,,,,,,,
