可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,可见光通信与光计算系统概述（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 17,Unnamed: 18,Unnamed: 19
VLC医疗通信系统,医疗通信,数据传输,医院、医疗机构,设备集成,试点项目,提升医疗数据安全性,LED灯数据传输,医疗信息化,行业合作,医疗技术,清华大学医院、联想集团,该系统用于医院内通过可见光通信安全传输医疗数据，提升患者隐私保护。,医学信息杂志,https://www.journalofmedicalinformatics.com/,2024-10-16,,,,
Li-Fi医疗网络,医疗通信,数据传输,医疗机构,医疗设备,临床试验,提高医疗数据传输安全性,利用可见光进行患者数据传输,医疗技术,医药公司合作,医疗行业,华中科技大学,Li-Fi医疗网络利用光信号确保医疗数据通信的安全性，适用于医院等环境。,医院科技,https://www.hospitaltech.com,2024-10-16,,,,
VLC Smart Grid,智能电网,能源管理,能源企业,硬件+软件,商业实验,优化能源传输,基于VLC的能源管理系统,可再生能源,产业合作,能源与通信,西安交通大学,VLC智能电网项目利用可见光技术优化能源分配和传输，提升能源使用效率。,IEEE期刊,https://www.ieee.org,2024-10-16,,,,
VLC Agricultural Monitoring,农业监测,数据收集,农场主,硬件传感器,技术推广,智能农业解决方案,光信号传输与传感器,精细农业,农业合作,农业科技,山东农业大学,VLC农业监测系统通过可见光技术帮助农场主实时监测农作物生长，提升农业生产效率。,Agricultural Systems,https://www.journals.elsevier.com/agricultural-systems,2024-10-16,,,,
Eco-VLC,生态友好型VLC,可持续通信,环保组织,绿色技术,正在测试,降低能耗,节能LED应用,环保科技,非营利组织合作,绿色技术,全球绿盟,Eco-VLC专注于利用可见光通信实现可持续的数据传输，降低环境影响。,全球绿盟,https://www.globalgreennetwork.org,2024-10-16,,,,
VLC卫星通信系统,卫星通信,数据传输,航空航天机构,硬件设备+软件,概念验证,提高远程数据传输能力,利用光信号传输数据,卫星导航、遥感,国际合作,航空航天,NASA,VLC卫星通信系统旨在通过微型卫星利用可见光进行远程数据传输，适用于遥感和环境监测。,NASA官网,https://www.nasa.gov,2024-10-16,,,,
光波计算架构,光计算,数据处理与优化,科研院所、高校,硬件加速,前沿研究,提升计算效率至千兆级,采用光波技术进行并行计算,高性能计算与量子计算,国际合作,科研与教育,斯坦福大学,光波计算架构利用光波进行数据运算，有望在未来的超级计算领域提供突破性进展。,Nature Review,https://www.nature.com/natreviews,2024-10-16,,,,
VLC智能家居系统,智能家居应用,自动化控制,家庭用户,软件应用,产品开发,提升家居智能化,基于LED的智能照明控制,智能家居,产业合作,智能家居行业,华为技术有限公司,VLC智能家居系统通过可见光通信实现智能照明与家电控制，提升家居品质和安全性。,华为官网,https://www.huawei.com/,2024-10-16,,,,
EduLiFi,教育工具,在线学习支持,学生、教育机构,在线服务,项目实施,便捷学习,基于光的互动学习,教育技术,教育合作,在线教育,教育部技术中心,EduLiFi为学生提供基于Li-Fi的在线学习支持，适用于各种教育场景。,教育创新论坛,https://www.edutechforum.com,2024-10-16,,,,
光网络传输系统,光通信技术,数据中心连接,大型企业,光纤连接,实验室阶段,提高数据传输能力,多通道光信号处理,云计算服务,藥企与科技公司合作,高科技产业,清华大学,光网络传输系统致力于通过光纤实现数据中心间高速连接，适应未来大数据要求。,光电子技术杂志,https://www.osa.org/en-us/publications/journals/optics-express/,2024-10-16,,,,
