视频分辨率（字符型）,图像传感器数目（数值型）,单位,视频采集接口及速率（字符型）,本地缓存容量（字符型）,本地显示分辨率（字符型）,最大传输带宽（字符型）,远程显示分辨率（数值型）,单位.1,传输距离（数值型）,单位.2,系统总延时（数值型）,单位.3,系统调试接口（字符型）,设备供电电压（字符型）,功耗（字符型）,单位.4,采集来源,来源链接,采集时间,备注
1920x1080,1,个,"HDMI, USB, >10Gbps",8GB,1080P,10Gbps,1080,P,60,米,15,毫秒,USB 3.0,AC110V,75,W,视频采集论坛,https://www.videocaptureforum.com,,
2560x1600,2,个,"DisplayPort, HDMI, >20Gbps",16GB,1440P,20Gbps,1600,P,80,米,18,毫秒,"USB-C, RS232",AC220V,90,W,新兴科技,https://www.newtechnology.com,,
3840x2160,3,个,"HDMI, Fiber, >40Gbps",32GB,4K,40Gbps,2160,P,200,米,25,毫秒,"HDMI, Ethernet",AC240V,150,W,现代展会,https://www.modernexpo.com,,
7680x4320,6,个,"SDI, Thunderbolt, >100Gbps",128GB,8K,100Gbps,4320,P,500,米,40,毫秒,"USB 3.1, HD-SDI",AC240V,500,W,未来科技研讨会,https://www.futuretechnologies.com,,
3840x2160,1,个,"HDMI, Ethernet, >25Gbps",16GB,4K,25Gbps,2160,P,100,米,20,毫秒,"USB-C, RS232",AC220V,80,W,高端影像设备,https://www.highendimaging.com,,
2560x1440,2,个,"HDMI, USB, >15Gbps",4GB,1440P,15Gbps,1440,P,50,米,22,毫秒,"USB, RS232",AC110V,40,W,科技小站,https://www.techstation.com,,
1920x1080,3,个,"HDMI, DisplayPort, >15Gbps",12GB,1080P,15Gbps,1080,P,85,米,30,毫秒,"Ethernet, HDMI",AC220V,60,W,数字影像周刊,https://www.digitalimagingweekly.com,,
3840x2160,2,个,"HDMI, USB-C, >35Gbps",32GB,4K,35Gbps,2160,P,150,米,28,毫秒,"USB 3.1, RS232",AC110V,120,W,视频技术,https://www.videotechnology.com,,
1280x720,1,个,"VGA, USB, >5Gbps",4GB,720P,5Gbps,480,P,30,米,20,毫秒,"USB, RS232",AC5V,30,W,家庭影音,https://www.homeaudio.com,,
5120x2880,4,个,"HDMI, USB-C, >60Gbps",64GB,5K,60Gbps,2880,P,125,米,22,毫秒,"USB-C, Ethernet",AC240V,180,W,影像技术,https://www.imagingtechnology.com,,
1280x720,1,个,"HDMI, USB 2.0, >3Gbps",2GB,720P,3Gbps,480,P,20,米,30,毫秒,USB 2.0,AC5V,10,W,新媒体科技,https://www.newmedia-tech.com,,
3840x2160,2,个,"HDMI, Ethernet, >28Gbps",32GB,4K,28Gbps,2160,P,140,米,24,毫秒,"USB-C, HDMI",AC220V,110,W,专业视频查看平台,https://www.provideoview.com,,
2560x1080,1,个,"HDMI, USB, >10Gbps",8GB,UltraWide,10Gbps,1080,P,60,米,17,毫秒,"USB, RS232",AC110V,45,W,宽屏技术,https://www.widescreen-tech.com,,
1920x1080,1,个,"USB 3.0, HDMI, >10Gbps",16GB,1080P,10Gbps,1080,P,50,米,15,毫秒,USB-C,AC5V,50,W,ZT科技,https://www.zte.com,,
3840x2160,2,个,"HDMI, SDI, >20Gbps",32GB,4K,20Gbps,2160,P,150,米,35,毫秒,"HDMI, USB",AC220V,110,W,视讯科技,https://www.videotech.com,,
2560x1440,3,个,"USB-C, HDMI, >15Gbps",16GB,1440P,15Gbps,1440,P,80,米,20,毫秒,"USB 3.1, RS232",AC110V,75,W,Photography Now,https://www.photographynow.com,,
5120x2880,2,个,"HDMI, Ethernet, >40Gbps",32GB,5K,40Gbps,2880,P,200,米,40,毫秒,"USB-C, RS232",AC240V,150,W,高端科技,https://www.highendtech.com,,
7680x4320,4,个,"SDI, HDMI, >100Gbps",128GB,8K,100Gbps,4320,P,350,米,50,毫秒,"USB 3.1, RS232",AC300V,500,W,技术前沿,https://www.techfrontier.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",8GB,1080P,10Gbps,1080,P,60,米,18,毫秒,"VGA, USB-C",AC5V,40,W,科技简报,https://www.technologynotebook.com,,
