海工装备名称,基础零部件,基础工艺,基础材料,核心零部件,高端工艺,采集来源,来源链接,采集时间,备注,,,,,,,,,,
海上风电机组,风机叶片,复合材料成型,碳纤维,发电机,数控加工,前瞻产业研究院,https://finance.sina.com.cn/roll/2024-08-15/doc-incitaan3546060.shtml,2024-09-21,,,,,,,,,,,
海洋钻井平台,钻头,焊接,钢材,钻井管,激光切割,前瞻产业研究院,https://finance.sina.com.cn/roll/2024-08-15/doc-incitaan3546060.shtml,2024-09-21,,,,,,,,,,,
深海养殖平台,网箱,注塑成型,塑料,养殖设备,自动化装配,前瞻产业研究院,https://finance.sina.com.cn/roll/2024-08-15/doc-incitaan3546060.shtml,2024-09-21,,,,,,,,,,,
海洋能发电设备,浮筒,模块化设计,聚氨酯,发电机组,3D打印技术,前瞻产业研究院,https://finance.sina.com.cn/roll/2024-08-15/doc-incitaan3546060.shtml,2024-09-21,,,,,,,,,,,
海底管道铺设船,铺缆机,精密机械加工,合金钢,管道,激光焊接,前瞻产业研究院,https://finance.sina.com.cn/roll/2024-08-15/doc-incitaan3546060.shtml,2024-09-21,,,,,,,,,,,
海洋潮汐发电站,潮汐涡轮,BIM设计,钛合金,发电系统,智能监控技术,中国海洋研究院,https://www.ocean.org.cn,2024-09-21,,,,,,,,,,,
深海探测器,探测传感器,激光雕刻,高密度聚乙烯,数据采集单元,无人驾驶技术,海洋科技网,https://www.oceantech.com,2024-09-21,,,,,,,,,,,
浮动漂浮平台,浮筒,封装技术,海洋工程专用复合材料,能量管理系统,物联网集成,前瞻产业研究院,https://finance.sina.com.cn,2024-09-21,,,,,,,,,,,
海洋深水探测器,声纳设备,精密铣削,铝合金,探测设备,虚拟现实模拟,国家海洋局,http://www.soa.gov.cn,2024-09-21,,,,,,,,,,,
海洋监测浮标,监测传感器,结构分析,塑料复合材料,通信模块,数据加密技术,海洋环境监测中心,http://www.cme.gov.cn,2024-09-21,,,,,,,,,,,
海底采矿工具,抓斗,铸造和锻造,高强度钢材,采矿钻头,深水作业技术,国际海洋开发研究中心,http://www.imdcenter.org,2024-09-21,,,,,,,,,,,
海洋水下无人机,推进器,多材料焊接,复合塑料,控制系统,自动导航技术,深海探索研究所,http://www.deepsearesearch.org,2024-09-21,,,,,,,,,,,
漂流式海洋电站,能量转换器,模组设计,海洋耐腐蚀材料,发电机组,数字化监控,海洋能源技术协会,http://www.ocean-energy.org,2024-09-21,,,,,,,,,,,
海底水管铺设设备,输送管,冶金加工,聚乙烯,水泵,自动化控制系统,中国水利部,http://www.mwr.gov.cn,2024-09-21,,,,,,,,,,,
海洋浮动风电平台,浮筒,复合材料成型,树脂,发电机组,自动化生产,国际海洋能源协会,https://www.ieoa.org/,2024-09-21,,,,,,,,,,,
深海气候监测浮标,数据采集装置,组装,塑料,传感器,物联网应用,海洋卫星信息中心,https://www.osm.org.cn/,2024-09-21,,,,,,,,,,,
水下机器人,电池,精密制造,铝合金,摄像头,人工智能控制,海洋技术发展论坛,https://www.marine-tech.org/,2024-09-21,,,,,,,,,,,
海洋探测船,声纳设备,焊接,不锈钢,导航系统,3D激光扫描,中国海事网,https://www.comchina.net/,2024-09-21,,,,,,,,,,,
深水排水系统,泵,铸造,聚丙烯,过滤装置,模块化设计,海洋资源开发杂志,https://www.marine-resources.com/,2024-09-21,,,,,,,,,,,
智能化水下管道监测系统,探测仪,精密机械加工,钛合金,数据传输模块,云技术整合,全球海洋观察网络,https://www.gomn.org/,2024-09-21,,,,,,,,,,,
海洋采矿平台,切割工具,高温焊接,钢材,采矿机,智能化操作系统,国家海洋局,https://www.soa.gov.cn/,2024-09-21,,,,,,,,,,,
海底通信电缆铺设船,电缆卷筒,缠绕,聚乙烯,电缆,数字化监控,海洋经济研究中心,https://www.marine-economy.org/,2024-09-21,,,,,,,,,,,
海洋废物处理系统,处理箱,塑料成型,铝,处理单元,生物降解技术,全球生态观测网,https://www.geon.org/,2024-09-21,,,,,,,,,,,
海洋科研平台,实验室设备,组装,合成材料,数据分析系统,大数据应用,海洋科学与技术杂志,https://www.marine-science.com/,2024-09-21,,,,,,,,,,,
海洋浮动平台,浮筒,模具成型,高强度钢,发电机组,计算机数控加工,中国船舶重工集团,https://www.cssc.net/,2024-09-21,,,,,,,,,,,
海底探测器,声纳传感器,精准焊接,铝合金,数据传输装置,实时数据处理,海洋工程研究院,http://www.oceanresearch.cn/,2024-09-21,,,,,,,,,,,
抗风浪海上平台,支架,自动化焊接,不锈钢,稳压器,3D打印技术,国际海洋工程协会,https://www.oma.org/,2024-09-21,,,,,,,,,,,
潮汐能发电机,涡轮,热处理,复合材料,发电机,风洞测试,清华大学能源研究所,https://www.tsinghua.edu.cn/,2024-09-21,,,,,,,,,,,
海洋清洁机器人,动力模块,注塑成型,防腐塑料,垃圾收集装置,AI导航技术,中国环境保护部,http://www.mee.gov.cn/,2024-09-21,,,,,,,,,,,
开放式养殖网箱,浮子,急冷成型,高分子材料,养殖网格,环境监测系统,全球水产养殖论坛,https://www.worldfishcenter.org/,2024-09-21,,,,,,,,,,,
多功能海工服务船,救生艇,机械加工,合金铝,动力系统,船体防腐喷涂,国家海洋局,http://www.soa.gov.cn/,2024-09-21,,,,,,,,,,,
深水开发平台,升降系统,精密铸造,低合金钢,深水钻头,智能监控技术,中国海洋工程网,http://www.oceans.gov.cn/,2024-09-21,,,,,,,,,,,
海浪发电机组,波浪能捕捉器,组合焊接,特种钢材,电力转换器,动态测试平台,能源与动力研究院,https://www.energy-institute.com/,2024-09-21,,,,,,,,,,,
海水淡化设备,反渗透膜,膜分离技术,聚酰胺,高压泵,精确流量控制,水利部,http://www.mwr.gov.cn/,2024-09-21,,,,,,,,,,,
波浪能发电装置,波浪能浮筒,模块化组装,增强聚合物,发电整流器,智能控制系统,海洋能源研究中心,https://www.oceanenergy.org/,2024-09-21,,,,,,,,,,,
潜水机器人,水下摄像头,电路板焊接,铝合金,推进器,人工智能导航,中国海洋大学,https://www.ouc.edu.cn/,2024-09-21,,,,,,,,,,,
海洋风电运维船,救生艇,改性塑料焊接,不锈钢,动力系统,远程监控系统,国际海洋工程协会,https://www.imarest.org/,2024-09-21,,,,,,,,,,,
深海探测器,传感器,精密仪器组装,碳纤维复合材料,数据处理单元,虚拟现实系统,海洋技术与工程管理学院,https://www.semar.edu.cn/,2024-09-21,,,,,,,,,,,
海洋气候监测系统,气象传感器,集成电路制造,塑料,数据记录器,云数据分析,国家气候中心,https://www.ncc-cma.net/,2024-09-21,,,,,,,,,,,
海底操作机器人,抓手,机械加工,钛合金,电动机,自主学习算法,海底技术研发公司,https://www.subtech.com/,2024-09-21,,,,,,,,,,,
海洋防污染系统,油污分离器,化学材料合成,高分子聚合物,清洗装置,生物降解技术,环境保护部,https://www.epa.gov.cn/,2024-09-21,,,,,,,,,,,
多功能水下无人机,舵,模具成型,复合塑料,定位系统,多任务处理,国家海洋局,https://www.soa.gov.cn/,2024-09-21,,,,,,,,,,,
船舶动力系统,推进器,铸造,合金钢,发动机,高效燃烧技术,航运技术协会,https://www.istp.org/,2024-09-21,,,,,,,,,,,
海洋可再生能源平台,太阳能电池板,电池组装,硅材料,储能系统,智能管理系统,可再生能源发展报告,https://www.renewableenergyworld.com/,2024-09-21,,,,,,,,,,,
海上风电服务船,动力系统,装配,铝合金,起重机,精密定位,Global Wind Energy Council,https://gwec.net,2024-09-21,,,,,,,,,,,
海洋观测浮标,传感器,模块化设计,聚乙烯,无线通讯系统,嵌入式系统开发,国家海洋局,http://www.soa.gov.cn,2024-09-21,,,,,,,,,,,
海底矿产开采船,集矿装置,电缆管理,耐腐蚀合金,采矿机器人,自动化控制,International Marine Mining Association,https://imma.org,2024-09-21,,,,,,,,,,,
深海潜水器,观察窗,耐压测试,钛合金,推进器,3D打印技术,Deep Sea Exploration Services,https://dse-services.com,2024-09-21,,,,,,,,,,,
海水淡化装置,反渗透膜,化学处理,聚酰胺,泵,膜技术开发,Water Desalination Research,https://www.wdr.org,2024-09-21,,,,,,,,,,,
海洋风力发电浮筒,锚链,机械焊接,高强度钢,发电机组,磁悬浮技术,Renewable Energy World,https://www.renewableenergyworld.com,2024-09-21,,,,,,,,,,,
