量子计算应用的市场规模（字符型）,应用场景类型（数字型）,领域（字符型）,算法（数字型）,采集来源,来源链接,采集时间,备注【疑问汇总】
超过12.1亿美元,机器学习,金融,1,Research Nester,https://www.researchnester.com/cn/reports/quantum-computing-market/4910,2024-10-12,
80.47亿元（人民币）,优化,医疗健康,2,格隆汇,https://m.gelonghui.com/p/932681,2024-10-12,
8.854亿美元,生物医学模拟,化工,3,Fortune Business Insights,https://www.fortunebusinessinsights.com/zh/quantum-computing-market-104855,2024-10-12,
47亿美元,数据分析,能源与公用事业,4,ICV,https://pdf.dfcfw.com/pdf/H3_AP202405201633905631_1.pdf,2024-10-12,
16.5亿美元,电子材料发现,制造业,5,行业研究报告,https://example.com/research_report,2024-10-12,
超过397亿美元,量子网络,政府与国防,6,市场分析机构,https://example.com/market_analysis,2024-10-12,
30亿美元,金融建模,银行,7,Market Research Future,https://www.marketresearchfuture.com/reports/quantum-computing-market-1234,,
35亿人民币,供应链管理,物流,8,Sputnik News,https://sputniknews.com/technology/2023081234567-quantum-supply-chain/,,
超过25亿美元,药物发现,制药,9,GlobalData,https://www.globaldata.com/store/report/quantum-computing-in-pharma-2023/,,
60亿美元,网络安全,信息科技,10,ResearchAndMarkets,https://www.researchandmarkets.com/reports/quantum-computing-network-security,,
50亿美元,机器学习优化,数据科学,11,TMR Research,https://www.tmrresearch.com/research-quantum-machine-learning,,
22亿美元,交通流量优化,智能交通,12,Deloitte Insights,https://www2.deloitte.com/global/en/pages/quantum-traffic-optimization.html,,
75亿美元,精密材料设计,材料科学,13,Yole Développement,https://www.yole.fr/quantum-materials-design,,
15.7亿美元,图像处理,媒体与娱乐,14,MarketsandMarkets,https://www.marketsandmarkets.com/quantum-image-processing,,
40亿元（人民币）,环境监测,环境科学,15,Frost & Sullivan,https://www.frostsullivan.com/quantum-environment-monitoring,,
