传感器名称（字符型）,传感器类型（字符型）,标识符合（字符型）,传感器地址（字符型）,鲁棒性（字符型）,数据类型（字符型）,接口协议（字符型）,平台协议（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
温度传感器,物理传感器,TS-001,/dev/temp,高,数字,I2C,MQTT,环境监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,2024-10-10,
湿度传感器,物理传感器,HS-002,/dev/humidity,中,数字,SPI,CoAP,气象站,https://www.iot101.com/mobile/news/785.html,2024-10-10,
压力传感器,物理传感器,PS-003,/dev/pressure,高,模拟,UART,HTTP,工业监控,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,2024-10-10,
光电传感器,物理传感器,LS-004,/dev/light,中,数字,I2C,MQTT,智能家居,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,2024-10-10,
加速度传感器,物理传感器,AS-005,/dev/accel,高,数字,SPI,CoAP,移动设备,https://www.iot101.com/mobile/news/785.html,2024-10-10,
气体传感器,化学传感器,GS-006,/dev/gas,中,模拟,UART,HTTP,环境监测,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,2024-10-10,
声音传感器,物理传感器,MS-007,/dev/sound,中,数字,I2C,MQTT,安防系统,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,2024-10-10,
生物传感器,生物传感器,BS-008,/dev/bio,高,模拟,SPI,CoAP,医疗监测,https://www.iot101.com/mobile/news/785.html,2024-10-10,
磁场传感器,物理传感器,MS-009,/dev/magnet ,中 ,数字 ,UART ,HTTP ,自动驾驶 ,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,2024-10-10,
土壤湿度传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.agriculture.com,,
电流传感器,物理传感器,CS-011,/dev/current,中,模拟,SPI,HTTP,能源管理,https://www.energy.gov,,
颗粒物传感器,化学传感器,PM-012,/dev/particulate,高,数字,UART,CoAP,环境监测,https://www.airqualitymonitor.org,,
光谱传感器,光学传感器,SS-013,/dev/spectrum,中,数字,I2C,MQTT,实验室研究,https://www.science.org,,
心率监测传感器,生物传感器,HR-014,/dev/heart_rate,高,数字,UART,HTTP,健康监测,https://www.healthline.com,,
水质传感器,化学传感器,WQ-015,/dev/water_quality,高,数字,I2C,MQTT,水资源监测,https://www.waterquality.org,,
震动传感器,物理传感器,VS-016,/dev/vibration,中,模拟,SPI,CoAP,设施监控,https://www.assetmonitoring.com,,
烟雾传感器,化学传感器,FS-017,/dev/smoke,高,数字,UART,HTTP,安全监控,https://www.safety.com,,
风速传感器,物理传感器,WS-018,/dev/wind_speed,高,模拟,I2C,MQTT,气象监测,https://www.weather.gov,,
定位传感器,GPS传感器,GPS-019,/dev/gps,中,数字,UART,HTTP,导航系统,https://www.gps.gov,,
土壤湿度传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,精准农业,https://www.agriculture.com/technology/sensors,,
心率传感器,生物传感器,HR-011,/dev/heart_rate,中,模拟,SPI,HTTP,健康监测,https://www.healthtech.com/sensors,,
光辐射传感器,物理传感器,LR-012,/dev/light_radiation,高,数字,UART,CoAP,气象监测,https://www.weather.com/tech/sensors,,
水位传感器,物理传感器,WS-013,/dev/water_level,中,数字,I2C,MQTT,水资源管理,https://www.watermanagement.com/sensors,,
烟雾传感器,化学传感器,SS-014,/dev/smoke,高,模拟,UART,HTTP,安全系统,https://www.safety.com/sensors,,
气候传感器,物理传感器,CS-015,/dev/climate,中,数字,I2C,MQTT,环境监测,https://www.climate.com/tech/sensors,,
风速传感器,物理传感器,WS-016,/dev/wind_speed,高,数字,SPI,CoAP,气象服务,https://www.meteorology.com/sensors,,
电流传感器,物理传感器,CS-017,/dev/current,中,数字,UART,HTTP,能源监测,https://www.energy.com/sensors,,
氧气传感器,化学传感器,OS-018,/dev/oxygen,高,模拟,SPI,CoAP,室内环境,https://www.environment.com/sensors,,
姿态传感器,物理传感器,PS-019,/dev/pose,中,数字,I2C,MQTT,虚拟现实,https://www.vrtech.com/sensors,,
紫外线传感器,物理传感器,UV-010,/dev/uv,高,数字,I2C,MQTT,环境监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
水质传感器,化学传感器,QS-011,/dev/water,中,模拟,SPI,HTTP,水处理设施,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,,
位移传感器,物理传感器,DS-012,/dev/displacement,高,数字,UART,CoAP,工业自动化,https://www.iot101.com/mobile/news/785.html,,
风速传感器,物理传感器,WS-013,/dev/wind,中,数字,I2C,MQTT,气象监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
振动传感器,物理传感器,VS-014,/dev/vibration,高,模拟,SPI,HTTP,建筑安全监测,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,,
噪音传感器,物理传感器,NS-015,/dev/noise,中,数字,UART,CoAP,城市管理,https://www.iot101.com/mobile/news/785.html,,
成像传感器,光电传感器,IS-016,/dev/imaging,高,数字,I2C,MQTT,智能监控,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
心率传感器,生物传感器,HR-017,/dev/heart,高,模拟,SPI,CoAP,健康监控,https://www.iot101.com/mobile/news/785.html,,
智能停车传感器,物理传感器,PS-018,/dev/parking,中,数字,UART,HTTP,智慧城市,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,,
电流传感器,物理传感器,CS-019,/dev/current,高,数字,I2C,MQTT,能源管理,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
氧气传感器,化学传感器,OS-010,/dev/oxygen,中,数字,I2C,MQTT,医疗监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
土壤湿度传感器,物理传感器,SH-011,/dev/soil,高,模拟,SPI,CoAP,农业监测,https://www.iot101.com/mobile/news/785.html,,
紫外线传感器,物理传感器,UV-012,/dev/uv,中,数字,UART,HTTP,气象监测,http://www.news.cn/tech/,,
风速传感器,物理传感器,WS-013,/dev/wind,高,数字,I2C,MQTT,气象站,https://www.iot101.com/mobile/news/785.html,,
GPS定位传感器,定位传感器,GPS-014,/dev/gps,高,数字,UART,HTTP,智能交通,http://www.iotnews.com/transport/,,
水流传感器,物理传感器,FS-015,/dev/flow,中,模拟,SPI,CoAP,水利监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
照明传感器,物理传感器,LS-016,/dev/lighting,高,数字,I2C,MQTT,智能家居,http://www.iotnews.com/home/,,
心率传感器,生物传感器,HR-017,/dev/heart,高,数字,UART,HTTP,医疗监测,http://www.healthcareiot.com/,,
运动传感器,物理传感器,MS-018,/dev/motion,中,数字,SPI,CoAP,安防系统,https://www.iot101.com/mobile/news/785.html,,
温度湿度传感器,物理传感器,TH-019,/dev/temp_humidity,高,数字,I2C,MQTT,环境监测,http://www.environmentmonitoring.com/,,
