零部件名称,生产企业,生产所属地,供给情况,采集来源,来源链接,采集时间,备注
制动盘,福特汽车公司,密歇根州底特律,供给稳定,国际汽车部件供应链协会,https://www.autoparts.org,,
导航系统,华为技术有限公司,深圳,供给良好,全球电子设备市场报告,https://www.huawei.com,,
变速箱,长安汽车股份有限公司,重庆,供给紧张,中国汽车技术研究中心,https://www.catarc.ac.cn,,
电动机,吉利汽车集团,杭州,供给稳定,电动车技术发布会,https://www.geely.com,,
气囊系统,东风汽车公司,武汉,供给缓解,中国安全汽车技术研究中心,http://www.cata.org.cn,,
车身框架,特斯拉公司,加利福尼亚州,供给良好,电动汽车行业分析,https://www.tesla.com,,
车灯,飞利浦公司,荷兰,稳定供给,欧洲照明设备界协会,https://www.philips.com,,
轮胎,米其林轮胎公司,法国,供给稳定,全球轮胎行业协会,https://www.michelin.com,,
涡轮增压器,ABB集团,瑞士,供给紧张,国际涡轮技术最新动态,https://global.abb,,
电子控制单元,博世智能交通,德国,供给稳定,汽车电子新闻,https://www.bosch.com,,
发动机控制模块,德尔福汽车系统,印第安纳州,供给缓解,汽车技术前沿博览,https://www.delphi.com,,
铝合金车轮,中国铝业公司,云南省,供给波动,铝业市场调查报告,http://www.chalco.com.cn,,
车用空调压缩机,豪华汽车部件有限公司,南京,供给稳定,汽车空调技术研究院,https://www.hvac.com,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给强劲,新能源产业链分析报告,https://www.catl.com,,
底盘,依维柯汽车公司,意大利,供给良好,国际商用车研究协会,https://www.iveco.com,,
后视镜,日本电装株式会社,东京,供给稳定,汽车配件供应链分析,https://www.denso.com,,
动力总成系统,沃尔沃汽车集团,瑞典,供给良好,国际机动车辆技术报告,https://www.volvocars.com,,
涡轮增浓器,Audi AG,德国,供给缓解,欧洲汽车行业趋势分析,https://www.audi.com,,
传动系统,通用汽车公司,底特律,供给稳定,汽车品牌先锋报告,https://www.gm.com,,
燃油喷射系统,博世汽车部件有限公司,上海,供给稳定,中国汽车零部件行业协会,http://www.caapi.org.cn,,
电机控制器,比亚迪股份有限公司,深圳,供给良好,新能源汽车产业研究中心,https://www.byd.com,,
后悬架系统,杭州传音控股有限公司,杭州,供给紧张,中国汽车工程研究院,https://www.cae.org.cn,,
动力转向泵,东风汽车公司,武汉,供给稳定,中国汽车工业协会,https://www.caam.org.cn,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给良好,中国电动车市场研究中心,https://www.catl.com,,
轮胎压监测系统,普利司通公司,天津,供给稳定,中国轮胎行业协会,http://www.chinarubber.org,,
刹车片,福建豪迈汽车零部件有限公司,福州,供给缓解,汽车安全技术研究中心,https://www.adac.de,,
电子稳定控制系统,华为技术有限公司,深圳,供给良好,中国智能汽车产业发展报告,https://www.huawei.com,,
机油滤清器,曼牌滤清器公司,德国,稳定供给,全球汽车维保行业协会,https://www.mahle.com,,
发动机冷却液,亚玛顿股份有限公司,大连,供给缓解,中国汽车润滑油行业协会,http://www.chinalub.com,,
车载导航系统,广州车联网科技股份有限公司,广州,供给稳定,中国智能交通行业协会,https://www.cits.org.cn,,
涡轮增压器,霍尼韦尔国际公司,美国,供给良好,国际汽车机械工程师协会,https://www.honeywell.com,,
燃料电池,中科电力科技有限公司,北京,供给紧张,中国清洁能源发展中心,https://www.cnrenewable.com,,
变速箱控制单元,潍柴动力股份有限公司,潍坊,供给稳定,中国汽车智能化研究中心,http://www.weichai.com,,
电子助力转向系统,日本电产株式会社,日本,供给良好,日本汽车工程师协会,https://www.nidec.com,,
颗粒过滤器,力帆集团有限公司,重庆,供给稳定,中国汽车环保技术中心,http://www.lifan.com,,
高压油泵,富士康科技集团,郑州,供给缓解,中国汽车柴油技术发展中心,https://www.foxconn.com,,
声学传感器,德州仪器有限公司,成都,供给稳定,中国声学工程学会,https://www.ti.com,,
电动车充电桩,国家电网公司,北京,供给良好,中国电动车产业协会,http://www.chinaev.org,,
激光切割机,多恩集团,浙江省宁波,供给稳定,中国机械工业协会,http://www.cmia.org.cn,,
自动驾驶传感器,百度自动驾驶事业部,北京,供给紧张,自动驾驶技术研究报告,https://smartcar.baidu.com,,
高压电池组,LG化学,韩国,供给稳定,韩国新能源技术协会,https://www.lgchem.com,,
水箱,金龙汽车集团,福建省福州,供给缓解,中国汽车行业分析报告,http://www.jinlonggroup.com,,
车载显示器,艾默生电气,上海,供给稳定,全球电子技术协会,https://www.emerson.com,,
液压泵,博世力士乐,江苏省南京,供给良好,国际液压工程师协会,https://www.boschrexroth.com,,
智能车载音响,华为技术有限公司,广东省深圳,供给紧张,华为汽车技术发展报告,https://www.huawei.com,,
电动助力转向系统,长安汽车集团,重庆,供给稳定,中国汽车零部件供应链报告,http://www.changan.com.cn,,
电机控制器,深圳市比亚迪汽车有限公司,广东省深圳,供给缓解,新兴电动汽车产业观察,http://www.byd.com,,
座椅系统,法雷奥汽车电子有限公司,法国,供给稳定,国际汽车座椅协会,https://www.freesight.com,,
车用信息娱乐系统,索尼 (Sony),日本,供给良好,全球消费电子协会,https://www.sony.com,,
制动卡钳,德国大陆集团,德国,稳供,汽车刹车技术研究所,https://www.continental.com,,
车身控制模块,华域汽车系统股份有限公司,上海,供给稳定,中国汽车技术发展报告,http://www.huayuauto.com,,
轮胎气压监测系统,轮胎检测技术有限公司,江苏省苏州,供给良好,中国汽车安全技术协会,https://www.tpmssolutions.com,,
风扇控制器,美尔雅科技有限公司,湖北省武汉,供给紧张,可再生能源与电机技术论坛,https://www.meralitechnology.com,,
电源适配器,普联技术有限公司 (TP-Link),江苏省无锡,供给稳定,网络设备制造协会,https://www.tp-link.com,,
氢燃料电池,氢能科技有限公司,上海,供给缓解,国际氢能发展报告,http://www.hydrogenenergy.com,,
动力转向系统,丰田汽车公司,日本东京,供给稳定,日本汽车制造商协会,https://www.jama.or.jp,,
车身电子模块,华为技术有限公司,深圳,供给良好,电子行业发展报告,https://www.huawei.com,,
刹车片,阿克萨科技公司,意大利摩德纳,供给紧张,欧洲汽车零部件通用目录,https://www.aksatech.com,,
车载信息娱乐系统,博通有限公司,美国加州,供给良好,消费电子协会,https://www.ces.tech,,
电机控制器,小米科技有限责任公司,北京,供给稳定,智能汽车产业发展报告,https://www.xiaomi.com,,
涡轮增压器,霍尼韦尔国际公司,美国新泽西,供给紧张,汽车零部件行业分析,https://www.honeywell.com,,
车灯系统,海拉公司,德国斯图加特,供给稳定,德国交通运输协会,https://www.hella.com,,
制动系统,松下电器产业公司,日本大阪,供给缓解,日本制动器技术协会,https://www.panasonic.com,,
电子稳定程序,电装株式会社,日本东京,供给良好,汽车电子行业协会,https://www.denso.com,,
空调压缩机,格力电器股份有限公司,广东省珠海,供给紧张,家用电器市场导向,https://www.gree.com,,
车载传感器,光弘科技,深圳特区,供给稳定,中国传感器技术发展报告,http://www.longhitech.com,,
油泵,上海柴油机股份有限公司,上海,供给良好,中国工程机械行业协会,http://www.shi.com.cn,,
变频器,西门子股份公司,德国慕尼黑,供给稳定,欧洲电气工程师协会,https://www.siemens.com,,
GPS导航模块,高通公司,美国加州,供给缓解,全球定位系统发展大会,https://www.qualcomm.com,,
电池管理系统,比亚迪公司,深圳,供给稳定,电动汽车资讯网,https://www.byd.com,,
车载无线充电模块,美的集团,广东省佛山,供给良好,新能源汽车业界论坛,https://www.midea.com,,
铝合金车轮,捷豹汽车公司,英国沃里克郡,供给紧张,汽车材料研究中心,https://www.jaguar.com,,
动力电池电池组,宁德时代新能源科技股份有限公司,福建省宁德,供给稳定,中国电池行业协会,https://www.catl.com,,
电动助力转向机,特斯拉汽车公司,美国加州,供给良好,电动车产业发展报告,https://www.tesla.com,,
光纤传感器,华为技术有限公司,深圳市,供给稳定,中国通信技术协会,http://www.ctta.org.cn,,
液压泵,德国齿轮公司,德国,供给良好,国际液压协会,https://www.hydraulics-international.com,,
智能导航系统,高德软件有限公司,北京,供给紧张,智能交通技术论坛,http://www.intelligenttransportation.cn,,
动力电池管理系统,比亚迪股份有限公司,深圳,供给稳定,新能源汽车行业报告,https://www.byd.com,,
冷却系统,德国康明斯公司,德国,供给缓解,汽车冷却技术研究院,https://www.cummins.com,,
电子控制单元,德赛西威汽车电子有限公司,合肥,供给稳定,中国汽车电子协会,http://www.caec.org.cn,,
