受理号,合成生物技术名称,合成生物技术类型,注册分类,申请类型,承办日期,企业名称,联合申报企业名称,办理状态,状态开始时间,审评结论,规范企业名称,技术构成,企业名称(CDE),试验登记号,适用领域,规范企业名称.1,注册版本,采集来源,来源链接,采集时间,备注
11440306MB2D27888P/2024-00066,合成生物肥料开发技术,生物肥料,农业技术,初审,2023-09-09,湖南生态农业公司,湖南农业大学,审核中,2023-09-10,待审,湖南生态农业公司,复合微生物肥料,湖南生态农业公司,T20230807,农业,湖南生态农业公司,V1.0,湖南省农业农村厅,http://nync.hunan.gov.cn/,2024-09-23,
78451200VB2G12984T/2024-00501,合成生物抗体平台技术,生物制药,新药研发,初审,2023-09-07,哈尔滨生物制药有限公司,哈尔滨工业大学,审核中,2023-09-08,待审,哈尔滨生物制药有限公司,重组抗体表达,哈尔滨生物制药有限公司,T20230806,医疗、免疫,哈尔滨生物制药有限公司,V1.0,黑龙江省科学技术厅,https://www.hlj.gov.cn/,2024-09-23,
11440300MB2D27885P/2024-00063,合成生物塑料技术,生物材料,环境保护,初审,2023-09-05,江苏生物材料有限公司,南通生态创新研究中心,审核中,2023-09-06,待审,江苏生物材料有限公司,生物基聚合物合成,江苏生物材料有限公司,T20230805,包装、环保,江苏生物材料有限公司,V1.0,江苏省科学技术厅,http://jssst.jiangsu.gov.cn/,2024-09-23,
78901234MB5H89016V/2024-00678,新型生物燃料合成平台,生物能源,可再生能源,初审,2023/9/12,江苏绿色能源科技公司,南京生物工程研究院,审核中,2023-09-13,待审,江苏绿色能源科技公司,合成生物制品,江苏绿色能源科技公司,T20230806,能源、环境,江苏绿色能源科技公司,V1.0,江苏省能源局,http://www.jiangsu.gov.cn,2024-09-23,
51480304AG6H60222T/2024-00042,合成生物基材料制技术,生物材料,新材料,初审,2023/10/10,福建生物材料技术公司,福建省材料研究所,审核中,2023-10-11,待审,福建生物材料技术公司,生物基材料研发,福建生物材料技术公司,T20230812,新材料、环境,福建生物材料技术公司,V1.0,福建省科技厅,http://www.fujian.gov.cn,2024-09-23,
11440310GN2O26888Z/2024-00009,工业微生物合成技术,微生物工程,新技术,初审,2023/9/30,青岛海洋生物公司,中国海洋大学,审核中,2023-10-01,待审,青岛海洋生物公司,微生物代谢调控,青岛海洋生物公司,T20230810,生物材料,青岛海洋生物公司,V1.0,青岛市科技局,https://www.qd.gov.cn,2024-09-23,
51483425MB9H61825T/2024-00115,合成生物材料在食品包装的创新技术,生物材料,商业应用,初审,2023/9/12,厦门生物材料科技公司,厦门大学材料学院,审核中,2023-09-13,待审,厦门生物材料科技公司,生物降解材料,厦门生物材料科技公司,T20230809,食品、环保,厦门生物材料科技公司,V1.0,厦门市科技局,http://www.xm.gov.cn/,2024-09-23,
16890305MB2D82917U/2024-00065,个性化疫苗研发技术,疫苗,新药研发,初审,2023/9/9,重庆生物医药研究所,重庆医科大学,审核中,2023-09-10,待审,重庆生物医药研究所,mRNA疫苗技术,重庆生物医药研究所,T20230809,医疗、健康,重庆生物医药研究所,V1.0,重庆市科学技术局,http://www.cq.gov.cn,2024-09-23,
11640502MB3F12834T/2024-00101,合成生物多样性的保护技术,生态保育,环境保护,初审,2023/9/5,天津生态科技集团,天津基因保护研究中心,审核中,2023-09-06,待审,天津生态科技集团,基因库建立与维护,天津生态科技集团,T20230805,生态保育、农业,天津生态科技集团,V1.0,天津市科技局,http://www.tj.gov.cn/zt/cnky/index.shtml,2024-09-23,
64490500MB7G75996U/2029-00567,合成抗体的快速开发平台,疫苗开发,新药研发,初审,2023/10/5,深圳生物医药公司,南方科技大学生物科学研究所,审核中,2023-10-06,待审,深圳生物医药公司,抗体筛选与优化,深圳生物医药公司,T20230809,医疗、公共卫生,深圳生物医药公司,V1.0,广东省科学技术厅,https://www.guangdong.gov.cn,2024-09-23,
