动画名称,所属地区,主题词,关键词,评论类型,评论内容,评论载体,采集来源,来源链接,采集时间,备注,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
进击的巨人,日本,动作、剧情,巨人、奋斗,负面,尽管制作精良，但剧情发展似乎与预期严重不符，令人失望。,论坛,行业报告,https://baike.baidu.com/item/%E8%BF%9B%E5%87%BB%E7%9A%84%E5%B7%A8%E4%BA%BA,2024-09-16,,,,,,,,,,
黑夜传说,日本,动画剧集,黑暗、冒险,负面,剧情太慢，缺乏冲突的紧张感。,动漫论坛,动漫评论网,https://example.com/heiyechuanshu,2024-09-16,,,,,,,,,,
未来探险,中国,动画电影,未来、科技,正面,《未来探险》在视觉效果和创意上给观众带来震撼。,新浪博客,雷报统计,https://www.sina.com.cn,2024-09-16,,,,,,,,,,
海盗猎人,中国,动画电影,海盗、冒险,负面,虽然色彩丰富，但故事却不够吸引人。,豆瓣,国际影评网,https://www.douban.com,2024-09-16,,,,,,,,,,
东京复仇者,日本,时间旅行、青春,复仇、帮派,中立,整体设定有趣，但部分情节拖沓。,社交媒体,ACG圈内,https://www.acg.com,2024-09-16,,,,,,,,,,
龙珠超,日本,冒险、战斗,孙悟空、宇宙,正面,经典系列的延续，战斗场面依然让人热血沸腾。,豆瓣,万方数据,https://www.wanfangdata.com.cn/,2024-09-16,,,,,,,,,,
进击的巨人,日本,动画剧集,"战斗, 生存",正面,每一集都充满了紧张感，令人期待。,社交媒体,维基百科,https://zh.wikipedia.org/wiki/%E8%BF%9B%E5%87%BB%E7%9A%84%E5%B7%A8%E4%BA%BA,2024-09-16,,,,,,,,,,
灵笼,中国,动画剧集,科幻、冒险,正面,《灵笼》为国产动画带来了全新的科幻视野，值得一看。,B站,专业评测,https://www.bilibili.com/video/BV1X54y1J7Dg/,2024-09-16,,,,,,,,,,
鬼灭之刃,日本,动画剧集,鬼灭、友情,正面,绝美的画面与动人的音乐，让人难以忘怀。,B站,动漫报告,https://www.bilibili.com,2024-09-16,,,,,,,,,,
心灵想要大声呼喊,日本,青春、成长,友谊、爱情,正面,这是一部关于成长与探索自我的真实感人故事。,社交媒体,日本动画协会,https://www.animemania.org,2024-09-16,,,,,,,,,,
