应用状态（字符型）,推广形式（字符型）,已转让企业个数（数值型）,单位,技术转让收入（数值型）,单位,自行转化效益（数值型）,单位,预计达产投资（数值型）,单位,预计达产利税（数值型）,单位,未应用或停用原因（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
进行中,云平台服务,15,个,500,万元,300,万元,2000,万元,800,万元,技术成熟度不足,中国信息通信研究院,http://www.caict.ac.cn/english/research/whitepapers/202303/P020230316595243181925.pdf,2024-10-21,,,,,,,,,
已完成,合作开发,10,个,400,万元,250,万元,1500,万元,600,万元,市场需求不足,安全内参,https://www.secrss.com/articles/69525,2024-10-21,,,,,,,,,
初步应用,学术合作,5,个,200,万元,150,万元,1000,万元,400,万元,缺乏行业支持,中国信息通信研究院,http://www.caict.ac.cn/kxyj/qwfb/bps/202012/P020201215373063374434.pdf,2024-10-21,,,,,,,,,
停用,政府项目,3,个,150,万元,100,万元,800,万元,300,万元,政策调整,中国信息通信研究院,http://www.caict.ac.cn/english/research/whitepapers/202303/P020230316595243181925.pdf,2024-10-21,,,,,,,,,
在研,开源社区,8,个,350,万元,200,万元,1200,万元,500,万元,技术标准缺乏,安全内参,https://www.secrss.com/articles/69525,2024-10-21,,,,,,,,,
待推广,企业合作,12,个,450,万元,280,万元,1800,万元,700,万元,投资回报不明确,中国信息通信研究院,http://www.caict.ac.cn/kxyj/qwfb/bps/202012/P020201215373063374434.pdf,2024-10-21,,,,,,,,,
进行中,联合研发,20,个,750,万元,400,万元,2500,万元,750,万元,市场未成熟,量子信息技术研究中心,https://www.qitc.org.cn/research,2024-10-21,,,,,,,,,
已完成,培训课程,5,个,300,万元,180,万元,700,万元,300,万元,行业吸收能力不足,清华大学量子研究所,https://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
初步应用,产业合作,7,个,200,万元,120,万元,850,万元,200,万元,缺乏投资支持,量子前沿科技,https://www.qiantech.com.cn,2024-10-21,,,,,,,,,
待推广,展会展示,9,个,320,万元,150,万元,950,万元,320,万元,政策不稳定,行业博览会,https://www.expoquantum.com,2024-10-21,,,,,,,,,
在研,科研合作,6,个,250,万元,170,万元,1100,万元,250,万元,科研方向不明确,中国科学技术大学,https://www.ustc.edu.cn,2024-10-21,,,,,,,,,
停用,政府补贴项目,4,个,180,万元,90,万元,600,万元,180,万元,资金分配不公,科技部,https://www.most.gov.cn,2024-10-21,,,,,,,,,
初步应用,社区推广,11,个,400,万元,230,万元,1300,万元,400,万元,技术难度高,量子科技论坛,https://www.quantumforum.org,2024-10-21,,,,,,,,,
进行中,商业化推广,14,个,600,万元,350,万元,2200,万元,600,万元,知识产权限制,国家发改委,https://www.ndrc.gov.cn,2024-10-21,,,,,,,,,
待推广,国际合作,2,个,120,万元,80,万元,400,万元,120,万元,市场关注度低,国际量子通讯会议,https://www.qccconf.org,2024-10-21,,,,,,,,,
进行中,学术论文发表,13,个,570,万元,320,万元,1750,万元,570,万元,审核时间长,量子信息学会,https://www.qiqw.org,2024-10-21,,,,,,,,,
进行中,学术合作,20,个,600,万元,350,万元,2500,万元,1000,万元,技术标准缺乏,中国科学技术协会,http://www.cast.org.cn/,2024-10-21,,,,,,,,,
已完成,企业合作,6,个,300,万元,180,万元,1100,万元,450,万元,市场需求不足,人民邮电出版社,https://www.pulp.cn/,2024-10-21,,,,,,,,,
初步应用,网络平台,9,个,170,万元,90,万元,750,万元,350,万元,缺乏行业支持,中国信息通信研究院,http://www.caict.ac.cn/,2024-10-21,,,,,,,,,
在研,政府项目,4,个,120,万元,70,万元,650,万元,200,万元,技术成熟度不足,中国电子科技集团公司,http://www.cetc.com/,2024-10-21,,,,,,,,,
待推广,云平台服务,11,个,450,万元,220,万元,1700,万元,650,万元,投资回报不明确,全球量子科技协会,https://www.globalquantumassociation.org/,2024-10-21,,,,,,,,,
进行中,开放实验室,7,个,220,万元,110,万元,950,万元,370,万元,政策调整,量子计算研究中心,http://www.qcrc.org/,2024-10-21,,,,,,,,,
已完成,合作开发,13,个,520,万元,300,万元,1800,万元,750,万元,技术成熟度不足,中国科学院,http://www.cas.cn/,2024-10-21,,,,,,,,,
停用,开源项目,2,个,90,万元,50,万元,400,万元,180,万元,市场需求不足,清华大学量子研究中心,https://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,
待推广,企业合作,16,个,750,万元,500,万元,3000,万元,1200,万元,技术标准缺乏,国家量子信息技术研究院,http://www.nqi.ac.cn/,2024-10-21,,,,,,,,,
进行中,云平台服务,20,个,600,万元,500,万元,2500,万元,900,万元,技术成熟度不足,中国量子技术研究院,http://www.cqti.ac.cn,2024-10-21,,,,,,,,,
已完成,科技合作,18,个,750,万元,450,万元,2200,万元,850,万元,市场需求不足,国家科技部,http://www.most.gov.cn,2024-10-21,,,,,,,,,
初步应用,学术联盟,6,个,300,万元,200,万元,900,万元,300,万元,缺乏行业标准,清华大学量子实验室,http://www.tsinghua.edu.cn,2024-10-21,,,,,,,,,
待推广,企业孵化,10,个,400,万元,250,万元,1400,万元,620,万元,投资失败,中国科学技术大学,http://www.ustc.edu.cn,2024-10-21,,,,,,,,,
停用,政府资助项目,4,个,180,万元,90,万元,650,万元,250,万元,技术更新迭代,中国科学院,http://www.cas.cn,2024-10-21,,,,,,,,,
