智能机器人名称,工作前状态,所需条件,工作后状态,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
自主配送机器人,准备出发,路径已规划,配送完成,全国配送协会,http://www.delivery.org.cn,2024-09-24,,,,,,,,,,,,,
无人机巡检机器人,准备就绪,检查路线上传,巡检记录完成,中国民用无人机协会,https://www.ucada.org.cn,2024-09-24,,,,,,,,,,,,,
仓库管理机器人,空闲,库存信息已更新,物品存取完成,中国物流与采购联合会,http://www.clc.org.cn,2024-09-24,,,,,,,,,,,,,
消防机器人,待命,紧急警报已触发,火灾扑灭,国家消防救援局,https://www.119.gov.cn,2024-09-24,,,,,,,,,,,,,
运输管理机器人,空闲,运输任务已安排,运输完成,交通运输部,http://www.mot.gov.cn,2024-09-24,,,,,,,,,,,,,
送餐机器人,待命,订单信息已确认,送餐完成,美团点评,https://www.meituan.com,2024-09-24,,,,,,,,,,,,,
偏远医疗机器人,准备就绪,远程医疗设备已连接,医疗服务完成,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,待命,配送路线已规划,配送完成,中国电子商务研究中心,https://www.chinabusiness.com,2024-09-24,,,,,,,,,,,,,
焊接机器人,空闲,工作计划已制定,焊接完成,中国制造网,https://www.chinamfg.com,2024-09-24,,,,,,,,,,,,,
儿童教育游戏机器人,待机,游戏程序已启动,游戏完成,全国教育信息技术研究中心,http://www.niit.edu.cn,2024-09-24,,,,,,,,,,,,,
