名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注,,,
智能家居网关,海尔,HAG-1000,一年保修,自主研发,海尔,ARM Cortex-A53,海尔自研芯片,APP控制,声控助手,实现家庭设备的集中控制与管理,家庭自动化,2021-05-01,智能终端白皮书,https://www.cac.gov.cn/files/pdf/baipishu/ITwhitepaper.pdf,2024-09-13,,,,
智能音箱,小米,XiaoAI Speaker,一年保修,MIUI,小米,ARM Cortex-A55,Amlogic S905Y2,语音控制,无人机助手,提供语音助手功能，控制智能家居设备,家庭娱乐,2020-06-01,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-09-13,,,,
智能摄像头,TP-Link,Tapo C200,一年保修,Tapo OS,TP-Link,ARM Cortex-A7,HiSilicon Hi3516CV300,APP控制,安全监控工具,实时视频监控，支持夜视功能,家庭安防,2021-03-15,银河证券-电子行业研究报告,https://pdf.dfcfw.com/pdf/H3_AP202205231567306872_1.pdf,2024-09-13,,,,
智能照明控制器,飞利浦,Hue Bridge ,两年保修 ,Philips Hue OS ,飞利浦 ,ARM Cortex-M4 ,NXP LPC1768 ,APP控制 ,环境调节工具 ,可调光、调色，支持场景设置 ,家庭照明 ,2019-11-20,智能终端白皮书,https://www.cac.gov.cn/files/pdf/baipishu/ITwhitepaper.pdf,2024-09-13,,,,
智能恒温器,Nest,Nest Learning Thermostat,一年保修 ,Nest OS ,Google ,ARM Cortex-A8 ,Ambarella A5 ,APP控制 ,温控工具 ,自动学习用户习惯，智能调节室温 ,家庭温控,2019-01-10,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-09-13,,,,
智能门锁,August,Smart Lock Pro ,一年保修,August OS,August,ARM Cortex-M0+,NXP PN532,APP控制,安全防护工具,提供远程开锁、访客管理功能,家庭安全 ,2020-08-01,中国电子学会、国家电网、麦肯锡等,https://pdf.dfcfw.com/pdf/H3_AP202205231567306872_1.pdf,2024-09-13,,,,
智能窗帘控制器,Lutron,Sivoia QS,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-A9,Lutron Custom Chip,APP控制,光感应工具,自动调节窗帘，根据光线强度自动开关,家庭窗帘控制,2022-02-15,智能家居技术研究中心,https://www.lutron.com,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool TP01,三年保修,Dyson Link,Dyson Ltd.,ARM Cortex-M3,Qualcomm QCA4002,APP控制,空气质量监测,过滤空气，实时监控空气质量,家庭空气净化,2021-09-25,消费者电子协会,https://www.ce.org,2024-09-13,,,,
智能垂直农业系统,AeroGarden,Bounty Elite,一年保修,AeroGarden OS,AeroGrow International,ARM Cortex-A7,Microchip PIC16,APP控制,植物监测工具,室内垂直种植，智能监控植物生长,家庭植物养护,2023-01-10,农业科技观察,https://www.agtechnews.com,2024-09-13,,,,
智能垃圾桶,Simplehuman,Sensor Can,五年保修,Simplehuman OS,"Simplehuman, LLC",ARM Cortex-M0,NXP Kinetis K20,感应控制,智能清理助手,感应开盖，自动封闭异味,家庭日常,2021-06-06,家电产业观察,https://www.appliance.com,2024-09-13,,,,
智能厨房助手,Samsung,Smart Fridge RF23J9011SR,两年保修,Tizen OS,Samsung Electronics,Quad-Core Processor,Samsung Exynos,触控控制,智能食谱推荐,内置屏幕，推荐食谱和库存管理,家庭厨房,2022-04-20,厨房科技博览会,https://www.samsung.com,2024-09-13,,,,
