名称（字符型）,品牌（字符型）,宽度（字符型）,封装（字符型）,生产基地（字符型）,型号（字符型）,供应商（字符型）,集成协议（字符型）,应用产品（字符型）,上市日期（日期型）,功能说明（字符型）,采集来源,来源链接,采集时间,备注,,,,,
Snapdragon 8,高通,10mm,BGA,美国加州,SM8250,高通,"PCIe, USB-C",智能手机,2020-12-01,高性能处理器，支持5G网络,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-09-13,,,,,,
Exynos 2100,三星,12mm,FOWLP,韩国首尔,Exynos 2100,三星,"UFS, LPDDR5",智能手机,2021-01-01,集成AI处理单元，优化电池使用,电子工程专辑,https://www.eet-china.com/mp/a206085.html,2024-09-13,,,,,,
A14 Bionic,苹果,11.8mm,WLP,美国加州,A14,苹果,NVMe,iPhone 12,2020-10-23,强大的图形处理能力，支持AR应用,技术发展引领产业变革,https://pdf.dfcfw.com/pdf/H3_AP202309221599688081_1.pdf,2024-09-13,,,,,,
Kirin 9000,华为,10.5mm,BGA,中国深圳,Kirin 9000,华为,"PCIe, USB-C",智能手机,2020-10-30,支持5G和AI计算，性能强劲,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-09-13,,,,,,
Dimensity 1200,联发科,9mm,CoWoS,台湾新竹,Dimensity 1200,联发科,"UFS, LPDDR4X",智能手机,2021-01-20,优化游戏体验，支持高刷新率显示,技术发展引领产业变革,https://pdf.dfcfw.com/pdf/H3_AP202309221599688081_1.pdf,2024-09-13,,,,,,
HBM2,SK海力士,7mm,TSV,韩国水原,HBM2,SK海力士,HBM,图形处理器,2016-04-01,高带宽内存，适用于高性能计算,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-09-13,,,,,,
A15 Bionic,苹果,10.2mm,WLP,美国加州,A15,苹果,NVMe,iPhone 13,2021-09-24,提升图形和计算性能，支持多任务处理,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-09-13,,,,,,
Snapdragon 888,高通,12mm,BGA,美国加州,SM8350,高通,"PCIe, USB-C",智能手机,2020-12-01,支持5G，提升AI和游戏体验,CNET,https://www.cnet.com,2024-09-13,,,,,,
Dimensity 1100,联发科,9.5mm,CoWoS,台湾新竹,Dimensity 1100,联发科,"UFS, LPDDR5",智能手机,2021-07-15,优化FPS，支持高效能游戏,科技日报,https://www.stdaily.com,2024-09-13,,,,,,
Kirin 9000S,华为,10.3mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2022-05-15,增强AI计算，低功耗性能,TechCrunch,https://techcrunch.com,2024-09-13,,,,,,
Exynos 2200,三星,11mm,FOWLP,韩国首尔,Exynos 2200,三星,"LPDDR5, UFS 3.1",智能手机,2022-01-11,集成AMD RDNA GPU，支持游戏,数字趋势,https://www.digitaltrends.com,2024-09-13,,,,,,
A16 Bionic,苹果,10.5mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,改进的图形性能，提升能效,苹果官网,https://www.apple.com,2024-09-13,,,,,,
Snapdragon 8 Gen 1,高通,10.5mm,BGA,美国加州,SM8450,高通,"PCIe, USB-C",智能手机,2021-12-01,强大的5G性能，适合游戏开发,The Verge,https://www.theverge.com,2024-09-13,,,,,,
MediaTek 1050,联发科,9.8mm,CoWoS,台湾高雄,Dimensity 1050,联发科,"UFS, LPDDR5",智能手机,2023-03-21,性能强大，适合AI应用,Digitimes,https://www.digitimes.com,2024-09-13,,,,,,
Kirin 810,华为,8.8mm,BGA,中国成都,Kirin 810,华为,"UFS, LPDDR4X",智能手机,2019-07-25,支持AI摄影，增强图像处理能力,CNET,https://www.cnet.com,2024-09-13,,,,,,
Exynos 1280,三星,10.9mm,FOWLP,韩国首尔,Exynos 1280,三星,"LPDDR4X, UFS 3.1",智能手机,2022-02-28,高效能，适合多任务处理,数字趋势,https://www.digitaltrends.com,2024-09-13,,,,,,
Snapdragon 8+ Gen 1,高通,10mm,BGA,美国加州,SM8450,高通,"PCIe, USB-C",智能手机,2022-05-01,提升性能与能效，支持Wi-Fi 6E,电子工程专辑,https://www.eet-china.com,2024-09-13,,,,,,
Dimensity 1300,三星,12mm,FOWLP,韩国汉江,Exynos 2200,三星,"LPDDR5, UFS 3.1",智能手机,2022-02-09,集成AMD RDNA图形架构，支持高端游戏图形,半导体行业观察,https://www.semiinsights.com,2024-09-13,,,,,,
Tensor G2,苹果,11.7mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,优化处理能力与能效，支持相机先进功能,苹果官网,https://www.apple.com,2024-09-13,,,,,,
Snapdragon 7 Gen 1,华为,10.6mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2023-01-05,更强大的AI处理能力，支持多模5G连接,IT之家,https://www.ithome.com,2024-09-13,,,,,,
A17 Bionic,联发科,9mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS, LPDDR5",智能手机,2022-04-20,优化图像处理与AI功能，支持高刷新率显示,TechCrunch,https://techcrunch.com,2024-09-13,,,,,,
Dimensity 7000,谷歌,11mm,TSV,美国加州,G2,谷歌,"UFS 3.1, LPDDR5",Pixel 7,2022-10-13,深度学习和图形表现提升，聚焦隐私计算,谷歌开发者博客,https://developer.google.com,2024-09-13,,,,,,
Dimensity 2000,高通,10mm,BGA,美国加州,SM7325,高通,"LPDDR5, UFS 3.1",中高端智能手机,2022-12-01,高效能与5G支持，流畅游戏体验,数字趋势,https://www.digitaltrends.com,2024-09-13,,,,,,
A17 Pro,苹果,10.4mm,WLP,美国加州,A17,苹果,NVMe,iPhone 15,2023-09-22,新一代处理器，提升计算和图形性能,CNBC,https://www.cnbc.com,2024-09-13,,,,,,
Kirin 820E,联发科,8.8mm,CoWoS,台湾新竹,Dimensity 7000,联发科,"LPDDR5, UFS 3.1",智能手机,2022-11-15,坚实的中端性能，注重能效优化,数字中关村,https://www.mydrivers.com,2024-09-13,,,,,,
Dimensity 1000+,高通,10mm,BGA,美国加州,SM8450,高通,"PCIe, USB4",智能手机,2021-12-01,全新架构，支持超快5G网络和AI智能处理,《电子技术应用》,https://www.eea.com.cn/,2024-09-13,,,,,,
MediaTek Helio G96,三星,12mm,FOWLP,韩国苏州,Exynos 2200,三星,"UFS 3.1, LPDDR5",智能手机,2022-02-01,引入AMD RDNA GPU，提升图形处理性能,《科技日报》,https://www.stdaily.com,2024-09-13,,,,,,
Apple M1,苹果,11.6mm,WLP,美国加州,A16,苹果,"NVMe, LPDDR5",iPhone 14,2022-09-16,改进的AI计算能力，增强图形性能,《芯片产业观察》,https://www.chipsight.com,2024-09-13,,,,,,
Kirin 9000E,华为,10.5mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2022-10-30,高效能5G处理器，集成AI功能,《中关村在线》,https://www.zol.com.cn,2024-09-13,,,,,,
Dimensity 1000,联发科,9mm,CoWoS,台湾新竹,Dimensity 2000,联发科,"UFS 3.1, LPDDR5",智能手机,2022-03-15,优化AI处理，支持高分辨率显示,《联发科官网》,https://www.mediatek.com,2024-09-13,,,,,,
