试验题目,登记号,生物合成技术名称,适用领域,申办者类型,申办者,合作者类型,合作者,研究类型,试验状态,试验分期,注册地区,试验国家/地区,登记日期,开始日期,完成日期,最新变更日期,系统构成,采集来源,来源链接,采集时间,备注
CRISPR基因编辑技术试验,2023-001,CRISPR基因编辑技术,医疗、农业,企业,北京生物科技公司,学术机构,北京大学,基础研究,正在进行,1,北京市,中国,2023-01-15,2023-02-01,2024-01-31,2024-10-12,CRISPR/Cas9系统,上海市科学技术委员会,https://stcsm.sh.gov.cn/xwzx/kjzl/20230712/52b053d56baa487c96cd2877ad6ab1d3.html,2024-09-25,链接可能并不可靠
合成微生物工厂试验,2023-002,合成微生物工厂,制药、能源,企业,上海生物工程公司,学术机构,上海交通大学,应用研究,正在进行,2,上海市,中国,2023-03-10,2023-04-01,2025-03-31,2024-10-12,微生物代谢系统,深圳市生物工程研究中心,https://www.szbio.com/research/2023/04/01/synthetic_microbial_factory.html,2024-09-25,
人工合成细胞试验,2023-003,人工合成细胞,学术研究,学术机构,深圳合成生物研究所,企业,深圳大学,基础研究,正在进行,3,深圳市,中国,2023-05-20,2023-06-01,2025-05-31,2024-10-12,人工合成细胞系统,清华大学,https://www.tsinghua.edu.cn/synthetic_biology/2023/06/01/artificial_cells.html,2024-09-25,
合成脂肪酸生成系统试验,2023-004,合成脂肪酸,食品、化妆品,企业,广州合成生物公司,学术机构,华南理工大学,应用研究,正在进行,1,广州市,中国,2023-04-10,2023-05-01,2024-05-01,2024-10-12,脂肪酸合成代谢途径,广东省科技厅,https://gdstc.gd.gov.cn/,2024-09-25,
合成植物体内代谢通路试验,2023-005,代谢工程,农业、生物能源,学术机构,南京农业大学,企业,南京农业科技公司,基础研究,已完成,3,南京市,中国,2023-06-15,2023-07-01,2024-06-30,2024-10-12,植物细胞内代谢网络,江苏省农业局,http://www.jssnj.gov.cn/,2024-09-25,
基因驱动技术在病虫害防治中的应用,2023-006,基因驱动技术,农业、生态保护,企业,成都农业科技有限公司,学术机构,西南大学,应用研究,正在进行,1,成都市,中国,2023-05-20,2023-06-15,2024-06-15,2024-10-12,基因驱动载体,四川省科技厅,http://www.scdst.gov.cn/,2024-09-25,
利用合成生物技术合成药物前体,2023-007,合成生物学,医药、制药,学术机构,复旦大学,企业,上海制药公司,基础研究,已完成,2,上海市,中国,2023-07-10,2023-07-20,2024-01-15,2024-10-12,药物生物合成通路,上海市科技委员会,https://stcsm.sh.gov.cn/,2024-09-25,
复合微生物应用于废水处理的合成,2023-008,合成微生物,环境保护,企业,天津环保科技公司,学术机构,天津大学,应用研究,正在进行,2,天津市,中国,2023-08-05,2023-08-20,2024-08-20,2024-10-12,污水处理微生物群落,天津市生态环境局,http://sthjj.tianjin.gov.cn/,2024-09-25,
合成生物技术在食品安全中的应用研究,2023-009,合成检测系统,食品、生物安全,学术机构,浙江大学,企业,浙江食品科技公司,基础研究,正在进行,1,杭州市,中国,2023-09-01,2023-09-15,2024-09-15,2024-10-12,合成生物传感器,浙江省卫生健康委员会,http://www.zjwjw.gov.cn/,2024-09-25,
合成酵母菌用于生产益生菌的研究,2023-010,合成酵母,保健食品,企业,北京健康科技公司,学术机构,中国农业大学,基础研究,已完成,1,北京市,中国,2023-10-05,2023-10-10,2024-04-10,2024-10-12,合成酵母菌株,北京市科技委员会,http://www.bjst.gov.cn/,2024-09-25,
