产品名称（字符型）,产品类型（字符型）,产品规格（字符型）,员工数量（数值型）,单位,评估标准名称（字符型）,评估标准类型（字符型）,实施日期（日期型）,责任单位（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
空天气象预报系统,气象设备,预报精度：90%,110,人,气象预报评估标准,技术标准,2024-02-28,国家气象局,中国气象科研院,https://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天人工智能分析系统,人工智能工具,分析效率：98%,130,人,AI分析评估标准,AI标准,2024-09-05,人工智能科技公司,人工智能发展委员会,https://www.aidevelopment.cn/,2024-10-08,,,,,,,,,
空天遥感图像处理系统,处理软件,处理能力：5TB/day,85,人,图像处理速度评估标准,性能标准,2024-09-05,遥感图像研究所,中国遥感行业协会,https://www.crsa.org.cn/,2024-10-08,,,,,,,,,
空天抗干扰系统,防干扰设备,抗干扰能力：≥ 100dB,140,人,抗干扰评估标准,技术标准,2024-05-05,综合防护公司,国家传输安全中心,https://www.ntsc.gov.cn/interference,2024-10-08,,,,,,,,,
空天精准定位系统,导航设备,定位精度：±2米,175,人,精准度评估标准,技术标准,2023-11-01,国家导航研究所,中国科学院,https://www.cas.cn/navigation,2024-10-08,,,,,,,,,
空天导航与定位服务平台,导航系统,定位精度：±1米,140,人,定位标准,测量标准,2023-09-30,导航科技公司,中国测绘网,https://www.ngcc.gov.cn,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,功能：气象监测与气候分析,75,人,气象数据评估标准,气象标准,2023-04-15,气象科技研究所,气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,型号：XQ-700,120,人,气象评估标准,环境标准,2023-11-05,气象科技公司,国家气象局,https://www.cma.gov.cn/meteorology,2024-10-08,,,,,,,,,
空天资源管理平台,管理软件,数据管理：大数据处理,185,人,资源管理标准,管理标准,2023-12-01,资源科技公司,国家资源部,http://www.mnr.gov.cn,2024-10-08,,,,,,,,,
空天激光雷达系统,测量设备,测量精度：±3cm,90,人,激光雷达评估标准,测量标准,2024-01-20,地理信息科技公司,国际测量协会,https://www.igs.org,2024-10-08,,,,,,,,,
