标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
ITU-R BT.2020,UHDTV标准,60,fps,10bit,高清晰度,16:09,2015-07-01,全球,Tektronix,https://download.tek.com/document/25C-14700-6_0.pdf,2024/10/10,
MPEG-2,DVD标准,30,fps,8bit,高清晰度,16:09,1995-11-01,全球,MBA智库,https://wiki.mbalib.com/wiki/%E6%95%B0%E5%AD%97%E8%A7%86%E9%A2%91,2024/10/10,
MPEG-4,高清视频标准,30,fps,8bit,超高清晰度,21:09,1999-04-01,全球,CSDN,https://blog.csdn.net/feng8403000/article/details/130664096,2024/10/10,
AVS3,视频编码标准,120,fps,12bit,超高清晰度,21:09,2020-01-01,中国,行业报告,https://www.informat.cn/qa/59479,2024/10/10,
H.265/HEVC,高效视频编码标准,60,fps,10bit,高清晰度,16:09,2013-04-01,全球,腾讯云,https://www.tencent.com,2024/10/10,
ITU-R BT.2100,HDR视频标准,120,fps,12bit,超高清晰度,16:09,2017-10-01,全球,AVS论坛,http://www.itu.int/en/ITU-R/space/Pages/HDR.aspx,,
H.266/VVC,继承视频编解码标准,60,fps,10bit,超高清晰度,16:09,2020-07-01,全球,IEEE Xplore,https://ieeexplore.ieee.org/document/9257620,,
AV1,下一代视频编码标准,120,fps,10bit,高清晰度,16:09,2018-12-01,全球,IETF,https://www.ietf.org/standards/av1/,,
AVS2,中国音视频编码标准,60,fps,10bit,超高清晰度,16:09,2016-01-01,中国,中国国家标准化管理委员会,http://www.sac.gov.cn,,
ISO/IEC 23090,可扩展视频编码标准,60,fps,12bit,高清晰度,16:09,2021-06-01,全球,ISO官方网站,https://www.iso.org/standard/78026.html,,
AVS3.1,新一代视频编码标准,120,fps,12bit,超高清晰度,21:09,2022-03-15,中国,国家广播电视总局,https://www.china.gov.cn,,
HEVC Main10,高效视频编码标准,60,fps,10bit,高清晰度,21:09,2014-06-01,全球,Netflix Tech Blog,https://netflixtechblog.com,,
ITU-T H.660,视频传输标准,29.97,fps,8bit,高画质,16:09,2023-08-01,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
DASH,动态自适应流媒体,60,fps,8bit,高清晰度,16:09,2012-04-01,全球,MPEG官员,https://mpeg.chiariglione.org/standards/mpeg-dash,,
W3C WebRTC,实时通信标准,30,fps,10bit,高清晰度,16:09,2016-12-01,全球,W3C,https://www.w3.org/TR/webrtc/,,
ITU-R BT.2100,高动态范围和宽色域标准,120,fps,10bit,超高清晰度,16:09,2016-08-01,全球,IEEE,https://ieeexplore.ieee.org/,,
AVC/H.264,视频压缩标准,60,fps,8bit,高清晰度,16:09,2003-05-01,全球,什么是,https://what-is-qigong.com/,,
VP9,视频编码标准,60,fps,12bit,超高清晰度,16:09,2013-06-01,全球,谷歌开发者,https://developers.google.com/,,
H.266/VVC,视频压缩标准,120,fps,12bit,超高清晰度,21:09,2020-07-01,全球,ITU,https://www.itu.int/en/ITU-T/,,
ATSC 3.0,电视广播标准,60,fps,10bit,超高清晰度,16:09,2017-03-01,美国,ATSC官网,https://www.atsc.org/,,
ISO/IEC 23090,媒体传输标准,60,fps,10bit,高清晰度,16:09,2021-01-15,全球,ISO,https://www.iso.org/,,
AV1,开放视频编码标准,120,fps,12bit,超高清晰度,21:09,2018-05-01,全球,Alliance for Open Media,https://aomedia.org/,,
HLS,HTTP直播视频标准,60,fps,8bit,高清晰度,16:09,2012-01-01,全球,Apple Developer,https://developer.apple.com/,,
WebRTC,实时通信标准,30,fps,8bit,高清晰度,16:09,2016-04-01,全球,W3C,https://www.w3.org/,,
SMPTE ST 2110,专业媒体传输标准,60,fps,10bit,超高清晰度,16:09,2017-09-01,全球,SMPTE,https://www.smpte.org/,,
ITU-R BT.2100,高动态范围和宽色域视频标准,120,fps,12bit,超高清晰度,16:09,2017-08-01,全球,国际电信联盟,https://www.itu.int,,
HEVC-2016,高效视频编码标准更新版,60,fps,10bit,高清晰度,21:09,2016-03-01,全球,IEEE,https://ieeexplore.ieee.org/Xplore/home.jsp,,
AV1,下一代视频编码标准,60,fps,10bit,超高清晰度,16:09,2018-02-01,全球,AOMedia,https://aomedia.org,,
ITU-R BT.2110,IP视频传输标准,30,fps,12bit,超高清晰度,16:09,2018-12-01,全球,国际电信联盟,https://www.itu.int,,
DVB-I,数字视频广播互动标准,25,fps,10bit,高清晰度,16:09,2021-05-01,欧洲,DVB,https://www.dvb.org,,
T2-MI,增强型广播标准,60,fps,10bit,超高清晰度,16:09,2019-06-01,全球,ETSI,https://www.etsi.org,,
CAVS A-VC,中国音视频编解码标准,120,fps,10bit,超高清晰度,21:09,2019-11-01,中国,中国科学院,http://www.cas.cn,,
VC-6,新一代视频编码标准,60,fps,10bit,超高清晰度,16:09,2022-01-01,全球,H.264-2015,https://www.itu.int,,
H.266/VVC,可变视频编码标准,30,fps,10bit,超高清晰度,21:09,2020-07-01,全球,ITU-T,https://www.itu.int,,
ISO/IEC 23090,媒体内容传输标准,60,fps,12bit,超高清晰度,16:09,2021-03-01,全球,ISO,https://www.iso.org,,
ITU-R BT.2100,超高清电视标准,120,fps,12bit,超高清晰度,16:09,2017-01-01,全球,国际电信联盟,https://www.itu.int,,
AV1,最新视频编码标准,60,fps,10bit,超高清晰度,16:09,2018-03-15,全球,Alliance for Open Media,https://aomedia.org,,
H.266/VVC,视频编码新标准,120,fps,10bit,超高清晰度,21:09,2020-09-30,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
ISO/IEC 23090-1,点云视频标准,60,fps,12bit,超高清晰度,16:09,2021-07-01,全球,国际标准化组织,https://www.iso.org,,
H.264/AVC,高级视频编码标准,30,fps,8bit,高清晰度,16:09,2003-05-01,全球,ITU-T,https://www.itu.int/en/ITU-T/studygroups/2021-2024/16/Pages/default.aspx,,
DVB-I,互联网电视标准,50,fps,10bit,超高清晰度,16:09,2021-09-01,欧洲,DVB组织,https://dvb.org,,
ARIB STD-B66,東京2020标准,60,fps,10bit,超高清晰度,16:09,2019-01-01,日本,ARIB,https://www.arib.or.jp,,
NGA,下一代音视频标准,60,fps,12bit,超高清晰度,21:09,2021-11-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
VVC,视频编码标准,120,fps,12bit,超高清晰度,16:09,2020-07-01,全球,JBIG Standard,https://jbig2decode.org,,
