分类,品牌,领域,技术特点,采集来源,来源链接,采集时间,备注【疑问汇总】
运动品牌,耐克,运动鞋服,持续升级Air气垫技术，推出多代科技产品,欧瑞、公司公告、wind,https://xueqiu.com/9508834377/189754806,2024-10-09,
运动品牌,阿迪达斯,运动鞋服,Boost科技，yeezy鞋款,欧瑞、公司公告、wind,https://new.qq.com/rain/a/20220830A09HJK00,2024-10-09,
运动品牌,安踏,运动鞋服,零售转型和柔性供应链改革，推出“氮科技”中底技术,公司公告,https://www.thepaper.cn/newsDetail_forward_14736414,2024-10-09,
运动品牌,李宁,运动鞋服,推出䨻科技，推动品牌进入高端市场,公司公告,https://www.thepaper.cn/newsDetail_forward_14736414,2024-10-09,
运动品牌,特步,运动鞋服,专注跑步领域的功能性研发投入,公司公告,https://www.thepaper.cn/newsDetail_forward_14736414,2024-10-09,
运动品牌,361°,运动鞋服,由中底科技NFO、QU!KFOAM以及快平衡系统QU!KBALANCE三项科技组成，提供软弹舒适、快速响应和抗扭转的卓越性能 ,公司公告,https://ir.361sport.com/html/key_technology_3tech.php?lang=sc,2024-10-09,
运动品牌,彪马,运动鞋服,Forever Faster品牌策略,公司公告,https://www.digitaling.com/articles/817116.html,2024-10-09,
运动品牌,新百伦,运动鞋服,慢跑鞋领域，拓宽“慢跑”概念,公司公告,https://www.digitaling.com/articles/817116.html,2024-10-09,
运动品牌,锐步,运动鞋服,I Am What I Am&Be More Human品牌策略,公司公告,https://www.digitaling.com/articles/817116.html,2024-10-09,
运动品牌,斐乐,运动鞋服,在中高端服饰市场的强大影响力,欧瑞、公司公告、wind,https://36kr.com/p/2109123632040323,2024-10-09,
运动品牌,露露柠檬,瑜伽服饰,高端瑜伽服饰品牌,欧瑞、公司公告、wind,https://36kr.com/p/2109123632040323,2024-10-09,
运动品牌,昂跑,跑鞋,环保品牌价值,欧瑞、公司公告、wind,https://36kr.com/p/2109123632040323,2024-10-09,
运动品牌,帕塔格尼亚,户外服饰,环保和反常理的品牌策略,公司公告,https://www.36kr.com/p/1916689881833222,2024-10-09,
运动品牌,亚瑟士,运动鞋服,日本工艺与创新，导入GEL技术，提升跑步吸震力,公司公告、运动科技杂志,https://www.asics.com/jp/tech,,
运动品牌,新百伦,运动鞋服,使用Rebel系列，结合环保材料与运动性能,欧瑞、公司公告、wind,https://www.newbalance.com,,
运动品牌,李宁,篮球鞋,推出全新中帮设计，增加脚踝支撑与稳定性,公司公告、篮球媒体,https://www.lining.com,,
运动品牌,耐克,运动鞋服,推出FlyEase技术，强调无障碍穿着体验,公司公告、运动产品评测,https://www.nike.com,,
运动品牌,彪马,运动鞋服,增强舒适感与性能，采用PUMA IGNITE泡棉技术,官网、运动技术博客,https://www.puma.com,,
运动品牌,安踏,运动鞋服,与科技公司合作，开发智能运动鞋，实时数据分析,公司公告、科技新闻,https://www.anta.com,,
运动品牌,361°,运动鞋服,推出多维支撑系统，提升运动时的可靠性,公司公告,https://www.361sport.com,,
运动品牌,特步,跑鞋,引入反应技术，提升跑步时的能量回馈,公司公告、行业分析报告,https://www.xtep.com,,
运动品牌,锐步,运动鞋服,推出专为女性设计的运动鞋，强调时尚与实用,公司公告、女性运动网站,https://www.reebok.com,,
运动品牌,杜卡迪,高端运动服饰,融合摩托车科技于运动服装中，提升耐磨性,公司公告、摩托车运动博客,https://www.ducati.com,,
运动品牌,安德玛,运动鞋服,引入HOVR技术，提供无重力缓冲和能量回馈,公司公告、市场调研,https://www.underarmour.com,,
运动品牌,H&M,休闲运动服饰,推广可持续时尚，推出环保材料运动系列,行业报告、公司公告,https://www.hm.com,,
运动品牌,Gucci,奢侈运动鞋,结合高端时尚与运动性能，开发新型环保材料,流行趋势报告、公司公告,https://www.gucci.com,,
运动品牌,ASICS,跑鞋,Gel cushioning system升级，提供更优质的脚感与支持,公司公告、运动分析,https://www.asics.com,,
运动品牌,Fjällräven,户外装备,采用可持续材料，提升抗水性能与耐用性,环保杂志、公司公告,https://www.fjallraven.com,,
运动品牌,兰蔻,健康生活装备,开发新型保健运动服，促进生理舒适度,时尚杂志、公司公告,https://www.lancome.com,,
运动品牌,Speedo,游泳装备,推出智能游泳衣，监测运动数据与心率,公司公告、运动分析,https://www.speedo.com,,
运动品牌,Lundhags,户外服饰,超耐磨材料和防水技术，适应极端气候条件,公司公告、户外评测,https://www.lundhags.com,,
运动品牌,Alo Yoga,瑜伽服饰,高弹性瑜伽裤，结合时尚与功能性,产业观察、公司公告,https://www.aloyoga.com,,
运动品牌,超越,跑步装备,智能跑鞋搭载传感器，分析跑步姿势与速度,市场调研、公司公告,https://www.chaoce.com,,
运动品牌,Hoka One One,跑鞋,利用先进的轻量化泡沫材料，提供卓越的缓震效果与舒适体验,欧瑞、公司公告,https://hokaoneone.com,,
运动品牌,on,跑鞋,云垫技术，轻质抓地性，适合多种跑步环境,公司公告、wind,https://on-running.com,,
运动品牌,北面,户外服饰,采用环保材料打造，能够抵御极端天气,欧瑞、公司公告,https://www.thenorthface.com,,
