终端名称（字符型）,应用场景（字符型）,终端特性（字符型）,面向群体（字符型）,主流厂商（字符型）,智能终端产品形态（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
汽车信息娱乐系统,智能驾驶、方向导航,大屏幕、在线服务,车主、公共交通用户,特斯拉、苹果,车载系统,智能交通行业报告(2023),https://www.tesla.com/,2024-09-13,,,,,,,,,,,
智能显示器,会议、协作,触控屏、自定义应用,商业用户,Dell、华为,显示器,产品与技术评测,https://www.techreview.com,2024-09-13,,,,,,,,,,,
智能冷藏箱,食品管理、家庭储存,温度监控、食物跟踪,家庭用户、健康意识用户,三星、LG,家电,智能家电展(2023),https://www.smartappliancefair.com/,2024-09-13,,,,,,,,,,,
智能健身器械,家庭健身,联网健身课程,健身爱好者,Peloton、NordicTrack、Technogym,健身器械,健身产业白皮书(2023),https://www.fitnessindustry.com,2024-09-13,,,,,,,,,,,
智能机器人,家庭清洁,自动导航、远程控制,家庭用户,iRobot、小米、Roborock,家庭机器人,机器人行业报告(2023年),https://www.roboticsbusinessreview.com/,2024-09-13,,,,,,,,,,,
智能农业监测设备,农业管理,土壤湿度监测,农场主,Farmers Edge、Moocall,农业设备,现代农业科技展会,https://www.agfunder.com,2024-09-13,,,,,,,,,,,
智能投影仪,商务展示、家庭娱乐,高亮度、便捷设置,企业用户、家庭用户,明基、爱普生、LG,投影仪,Projection and Display Market Research,https://www.projectiondisplay.com,2024-09-13,,,,,,,,,,,
电子书阅读器,数字阅读,护眼屏幕、长时间待机,阅读爱好者、学生,亚马逊、京东,阅读器,电子书市场分析(2023),https://www.publishing.org/ebooks/2023-report,2024-09-13,,,,,,,,,,,
智能音响,音乐播放、智能家居,高清音质、智能助手,家庭用户、音乐爱好者,Sonos、JBL、Amazon,音响,科技市场研究,https://www.techresearch.com,2024-09-13,,,,,,,,,,,
智能遛狗设备,宠物管理,追踪定位、在线监控,宠物主人,Whistle、FitBark、Pawtrack,宠物设备,宠物科技资讯,https://www.pettech.com,2024-09-13,,,,,,,,,,,
