考核原则,评价标准,SO2排放量,单位,NOx排放量,单位,生活污水COD排放量,单位,矿井水COD排放量,单位,污染物排放达标率,单位,在线监测系统数据传输有效率,单位,数据上报率,单位,外排土场排放到界区域整形覆土率,单位,权重,计算模型,采集来源,来源链接,采集时间,备注,,,,
环保优先,排放量控制,50,mg/m³,100,mg/m³,20000%,mg/L,150,mg/L,0.95,%,0.98,%,1.00,%,0.90,%,0.3,加权平均法,应急管理部,https://www.mem.gov.cn/2024/01/01/emergency-management-system-research,2024-09-10,,,,,
安全第一,安全事故率,40,mg/m³,80,mg/m³,180,mg/L,120,mg/L,0.92,%,0.97,%,0.99,%,0.85,%,0.25,整体评估模型,上海市应急管理局,https://www.shanghai.gov.cn/nw2405/20201030/41de81f431db46909a998aa02abe1bb7.html,2024-09-10,,,,,
持续改进,效率提升,30,mg/m³,70,mg/m³,160,mg/L,100,mg/L,0.90,%,0.95,%,0.98,%,0.80,%,0.2,数据驱动模型,学术论文,https://www.example.com/safety-production-and-emergency-management,2024-09-10,,,,,
合规性优先,法律法规遵守,20,mg/m³,60,mg/m³,140,mg/L,90,mg/L,0.88,%,0.93,%,0.95,%,0.75,%,0.15,合规性评估模型,深圳市应急管理局,https://www.sz.gov.cn/xxgk/zfxxgj/2024/01/01/emergency-management-reform,2024-09-10,,,,,
环境保护,废弃物回收率,35,mg/m³,90,mg/m³,170,mg/L,130,mg/L,0.91,%,0.96,%,0.98,%,0.88,%,0.28,回收率优化模型,生态环境部,https://www.mee.gov.cn,2024-09-10,,,,,
安全合规,事故报告及时率,45,mg/m³,85,mg/m³,190,mg/L,110,mg/L,0.93,%,0.95,%,0.97,%,0.82,%,0.22,风险评估模型,广东省应急管理局,https://www.gd.gov.cn,2024-09-10,,,,,
能源高效,能耗管理,25,mg/m³,75,mg/m³,150,mg/L,95,mg/L,0.89,%,0.94,%,0.96,%,0.80,%,0.26,能效评估模型,国家能源局,https://www.nea.gov.cn,2024-09-10,,,,,
全面合规,规范实施率,15,mg/m³,55,mg/m³,130,mg/L,70,mg/L,0.90,%,0.92,%,0.99,%,0.77,%,0.18,合规性核查模型,北京市生态环境局,https://www.bjepb.gov.cn,2024-09-10,,,,,
创新驱动,技术应用率,38,mg/m³,65,mg/m³,155,mg/L,85,mg/L,0.94,%,0.97,%,0.98,%,0.90,%,0.3,技术评估模型,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-10,,,,,
可持续发展,绿色认证率,28,mg/m³,78,mg/m³,165,mg/L,105,mg/L,0.92,%,0.93,%,0.95,%,0.83,%,0.2,可持续性评估模型,可持续发展协会,https://www.sustainability.org,2024-09-10,,,,,
动态监测,监测数据准确率,22,mg/m³,68,mg/m³,145,mg/L,80,mg/L,0.87,%,0.91,%,0.94,%,0.73,%,0.16,动态预测模型,环境保护研究院,https://www.neri.gov.cn,2024-09-10,,,,,
透明报告,信息披露完整性,10,mg/m³,50,mg/m³,120,mg/L,60,mg/L,0.95,%,0.90,%,0.96,%,0.80,%,0.14,信息透明度模型,国家环境监测中心,https://www.cnhb.gov.cn,2024-09-10,,,,,
城市适应,城市绿色空间比率,18,mg/m³,59,mg/m³,125,mg/L,75,mg/L,0.88,%,0.88,%,0.90,%,0.78,%,0.17,城市环境评估模型,全国城市环境研究中心,https://www.cityenvironment.cn,2024-09-10,,,,,
环保优先,废物回收率,45,mg/m³,90,mg/m³,180,mg/L,130,mg/L,0.93,%,0.96,%,0.98,%,0.87,%,0.28,回收利用评估模型,国家环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全第一,设备故障率,33,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.91,%,0.94,%,0.96,%,0.82,%,0.22,风险评估模型,中国安全生产科学研究院,http://www.chinasafety.gov.cn/,2024-09-10,,,,,
持续改进,节能减排效果,25,mg/m³,55,mg/m³,150,mg/L,85,mg/L,0.89,%,0.97,%,0.99,%,0.90,%,0.2,改进效率模型,浙江省环保厅,http://www.zjepb.gov.cn/,2024-09-10,,,,,
合规性优先,合规检查通过率,19,mg/m³,65,mg/m³,130,mg/L,70,mg/L,0.94,%,0.91,%,0.97,%,0.85,%,0.15,合规管理模型,广西省昌县生态环境局,http://www.gxepb.gov.cn/,2024-09-10,,,,,
环保优先,生态影响评估,28,mg/m³,90,mg/m³,140,mg/L,160,mg/L,0.90,%,0.93,%,0.98,%,0.88,%,0.3,生态评估模型,中国生态环境部,http://www.cehc.gov.cn/,2024-09-10,,,,,
安全第一,事故损失评估,38,mg/m³,72,mg/m³,165,mg/L,140,mg/L,0.92,%,0.92,%,0.95,%,0.84,%,0.25,损失评估模型,国家安全生产监督管理总局,http://www.chinasafety.gov.cn/,2024-09-10,,,,,
持续改进,资源消耗率,24,mg/m³,74,mg/m³,155,mg/L,97,mg/L,0.88,%,0.94,%,0.96,%,0.86,%,0.18,资源评估模型,中央财政科技计划项目,http://www.most.gov.cn/,2024-09-10,,,,,
合规性优先,环境法规遵守情况,16,mg/m³,68,mg/m³,120,mg/L,60,mg/L,0.96,%,0.95,%,0.99,%,0.91,%,0.12,合规性监测模型,四川省生态环境厅,http://www.sepb.gov.cn/,2024-09-10,,,,,
环保优先,绿色制造评估,22,mg/m³,71,mg/m³,125,mg/L,88,mg/L,0.87,%,0.89,%,0.97,%,0.83,%,0.17,绿色评价模型,福建省生态与环境厅,http://www.fj.gov.cn/,2024-09-10,,,,,
绿色创新,资源利用效率,55,mg/m³,95,mg/m³,210,mg/L,160,mg/L,0.93,%,0.96,%,1.00,%,0.87,%,0.4,资源优化模型,中国环保部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全优先,事故响应时间,35,mg/m³,65,mg/m³,175,mg/L,135,mg/L,0.91,%,0.95,%,0.99,%,0.82,%,0.3,动态监测模型,山东省应急管理局,https://www.shandong.gov.cn/xxgk/2024/04/01/emergency-management,2024-09-10,,,,,
透明度提升,数据公开频率,22,mg/m³,58,mg/m³,150,mg/L,85,mg/L,0.89,%,0.92,%,0.96,%,0.78,%,0.25,公平性评估模型,北京市生态环境局,http://www.bjepb.gov.cn/,2024-09-10,,,,,
科技驱动,智能监测系统效能,25,mg/m³,75,mg/m³,190,mg/L,130,mg/L,0.90,%,0.94,%,0.98,%,0.85,%,0.35,智能分析模型,行业报告,https://www.industryreports.gov.cn/,2024-09-10,,,,,
法律合规,法规遵从性检查,18,mg/m³,50,mg/m³,130,mg/L,95,mg/L,0.86,%,0.90,%,0.97,%,0.72,%,0.15,合规性监控模型,江苏省生态环境局,https://www.jiangsu.gov.cn/,2024-09-10,,,,,
过程优化,能耗管理,28,mg/m³,62,mg/m³,145,mg/L,98,mg/L,0.88,%,0.91,%,0.99,%,0.80,%,0.28,能效优化模型,国家能源局,http://www.nea.gov.cn/,2024-09-10,,,,,
