海工装备名称,基础零部件,基础工艺,基础材料,核心零部件,高端工艺,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
海底操作机器人,抓手,机械加工,钛合金,电动机,自主学习算法,海底技术研发公司,https://www.subtech.com/,2024-09-21,,,,,,,,,,,
海底探测器,声纳设备,组装与校准,塑料合金,数据处理单元,实时数据传输,海洋科技网,https://www.oceantechnology.cn/,2024-09-21,,,,,,,,,,,
水下机器人,推进器,水密封技术,铝合金,导航系统,人工智能控制,国际水下技术协会,https://www.iut.org,2024-09-21,,,,,,,,,,,
海洋浮动式养殖舱,浮箱,热塑成型,聚乙烯,水质监测设备,无线传感器网络,中国水产科学研究院,https://www.cafs.ac.cn/,2024-09-21,,,,,,,,,,,
深水浮筒,支撑架,热塑成型,聚乙烯,海洋测试设备,流体动力学模拟,海洋工程协会,https://www.marineengineering.org,2024-09-21,,,,,,,,,,,
新能源汽车充电平台,充电桩,电子组件组装,金属合金,电池模块,高效能管理系统,新能源研究院,https://www新能源research.org/,2024-09-21,,,,,,,,,,,
潮流能发电机组,涡轮叶片,冲压成型,铝合金,发电模块,数控切割,国家能源局,https://www.nea.gov.cn/,2024-09-21,,,,,,,,,,,
深水潜水器,推进器,压力成型,钛合金,高清摄像头,3D打印技术,海洋技术协会,https://www.marine-technology.org,2024-09-21,,,,,,,,,,,
海水淡化设施,反渗透膜,膜分离技术,聚酰胺,泵系统,智能监测技术,中国水务网,http://www.chinawater.cn/,2024-09-21,,,,,,,,,,,
海底矿产开采设备,矿石破碎机,热处理,高强钢,运输系统,机器人操作,海洋资源与技术杂志,https://www.marine-resources.com/,2024-09-21,,,,,,,,,,,
