年份,月份,市场模式,市场化机制,电量偏差处理,调峰机制,可再生能源配额,单位,交易规则,价格机制,电量结算方式,采集来源,来源链接,采集时间,备注,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2024,9,现货市场,自由定价,从市场调节,有,18,%,按需交易,市场价格,按小时结算,国家电网公司,http://www.sgcc.com.cn/,2024-09-30,,,,,,,
2025,1,长期合同,固定价格,双方协商,无,25,%,合同交易,市场价,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,
2024,11,混合模式,混合定价,按比例分配,有,13,%,灵活交易,市场与政府结合,按年结算,中国电力市场网,http://www.cpe.cn/,2024-09-30,,,,,,,
2025,6,现货市场,自由定价,由市场调节,有,19,%,按需交易,市场价格,按小时结算,电力交易中心,http://www.chinaetrade.com/,2024-09-30,,,,,,,
2024,5,现货市场,自由定价,由市场调节,有,18,%,按需交易,市场价格,按小时结算,中国电力发展报告,http://www.chinaelectricity.com/,2024-09-30,,,,,,,
2023,8,现货市场,自由定价,由市场调节,无,21,%,按需交易,市场价格,按小时结算,全国绿色电力交易所,http://www.greenelectricity.com/,2024-09-30,,,,,,,
2023,6,边际定价,政府指导,固定补偿,有,19,%,定期交易,政府定价,按月结算,中国电力市场监测中心,http://www.electricitymonitor.org/,2024-09-30,,,,,,,
2023,9,现货市场,自由定价,由市场调节,有,18,%,按需交易,市场价格,按小时结算,中国电力市场管理中心,http://www.cpm.org.cn/,2024-09-30,,,,,,,
2023,7,混合模式,混合定价,按比例分配,有,14,%,灵活交易,市场与政府结合,按年结算,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,
2025,9,现货市场,自由定价,由市场调节,有,18,%,按需交易,市场价格,按小时结算,中国电力市场网,http://www.cem.com.cn/,2024-09-30,,,,,,,
