试验题目,登记号,生物合成技术名称,适用领域,申办者类型,申办者,合作者类型,合作者,研究类型,试验状态,试验分期,注册地区,试验国家/地区,登记日期,开始日期,完成日期,最新变更日期,系统构成,采集来源,来源链接,采集时间,备注
人工合成细胞试验,2023-003,人工合成细胞,学术研究,学术机构,深圳合成生物研究所,企业,深圳大学,基础研究,正在进行,3,深圳市,中国,2023-05-20,2023-06-01,2025-05-31,2024-10-12,人工合成细胞系统,清华大学,https://www.tsinghua.edu.cn/synthetic_biology/2023/06/01/artificial_cells.html,2024-09-25,
合成能量储存系统试验,2023-010,合成能量系统,能源、储能,科研机构,中国科学院深圳先进技术研究院,企业,中科大能源科技有限公司,应用研究,进行中,2,深圳市,中国,2023-10-02,2023-11-01,2025-10-31,2024-10-12,合成能量存储系统,深圳市发展和改革委员会,http://www.sz.gov.cn,2024-09-25,
微生物生物合成药物试验,2023-005,微生物代谢工程,制药,学术机构,清华大学医学院,企业,北京药业集团,基础研究,正在进行,2,北京市,中国,2023-03-15,2023-04-15,2025-03-14,2024-10-12,生物转化系统,中国生物医药协会,http://www.cnbma.org,2024-09-25,
合成生物疫苗研发试验,2023-010,重组蛋白疫苗技术,医疗,学术机构,中南大学,企业,湖南人福制药公司,基础研究,正在进行,3,长沙市,中国,2023-05-01,2023-06-15,2026-05-14,2024-10-12,重组蛋白表达系统,湖南省卫计委,http://www.hunan.gov.cn,2024-09-25,
合成生物商业化应用研究,2023-011,合成生物商业化,产业应用,企业,哈尔滨生物科技集团,学术机构,黑龙江大学,基础研究,规划中,1,哈尔滨市,中国,2023-12-01,2024-01-01,2025-12-31,2024-10-12,合成生物产品商业化系统,黑龙江省科技厅,http://www.hlj.gov.cn,2024-09-25,
合成燃料生产实验,2023-008,生物合成燃料技术,能源,企业,广西能源科技公司,学术机构,中南大学,应用研究,正在进行,1,南宁市,中国,2023-03-15,2023-04-01,2024-03-31,2024-10-09,合成生物燃料制造系统,广西省科技厅,http://www.gxst.gov.cn/,2024-09-25,
合成药物研发试验,2023-009,合成化学技术,制药、生物制剂,企业,四川生物制药有限公司,学术机构,成都医学院,应用研究,正在进行,3,成都市,中国,2023/7/12,2023/8/1,2027/7/31,2024/10/25,合成药物系统,四川省科技厅,http://www.science.sichuan.gov.cn/,2024-09-25,
合成生物制造疫苗试验,2023-005,合成生物学疫苗,公共卫生,学术机构,清华大学生物科学与技术系,企业,博雅生物制药公司,基础研究,正在进行,2,北京市,中国,2023/4/22,2023/5/15,2025/5/14,2024/10/12,合成疫苗制造平台,国家食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-25,
改良植物基因组编辑试验,2023-004,基因组编辑技术,农业、环境保护,企业,杭州农业科技有限公司,学术机构,浙江大学,应用研究,正在进行,1,杭州市,中国,2023/2/20,2023/3/1,2025/2/28,2024/10/12,植物基因组编辑系统,国家农业科技园区,http://www.nastp.gov.cn/agri-tech/,2024-09-25,
合成生物病虫害防治试验,2023-010,合成生物防治药剂,农业,企业,福建农业科技公司,学术机构,福州大学,应用研究,未开始,1,福州市,中国,2023/8/15,2023/9/1,2024/8/31,2024/10/12,生物防治生物剂合成系统,福建省农林厅,http://www.fujian.gov.cn/,2024-09-25,
