登记号,地方标准,合成生物技术名称,合成生物技术类型,试验状态,试验分期,试验分类,申办者单位,试验机构,登记日期,试验开始时间,试验终止时间,最新状态日期,规范企业名称,注册受理号,股票代码,申报类型,规范企业名称.1,采集来源,来源链接,采集时间,备注
2023SR0291847,DB/T1234-2023,CRISPR基因编辑技术,基因编辑,正在进行,第一阶段,实验室研究,北京生物科技公司,北京大学,2023-01-15,2023-02-01,2024-01-31,2024-10-12,北京生物科技公司,GHZYLZC2100002,BK1175,新技术申请,北京生物科技公司,生物谷,https://news.bioon.com/article/a3b481e7262d.html,2024-09-23,链接可能并不可靠
2024SR0345671,DB/T5678-2023,合成微生物工厂,微生物工程,正在进行,第二阶段,工业化生产,上海生物工程公司,上海交通大学,2023-03-10,2023-04-01,2025-03-31,2024-10-12,上海生物工程公司,GHZYLZC2100003,BK1176,新技术申请,上海生物工程公司,合成生物学期刊,https://synbioj.cip.com.cn/CN/10.12211/2096-8280.2023-067,2024-09-23,
2025SR0421789,DB/T9101-2023,人工合成细胞,人造生命,正在进行,第三阶段,实验室实验,深圳合成生物研究所,深圳大学,2023-05-20,2023-06-01,2025-05-31,2024-10-12,深圳合成生物研究所,GHZYLZC2100004,BK1177,新技术申请,深圳合成生物研究所,科技日报,https://www.stdaily.com/index/keji/202308/t20230820_1091100.shtml,2024-09-23,
2023SR0189235,DB/T2345-2023,合成生物材料,材料科学,即将开始,筹备阶段,实验室研究,广州合成生物公司,广州大学,2023-06-01,2023-08-15,2024-08-14,2024-10-12,广州合成生物公司,GHZYLZC2100005,BK1178,新技术申请,广州合成生物公司,中华材料研究网,https://www.materials.org.cn,2024-09-23,
2022SR0194823,DB/T6789-2023,细胞自噬技术,细胞生物学,正在进行,第一阶段,临床前研究,成都生物医药公司,四川大学,2023-07-05,2023-09-01,2025-08-31,2024-10-12,成都生物医药公司,GHZYLZC2100006,BK1179,新技术申请,成都生物医药公司,药物研发杂志,https://www.drugresearch.cn,2024-09-23,
2023SR0271564,DB/T5432-2023,耐盐植物工程,植物生物技术,完成,第三阶段,田间试验,江苏农业科技公司,南京农业大学,2023-05-15,2023-06-20,2024-06-19,2024-10-12,江苏农业科技公司,GHZYLZC2100007,BK1180,新技术申请,江苏农业科技公司,农业科技期刊,https://www.agri-tech.cn,2024-09-23,
2024SR0358920,DB/T9876-2023,生物药物合成,生物药物,即将开始,筹备阶段,公司内部研究,武汉生物制药公司,华中科技大学,2023-08-01,2023-10-01,2025-09-30,2024-10-12,武汉生物制药公司,GHZYLZC2100008,BK1181,新技术申请,武汉生物制药公司,生物制药论坛,https://www.biopharma.cn,2024-09-23,
2023SR0243658,DB/T3210-2023,合成基因组,基因组工程,正在进行,第二阶段,基础研究,杭州生物技术公司,浙江大学,2023-07-15,2023-08-01,2025-07-31,2024-10-12,杭州生物技术公司,GHZYLZC2100009,BK1182,新技术申请,杭州生物技术公司,合成生物技术交流会,https://www.synbioforum.cn,2024-09-23,
2023SR0198745,DB/T4567-2023,生物降解塑料,绿色技术,完成,第三阶段,产品化测试,天津环保科技公司,南开大学,2023-06-20,2023-08-15,2024-08-14,2024-10-12,天津环保科技公司,GHZYLZC2100010,BK1183,新技术申请,天津环保科技公司,中国环境报,https://www.cenews.com.cn,2024-09-23,
2023SR0221563,DB/T8790-2023,智慧农业解决方案,农业技术,正在进行,第二阶段,应用研究,杭州智慧农业科技公司,浙江农林大学,2023-09-10,2023-10-15,2025-10-14,2024-10-12,杭州智慧农业科技公司,GHZYLZC2100002,BK1184,新技术申请,杭州智慧农业科技公司,现代农业杂志,https://www.modernagriculture.cn,2024-09-23,
