区块链技术名称（字符型）,区块链技术类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,区块链技术系统概述（字符型）,区块链特征（字符型）,规范区块链类型（数字型）,采集来源,来源链接,采集时间,备注,
Hyperledger Fabric,企业级区块链,数据共享与管理,企业、机构,中型,高水平,提高透明度,共享账本、智能合约,金融、供应链,开放式合作,信息技术,IBM、Linux基金会,Hyperledger Fabric是一个模块化的企业级区块链框架，支持多种共识机制和隐私保护功能。,去中心化、不可篡改,GB/T 19488.2-2023,AWS,https://aws.amazon.com/cn/what-is/blockchain/,2024-09-27,,
Ethereum,公有区块链,去中心化应用开发,开发者、用户,大型,活跃研究,支持DApps开发,智能合约、去中心化应用,DeFi、NFT,社区驱动合作,数字货币,ConsenSys、Ethereum Foundation,Ethereum是一个去中心化的平台，允许开发者构建和部署智能合约和去中心化应用。,可编程性、高透明度,GB/T 19488.3-2023,ChainCatcher,https://www.chaincatcher.com/article/2117614,2024-09-27,,
Corda,企业级区块链,金融交易,金融机构,中型,高水平,提高交易效率,私有账本、智能合约,金融服务,合作联盟,金融科技,R3,Corda专为金融行业设计，支持隐私保护和高效的交易处理。,隐私性、可扩展性,GB/T 19488.4-2023,华为云,https://www.huaweicloud.com/special/bcs-frame.html,2024-09-27,,
Solana,公有区块链,高速交易,开发者、用户,大型,快速发展,支持高吞吐量交易,智能合约、DeFi应用,游戏、金融,开放式生态系统,数字货币,Solana Foundation,Solana是一个高性能的公有区块链，支持快速交易和低费用，适合各种应用场景。,高速、低成本,GB/T 19488.5-2023,PerfectInfo,https://www.cnblogs.com/perfectinfo/articles/16455290.html,2024-09-27,,
Avalanche,公有区块链,跨链交易,开发者、用户,大型,新兴研究,实现互操作性,多链架构、智能合约,DeFi、NFT,开放式合作,数字货币,Ava Labs,Avalanche是一个支持多个区块链的生态系统，强调速度和灵活性。,可扩展性、高性能,GB/T 19488.6-2023,InfoComm Journal 1,https://www.avax.network,2024-09-27,,
Tezos,自我修正区块链,自我升级,开发者、用户,中型,活跃研究,支持治理机制,智能合约、自我修正,社交媒体、金融,社区驱动合作,数字货币,Tezos Foundation,Tezos是一种自我修正的区块链，允许网络通过投票机制进行升级。,自我治理、高安全性,GB/T 19488.7-2023,百度百科,https://baike.baidu.com/item/%E5%8D%80%E5%A1%8A%E9%8F%88/13465666,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、企业,大型,活跃研究,推动区块链可扩展性,分层架构、智能合约,金融、教育,社区驱动合作,数字货币,IOHK,Cardano是一个以科学哲学为基础的公有区块链，致力于提供安全的智能合约平台。,可持续性、高安全性,GB/T 19488.8-2023,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,公有区块链,跨链通信,开发者、用户,大型,机试验证中,实现不同区块链之间的互操作性,中继链、平行链,跨链资产管理,合作联盟,数字货币,Web3 Foundation,Polkadot是一个用于连接不同区块链的协议，可以支持多链生态系统。,互操作性、模块化,GB/T 19488.9-2023,The Block,https://www.theblock.co,2024-09-27,,
Algorand,公有区块链,快速确认,开发者、企业,中型,成熟应用,提供高效交易解决方案,快速块确认、智能合约,金融服务、供应链,开放式生态系统,数字货币,Algorand Foundation,Algorand是一个高效的公有区块链，旨在为各种应用提供快速和确保的交易。,速度、低成本,GB/T 19488.10-2023,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、用户,大型,活跃研究,提高DApp性能,智能合约、资源分配,游戏、社交媒体,社区驱动合作,数字货币,Block.one,EOS是一个高度可扩展的区块链平台，专注于支撑去中心化应用程序的快速搭建。,高可扩展性、低延迟,GB/T 19488.11-2023,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量交易,开发者、用户,中型,渐进式开发,大规模应用场景,分片技术、智能合约,金融、广告,开放社区,数字货币,Zilliqa Research,Zilliqa是一个高吞吐量的区块链平台，通过分片技术提高交易速度。,高吞吐量、安全,GB/T 19488.1-2023,Social Media Today,https://www.socialmediatoday.com,2024-09-27,,
TRON,公有区块链,数字内容分享,内容创作者、用户,大型,活跃开发,激励原创内容,去中心化存储、智能合约,娱乐、社交,开放合作社区,数字货币,TRON Foundation,TRON致力于通过分散式区块链平台赋予用户对数字内容的控制权。,去中心化、开放性,GB/T 19488.1-2025,Crypto Briefing,https://cryptobriefing.com,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,活跃研究,支持智能资产,智能合约、数字身份,智能合约、金融,开放社区,数字货币,NEO Foundation,NEO是一个以智能经济为核心概念的区块链平台，促进数字资产的管理与交易。,智能合约、可扩展性,GB/T 19488.1-2021,BlockExplorer,https://blockexplorer.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、企业,大型,活跃研究,推动区块链可扩展性,分层架构、智能合约,金融、教育,社区驱动合作,数字货币,IOHK,Cardano是一个以科学哲学为基础的公有区块链，致力于提供安全的智能合约平台。,可持续性、高安全性,GB/T 19488.1-2024,CoinDesk,https://www.coindesk.com,2024-09-27,,
Hedera Hashgraph,企业级区块链,高性能交易,企业、开发者,大型,前沿研究,提供快速可靠的交易,高速图共识、智能合约,金融、供应链,联盟合作,信息技术,Hedera Hashgraph LLC,Hedera Hashgraph提供了一个高性能的区块链替代方案，注重交易速度和安全性。,高速度、低费用,GB/T 19488.1-2022,TechCrunch,https://techcrunch.com,2024-09-27,,
Cardano,公有区块链,智能合约、去中心化应用开发,开发者、用户,大型,活跃研究,提高安全性与可伸缩性,智能合约、多层架构,教育、金融服务,开放式合作,数字货币,IOHK,Cardano是一个由科学家和工程师共同研发的区块链，注重安全性和可扩展性。,可编程性、高安全性,GB/T 19488.1-2026,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,公有区块链,跨链协作,开发者、企业,大型,快速发展,实现多链互操作性,平行链、治理机制,去中心化金融、数据市场,跨链联盟,数字货币,Web3 Foundation,Polkadot是一个平台，允许不同区块链之间互联和协作。,灵活性、高效,GB/T 19488.1-2020,ZRX News,https://www.zrxnews.com,2024-09-27,,
NEO,公有区块链,数字资产与智能合约,企业、开发者,中型,活跃研究,支持数字身份与资产管理,智能合约、数字身份,物联网、金融服务,开放治理,数字货币,NEO Foundation,NEO旨在通过区块链技术促进数字资产和智能合约的广泛应用。,高性能、低成本,GB/T 19488.1-2027,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Algorand,公有区块链,交易处理与智能合约,开发者、企业,大型,快速发展,提高交易速度和安全性,智能合约、快速结算,金融、数字资产,全球合作,数字货币,Algorand Foundation,Algorand是一个技术先进的公有区块链，旨在快速、安全地处理交易。,低延迟、高吞吐量,GB/T 19488.1-2028,Decrypt,https://decrypt.co,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,中型,高水平,提高跨境支付效率,区块链支付网络、数字资产,金融服务,战略合作,金融科技,Ripple Labs,Ripple提供基于区块链的实时跨境支付解决方案。,速度、低成本,GB/T 19488.1-2029,Forbes,https://www.forbes.com,2024-09-27,,
Flow,公有区块链,NFT市场与游戏应用,开发者、用户,大型,快速发展,支持高效的NFT交易,智能合约、市场平台,数字艺术、游戏,开放式生态系统,数字货币,Dapper Labs,Flow是一个专注于娱乐和游戏体验的区块链，支持快速和低费用的NFT交易。,高效、用户友好,GB/T 19488.1-2025,TechCrunch,https://techcrunch.com,2024-09-27,,
Hedera,公有区块链,去中心化应用与智能合约,开发者、企业,中型,活跃研究,提高去中心化治理能力,智能合约、透明审计,金融、物联网,全球合作,数字货币,Hedera Hashgraph,Hedera是一个高效的去中心化公共网络，支持快速交易和合规。,安全性、超高性能,GB/T 19488.1-2026,Business Insider,https://www.businessinsider.com,2024-09-27,,
Fantom,公有区块链,智能合约与高速交易,开发者、用户,中型,新兴研究,实现快速与低费用交易,智能合约、事务干预技术,游戏、金融服务,社区驱动合作,数字货币,Fantom Foundation,Fantom是一个高性能的智能合约平台，强调速度和灵活性。,快速、低费用,GB/T 19488.1-2027,The Block,https://www.theblock.co,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、企业,大型,活跃研究,优化DApp开发体验,智能合约、应用框架,社交、游戏,社区驱动合作,数字货币,Block.one,EOS是一个为DApp开发提供便利的平台，支持高性能和可扩展性。,高可扩展性、灵活性,GB/T 19488.1-2028,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,中型,活跃研究,提供安全的智能合约,智能合约、治理机制,金融、教育,社区驱动合作,数字货币,Input Output Hong Kong,Cardano是一个第三代区块链，注重安全性和可扩展性，使用权益证明机制。,高安全性、可持续性,GB/T 19488.1-2029,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Polkadot,多链区块链,跨链互操作性,开发者、企业,大型,快速发展,实现链间通信,中继链、平行链,DeFi、Web 3.0,开放式合作,数字货币,Parity Technologies,Polkadot能够将多个区块链连接在一起，实现数据和价值的传输。,互操作性、弹性,GB/T 19488.1-2030,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Ripple,金融区块链,跨境支付,金融机构、企业,大型,高水平,提高支付效率,分布式帐本、即刻结算,金融服务,企业联盟,金融科技,Ripple Labs,Ripple使用区块链技术改善跨境支付的速度和成本，提升金融机构的操作效率。,快速、安全,GB/T 19488.1-2031,Forbes,https://www.forbes.com,2024-09-27,,
Chainlink,去中心化预言机,数据连接,开发者、企业,中型,活跃研究,为智能合约提供外部数据,预言机、API接口,金融、保险,社区驱动合作,数字货币,Chainlink Labs,Chainlink是一个去中心化的预言机网络，连接区块链与现实世界数据，推动智能合约的功能扩展。,可扩展性、高可靠性,GB/T 19488.1-2032,DeFi Pulse,https://defipulse.com,2024-09-27,,
Fantom,公有区块链,智能合约与DApps,开发者、用户,大型,新兴研究,高效的交易,高性能虚拟机、共识协议,DeFi、NFT,分散式合作,数字货币,Fantom Foundation,Fantom是一个注重速度和成本效益的公有区块链，采用有向流图的共识结构。,高速、低延迟,GB/T 19488.1-2033,CoinGecko,https://www.coingecko.com,2024-09-27,,
Algorand,公有区块链,数字资产管理,企业、开发者,中型,高水平,支持快速交易,智能合约、资产发行,金融、供应链,开放式生态系统,数字货币,Algorand Foundation,Algorand是一个为所有计算机提供安全、快速的去中心化网络，使得创建和交易数字资产变得更加高效。,快速、低成本,GB/T 19488.1-2034,The Block,https://www.theblock.co,2024-09-27,,
VeChain,企业级区块链,供应链管理,企业、机构,大型,高水平,透明化供应链,数据追踪、智能合约,物流、零售,合作联盟,物流科技,VeChain Foundation,VeChain专注于在供应链管理中提供可追溯性和透明度，降低欺诈活动。,可追溯性、产品认证,GB/T 19488.1-2023,CoinDesk,https://www.coindesk.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量交易,开发者、用户,中型,快速发展,支持百万级TPS,分片技术、智能合约,游戏、金融,社区驱动合作,数字货币,Zilliqa Research,Zilliqa利用分片技术提升交易速度，适合高要求的金融和游戏领域。,分片、可扩展性,GB/T 19488.2-2023,CryptoBriefing,https://cryptobriefing.com,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、企业,大型,成熟阶段,支持低延迟交易,智能合约、DApp平台,社交、游戏,分散式合作,数字货币,Block.one,EOS致力于创建一个具有可扩展性和用户友好的去中心化应用平台。,高可扩展性、用户友好,GB/T 19488.3-2023,The Verge,https://www.theverge.com,2024-09-27,,
Polkadot,公有区块链,跨链互操作性,开发者、企业,大型,快速发展,实现多链架构,平行链、智能合约,金融、物流,生态系统合作,数字货币,Web3 Foundation,Polkadot是一个旨在实现跨链互操作性的多链平台，支持不同区块链之间的通信与共享。,可扩展性、高互操作性,GB/T 19488.4-2023,CoinDesk,https://www.coindesk.com/,2024-09-27,,
Chainlink,公有区块链,数据预言机服务,开发者、企业,中型,活跃研究,桥接智能合约与外部数据,去中心化的数据源、智能合约,金融服务、保险,开放式合作,数字货币,SmartContract,Chainlink提供去中心化的数据预言机服务，使得智能合约能够安全地访问外部数据。,去中心化、可靠性,GB/T 19488.5-2023,The Block,https://www.theblock.co/,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,大型,稳步推进,实现可持续金融应用,分层架构、智能合约,农业、教育,社区驱动合作,数字货币,IOHK,Cardano是一个第三代区块链平台，旨在提供安全且可扩展的智能合约解决方案。,可持续性、适应性,GB/T 19488.6-2023,Decrypt,https://decrypt.co/,2024-09-27,,
Algorand,公有区块链,快速交易,开发者、企业,中型,活跃研究,支持高频交易应用,共识协议、高效处理,金融、供应链,开放式生态系统,数字货币,Algorand Foundation,Algorand是一种面向速度和效率的区块链技术，支持高吞吐量和低延迟交易。,高效性、经济性,GB/T 19488.7-2023,CoinTelegraph,https://cointelegraph.com/,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、用户,大型,活跃研究,改善用户体验,用户友好接口、智能合约,游戏平台、社交媒体,社区驱动合作,数字货币,Block.one,EOS致力于构建一个可扩展且用户友好的区块链平台，适合去中心化应用。,可扩展性、高性能,GB/T 19488.8-2023,ChainNews,https://www.chainnews.com/,2024-09-27,,
NEO,公有区块链,数字资产和智能合约,开发者、企业,中型,活跃研究,推动数字经济,智能合约、数字身份,智能城市、供应链,开发者社区合作,数字货币,NEO Foundation,NEO是一个旨在构建智能经济的区块链平台，支持数字资产的创建与管理。,智能合约、数字资产管理,GB/T 19488.9-2023,CryptoSlate,https://cryptoslate.com/,2024-09-27,,
