应用状态（字符型）,推广形式（字符型）,已转让企业个数（数值型）,单位,技术转让收入（数值型）,单位.1,自行转化效益（数值型）,单位.2,预计达产投资（数值型）,单位.3,预计达产利税（数值型）,单位.4,未应用或停用原因（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
初步应用,技术展示,7,个,220,万元,140,万元,850,万元,320,万元,缺乏足够支持,复旦大学量子科学中心,http://www.fudan.edu.cn,2024-10-21,,,,,,,,,
在研,技术交流,25,个,800,万元,500,万元,3000,万元,1500,万元,市场接受度待确认,中国科学院量子研究中心,http://www.qrc.cas.cn,2024-10-21,,,,,,,,,
初步应用,学术合作,12,个,220,万元,180,万元,1100,万元,430,万元,行业需求不足,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
停用,政府项目,4,个,175,万元,90,万元,750,万元,250,万元,资金投入不足,国防科技大学,http://www.nudt.edu.cn/,2024-10-21,,,,,,,,,
进行中,国际合作,20,个,600,万元,350,万元,2500,万元,900,万元,技术适应性不足,量子技术研究中心,http://www.qtrc.edu.cn,2024-10-21,,,,,,,,,
停用,科研项目补助,2,个,90,万元,70,万元,500,万元,200,万元,资源整合不足,量子技术创新网,http://www.qtic.com.cn,2024-10-21,,,,,,,,,
在研,实验室研究,4,个,180,万元,120,万元,950,万元,350,万元,缺少投资支持,中科院量子科技研究所,http://www.iqst.ac.cn,2024-10-21,,,,,,,,,
进行中,开源平台,20,,600,,350,万元,1700,万元,350,万元,技术门槛高,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,
待推广,企业洽谈,14,个,470,万元,300,万元,1700,万元,750,万元,市场导向不明确,中国经济导报,http://www.ceobserver.cn,2024-10-21,,,,,,,,,
待推广,行业研讨会,7,个,250,万元,120,万元,950,万元,350,万元,技术创新不足,量子先导,https://www.quantumleaders.org/,2024-10-21,,,,,,,,,
