蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注
NR-ARFCN 5G,5G,10 Gbps,最长300米,高,增强现实、虚拟现实,Telefónica,https://www.telefonica.com/,,
2G GSM,2G,64 kbps,最长35公里,低,语音通话、短信服务,GSMA,https://www.gsma.com/,,
NB-IoT,LPWAN,250 kbps,最长10公里,低,智能城市、设备监控,Huawei,https://www.huawei.com,,
4G LTE-Advanced,4G,1 Gbps,最长100公里,中,移动互联网、高清流媒体,Verizon,https://www.verizon.com/,,
5G SA,5G,20 Gbps,最长500米,高,工业自动化、智慧交通,Nokia,https://www.nokia.com/,,
TETRA,4G,30-60 kbps,不超过20公里,中,应急服务、公共安全,Motorola Solutions,https://www.motorolasolutions.com/,,
VoIP,IP,128 kbps - 1 Mbps,不限制,中,国际通话、视频会议,Cisco,https://www.cisco.com/,,
C-V2X,5G,100 Mbps,最长2公里,高,智能驾驶、车联网,Qualcomm,https://www.qualcomm.com/,,
FDD-LTE,4G,150 Mbps,最长15公里,中,高清流媒体、游戏,ZTE,https://www.zte.com.cn/,,
SDR,多标准,最高1 Gbps,不限制,高,多媒体传输、卫星通信,Ericsson,https://www.ericsson.com/,,
WiMAX,4G,20 Mbps,最长50公里,中,城市宽带、农村上网,IEEE,https://www.ieee.org/,,
5G Edge,5G,15 Gbps,预计最长1公里,高,低延迟计算、实时数据处理,Alibaba Cloud,https://www.aliyun.com/,,
UMTS,3G,384 kbps,最长30公里,中,手机上网、视频通话,Ericsson,https://www.ericsson.com/,,
5G NR,5G,1 Gbps,最长1000米,高,智慧城市、远程医疗,Samsung,https://www.samsung.com/,,
LMDS,WiMAX,100 Mbps,最长5公里,中,城市互联网、数据服务,Comcast,https://www.comcast.com/,,
B4G,4G,500 Mbps,最长20公里,中,移动游戏、流媒体服务,T-Mobile,https://www.t-mobile.com/,,
SCTE 104,混合网络,高达1 Gbps,不限制,高,户外广告、智能家居,Comcast Technology Solutions,https://www.comcasttechnologysolutions.com/,,
NB-IoT,IoT,250 kbps,最长35公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
4G LTE,4G,50-150 Mbps,最长50公里,中,移动互联网、在线游戏,中国联通,https://www.chinaunicom.com/,,
5G NR,5G,10 Gbps,最长500米,高,虚拟现实、增强现实,华为技术有限公司,https://www.huawei.com,,
T-DMB,数字多媒体广播,1 Mbps,最远20公里,低,移动电视、车载娱乐,DMB Forum,https://www.dmbforum.org/,,
WiMAX,4G,1 Gbps,最长50公里,中,高速互联网接入,IEEE 802.16,https://standards.ieee.org/,,
5G SA,5G,20 Gbps,预计最长300米,高,智能制造、无人驾驶,Nokia,https://www.nokia.com/,,
Edge Computing Network,边缘计算,高于1 Gbps,近距,中,实时数据处理,Gartner,https://www.gartner.com/,,
C-RAN,5G,高达10 Gbps,约为5公里,高,城市通信基础设施,通信行业发展论坛,https://www.caidf.org/,,
FDD-LTE,4G,100 Mbps,最长30公里,中,音乐流媒体、视频通话,Telecom Regulatory Authority,https://www.trai.gov.in/,,
V2X,车联网,1 Mbps,局部,高,智能交通、自动驾驶,IEEE Vehicular Technology Society,https://vts.ieee.org/,,
LPWAN,超低功耗广域网,0.5 kbps - 50 kbps,最长10公里,低,智能农业、城市基础设施监测,IoT Analytics,https://iot-analytics.com,,
GSM-R,铁路专用网络,9600 bps,最远50公里,中,铁路通信、列车控制,UIC,https://uic.org/,,
6G,6G,超过100 Gbps,预计最长4公里,高,智能体验、全息影像,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
B5G,Beyond 5G,未知,未知,高,智慧型系统、虚拟现实,5G PPP,https://5g-ppp.eu/,,
Smart Grid Communication,智能电网,1 Mbps,最长20公里,中,能源管理、负荷预测,International Energy Agency,https://www.iea.org/,,
Public Safety Networks,专用网络,100 Mbps,最远100公里,中,应急通信、公共安全,公共安全通信协会,https://www.npstc.org/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
5G NR,5G,10 Gbps,最长500米,高,增强现实、虚拟现实,IEEE,https://www.ieee.org/,,
CAT-M1,LPWA,1 Mbps,最长15公里,中,智能家居、可穿戴设备,Semtech,https://www.semtech.com/,,
4G LTE,4G,50 Mbps,最长50公里,中,视频流、移动网络,Telecom Regulatory Authority,https://www.trai.gov.in/,,
Fixed Wireless,4G,20 Mbps,最长5公里,中,远程地区上网,Open Signal,https://www.opensignal.com/,,
VHF Radio,2G,125 kbps,不定,低,应急服务、运输监控,Sierra Wireless,https://www.sierrawireless.com/,,
WiMAX,4G,70 Mbps,最长30公里,中,固定无线接入、业务通信,Brocade Networks,https://www.broadcom.com/,,
TETRA,专业无线,25.6 kbps,最长30公里,中,公共安全、应急响应,Radio Engineering,https://www.radioeng.com/,,
6G Prototype,6G,超过1 Tbps,预计最长800米,高,超高带宽需求、智能交通,Nokia Bell Labs,https://www.bell-labs.com/,,
CDMA2000 1x,3G,153 kbps,最长30公里,中,移动数据、VoIP,KDDI,https://www.kddi.com/,,
DASH7,LPWAN,200 kbps,最长10公里,低,供应链管理、智能农业,Dash7 Alliance,https://www.dash7.org/,,
Zigbee,LPWAN,250 kbps,最长100米,低,家庭自动化、智能设备连接,Zigbee Alliance,https://zigbeealliance.org/,,
M2M,LPWAN,50 kbps,最长20公里,中,设备管理、远程监控,Cisco Systems,https://www.cisco.com/,,
Fifth Generation Network (FifthG),5G,25 Gbps,预计最长1公里,高,无人驾驶、智能交通,Huawei Research,https://www.huawei.com/,,
Ethernet,固定网络,1 Gbps,最多100米,中,企业网络、数据中心,Networking World,https://www.networkingworld.com/,,
Private LTE,4G,100 Mbps,最长10公里,高,工业自动化、企业通讯,KPMG,https://home.kpmg/,,
OpenRAN,开放网络架构,速度可变,不定,中,灵活网络部署、低成本解决方案,Open RAN Policy Coalition,https://www.openranc.org/,,
智慧城市网络,5G,3 Gbps,最长500米,高,城市监控、智能交通,中兴通讯,https://www.zte.com.cn,,
NB-IoT,LPWA,250 kbps,最长10公里,中,智能表计、环境监测,中国信息通信技术研究院,https://www3.citicpr.com,,
Wi-Fi 6,Wi-Fi,9.6 Gbps,最长300米,中,家庭网络、企业解决方案,Wi-Fi Alliance,https://www.wi-fi.org,,
4G LTE Advanced,4G,1 Gbps,最长50公里,中,高清流媒体、在线游戏,Verizon,https://www.verizon.com,,
5G NR,5G,10 Gbps,最长200米,高,增强现实、虚拟现实,GSMA,https://www.gsma.com,,
TDD 5G,5G,1.5 Gbps,最长500米,高,智能制造、车联网,中国联通,https://www.chinaunicom.com,,
eMTC,LPWA,1 Mbps,最长15公里,低,低功耗广域网络,ITU,https://www.itu.int,,
Smart Satellite 6G,6G,超100 Gbps,不限制,高,卫星互联网、全球覆盖,NASA,https://www.nasa.gov,,
WiMAX,4G,70 Mbps,最长50公里,中,城市宽带、无线连接,IEEE,https://www.ieee.org,,
Edge Computing 5G,5G,数据流量不限,最长1公里,高,边缘计算、AI分析,Gartner,https://www.gartner.com,,
Femtocell,3G,最大10 Mbps,最长50米,低,家庭网络、分布式天线系统,Nokia,https://www.nokia.com,,
Sub-6 GHz 5G,5G,1-3 Gbps,最长5公里,中,公共安全、紧急服务,Cisco,https://www.cisco.com,,
GSM-R,2G ,最大114 kbps,最长250公里,中,铁路通信、信号控制,UIC,https://uic.org,,
4G LTE,4G,最大300 Mbps,最长20公里,中,移动宽带、视频会议,AT&T,https://www.att.com,,
Private 5G,5G,平均1 Gbps,最长300米,高,企业内部通信、智慧物流,Frost & Sullivan,https://www.frost.com,,
Emergency Communications System,LTE,最大150 Mbps,最长100公里,中,紧急响应、公共安全,FCC,https://www.fcc.gov,,
Machine Type Communication,5G,超过2 Mbps,最长30公里,低,机器对接、IoT,Telecom Italia,https://www.telecomitalia.com,,
5G NR,5G,10 Gbps,最长500米,高,智能城市、自动驾驶,三星电子,https://www.samsung.com/,,
NB-IoT,LPWAN,200 kbps,最长10公里,低,智能表计、城市管理,华为技术有限公司,https://www.huawei.com,,
VoNR,5G,最大300 Mbps,最长100公里,中,语音通话、质量保证,国际电信联盟,https://www.itu.int/,,
4G LTE Advanced,4G,1 Gbps,最长50公里,中,视频流媒体、在线游戏,Nokia,https://www.nokia.com/,,
Fifth Generation Satellite,5G,350 Mbps,不限制,高,全球广播、偏远地区,GEO Satellite Communications,https://www.geosatcom.com,,
4G Cat-M1,LPWA,375 kbps,最长20公里,低,物联网设备、健康监测,AT&T,https://www.att.com/,,
Ultra-Reliable Low Latency Communication (URLLC),5G,8 Gbps,最长2公里,高,远程操作、自动驾驶,Ericsson,https://www.ericsson.com/,,
WiFi 6 (802.11ax),WiFi,9.6 Gbps,最长300米,中,家庭网络、办公室无线,Wi-Fi Alliance,https://www.wi-fi.org/,,
4G LTE,4G,150 Mbps,最长40公里,中,移动数据、视频通话,Verizon,https://www.verizon.com/,,
2G GSM,2G,30-40 kbps,最长35公里,低,语音通话、短信服务,Motorola Solutions,https://www.motorolasolutions.com/,,
4G TD-LTE,4G,300 Mbps,最长100公里,中,无线宽带、移动办公,中国电信,https://www.chinatelecom-h.com,,
HSPA,3G,14.4 Mbps,最长30公里,低,视频通话、数据服务,爱立信,https://www.ericsson.com/,,
Dynamic Spectrum Sharing (DSS),5G,最大1 Gbps,最长5公里,高,频谱优化、动态网络管理,CommScope,https://www.commscope.com/,,
