实现方案种类（字符型）,量子比特处理器多少位（数字型）,量子比特间的纠缠或连接程度（字符型）,单量子比特储存时间（数值型）,单位,保真度（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
超导量子比特,1121,高（每个量子比特连接多个）,100,微秒,99.8,%,科学网,https://news.sciencenet.cn/htmlnews/2023/12/513636.shtm,2024-10-22,,,,,,,,,,,,
超导量子比特,433,中（每个量子比特连接2-3个）,50,微秒,99.5,%,MITTR中国,https://www.mittrchina.com/news/detail/13207,2024-10-22,,,,,,,,,,,,
中性原子量子比特,6100,高（每个量子比特连接多个）,200,微秒,98,%,QbitAI,https://www.qbitai.com/2021/11/30261.html,2024-10-22,,,,,,,,,,,,
离子阱量子比特,20,高（每个量子比特连接多个）,300,微秒,99,%,IBM,https://www.ibm.com/cn-zh/topics/qubit,2024-10-22,,,,,,,,,,,,
超导量子比特,127,中（每个量子比特连接2-3个）,70,微秒,99.7,%,科技日报,https://new.qq.com/rain/a/20240110A027AC00,2024-10-22,,,,,,,,,,,,
超导量子比特,1000,高（每个逻辑量子位对应1000多个物理量子位）,,微秒,99.7,%,科学网,https://news.sciencenet.cn/htmlnews/2023/12/513636.shtm,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,高（每个量子比特连接多个）,150,微秒,99.2,%,Nature,https://www.nature.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,中（每个量子比特连接2-3个）,130,微秒,99.4,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
量子点量子比特,256,低（每个量子比特连接0-1个）,45,微秒,97.5,%,Physics Today,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,
光子量子比特,128,高（每个量子比特连接多个）,80,微秒,98.8,%,光子学杂志,https://www.journalofphotonics.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,100,中（每个量子比特连接2-3个）,350,微秒,99.1,%,Quartz,https://www.quartz.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,750,高（每个逻辑量子位对应100个物理量子位）,90,微秒,99.6,%,科技前沿,https://www.techfrontier.com/,2024-10-22,,,,,,,,,,,,
量子电路量子比特,300,中（每个量子比特连接2-3个）,60,微秒,96.9,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,120,微秒,99.7,%,清华大学,https://www.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,400,高（每个量子比特连接多个）,110,微秒,99.3,%,阿斯彭物理学,https://www.aspenphysics.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,24,低（每个量子比特连接0-1个）,280,微秒,98.5,%,华尔街日报,https://www.wsj.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.9,%,Nature,https://www.nature.com/articles/s41586-021-03689-4,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,中（每个量子比特连接2-3个）,250,微秒,98.5,%,清华大学量子研究所,https://www.tsinghua.edu.cn/quantum,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,180,微秒,97,%,量子计算期刊,https://www.quantumjournal.org,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,120,微秒,99.3,%,物理学前沿,https://www.physica.org,2024-10-22,,,,,,,,,,,,
光量子比特,256,低（每个量子比特连接1-2个）,10,微秒,96,%,Github电气与电子工程师协会,https://ieee.org,2024-10-22,,,,,,,,,,,,
量子点量子比特,128,中（每个量子比特连接2-3个）,60,微秒,98.2,%,APS物理出版社,https://journals.aps.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,64,中（每个量子比特连接2-3个）,30,微秒,95,%,量子计算国际会议,https://www.qcconference.org,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,75,微秒,99.1,%,康奈尔大学,https://www.cornell.edu,2024-10-22,,,,,,,,,,,,
量子计算机技术报告,2500,高（每个量子比特连接多个）,100,微秒,99.8,%,中国科学院,https://www.cas.cn,2024-10-22,,,,,,,,,,,,
离子阱量子比特,45,高（每个量子比特连接多个）,220,微秒,98.9,%,Molecular Quantum Science,https://www.molecularquantum.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-4个）,80,微秒,98.5,%,量子计算前沿,https://www.quantumfrontier.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,90,微秒,99.2,%,量子科技杂志,https://www.quantumtechmagazine.com,2024-10-22,,,,,,,,,,,,
光量子比特,512,中（每个量子比特连接2-3个）,120,微秒,97.5,%,国际量子科学院,https://www.internationalquantuminstitute.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,高（每个量子比特连接多个）,250,微秒,99.4,%,量子技术中心,https://www.quantumtechcenter.org,2024-10-22,,,,,,,,,,,,
超导量子比特,750,中（每个量子比特连接2-4个）,65,微秒,99.6,%,计算机科学未来,https://www.futureofcomputing.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,高（每个量子比特连接多个）,180,微秒,98.8,%,量子研究框架,https://www.quantumresearchframework.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,1024,中（每个量子比特连接3-5个）,110,微秒,99.1,%,量子计算探索,https://www.quantumexploitation.com,2024-10-22,,,,,,,,,,,,
光量子比特,128,高（每个量子比特连接多个）,95,微秒,98.9,%,量子电信,https://www.quantumtelecom.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,32,高（每个量子比特连接多个）,310,微秒,99.3,%,量子探索,https://www.quantumexploration.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8100,高（每个量子比特连接多个）,220,微秒,97,%,高能物理期刊,https://www.highenergyjournal.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,120,微秒,98.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
硅量子比特,32,低（每个量子比特连接1个）,45,微秒,99.1,%,科技日报,https://www.stdaily.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,200,微秒,99.8,%,清华大学,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
光量子比特,128,高（每个量子比特连接多个）,90,微秒,98.9,%,Future Science,https://www.future-science.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.6,%,量子前沿,https://www.quantumfrontier.com,2024-10-22,,,,,,,,,,,,
方案C,16,中（每个量子比特连接2-3个）,30,微秒,97.5,%,IEEE,https://www.ieee.org,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7500,高（每个量子比特连接多个）,250,微秒,99,%,Phys.org,https://www.phys.org,2024-10-22,,,,,,,,,,,,
