年份（字符型）,地区（字符型）,区块链数量（数值型）,单位,区块链应用行业（字符型）,区块链应用场景（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023年,中国,3453,个,制造、金融、政务,数字身份、供应链管理,中国信息通信研究院,http://www.caict.ac.cn/kxyj/qwfb/ztbg/202401/P020240109608426916949.pdf,2024-09-29,,,,,,,,,,,,
2023年,美国,1200,个,金融、能源,跨境支付、点对点能源交易,AWS,https://aws.amazon.com/cn/what-is/blockchain/,2024-09-29,,,,,,,,,,,,
2023年,欧洲,800,个,媒体、娱乐,数字版权管理,阿里云,https://www.alibabacloud.com/zh/knowledge/five-application-scenarios-of-blockchain-technology?_p_lc=1,2024-09-29,,,,,,,,,,,,
2023年,日本,500,个,零售、物流,商品溯源,Hunan省人民政府,http://www.hunan.gov.cn/zqt/zcsd/202402/t20240223_32907696.html,2024-09-29,,,,,,,,,,,,
2023年,新加坡,300,个,政务、金融,智能合约应用,InfoComm Journal,https://zh.wikipedia.org/zh-sg/%E5%8C%BA%E5%9D%97%E9%93%BE,2024-09-29,,,,,,,,,,,,
2023年,韩国,400,个,医疗、保险,数据共享与隐私保护,中国信通院,http://www.caict.ac.cn/kxyj/qwfb/ztbg/202401/P020240109608426916949.pdf,2024-09-29,,,,,,,,,,,,
2023年,印度,650,个,农业、金融,农业供应链管理、智能合约,印度信息技术部,https://www.meity.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,巴西,900,个,金融、物流,支付清算、货物追踪,巴西国家银行,https://www.bcb.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,英国,850,个,医疗、传媒,患者数据管理、版权保护,UK Government Digital Service,https://www.gov.uk/government/organisations/government-digital-service,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,400,个,金融、供应链,加密货币支付、货物认证,阿根廷中央银行,https://www.bcra.gob.ar/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,700,个,政府、能源,电子投票、能源交易,加拿大科技部,https://www.ic.gc.ca/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,500,个,环保、金融,碳信用交易、资金透明度,澳大利亚工业部,https://www.industry.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,350,个,农业、旅游,食品溯源、旅游记录,新西兰经济发展部,https://www.mbie.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,南非,300,个,金融、物流,保险理赔、供应链透明,南非储备银行,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,550,个,金融、政府,数字货币、土地登记,俄罗斯联邦税务局,https://www.nalog.ru/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,780,个,政务、旅游,区块链支付、电子护照,阿联酋信息通信技术部,https://www.mtic.gov.ae/,2024-09-29,,,,,,,,,,,,
