年份,地区,动力电池需求量,单位,3C电池需求量,单位.1,储能电池需求量,单位.2,非电池领域需求量,单位.3,采集来源,来源链接,采集时间,备注,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2023,中东,200.0,GWh,50.0,GWh,10.0,GWh,30.0,GWh,中东能源研究所,https://www.mer.org,2024-09-18,,,,,,,,,,,
2024,亚洲,460.0,GWh,190.0,GWh,38.0,GWh,120.0,GWh,亚洲新能源网,https://www.asianrenewable.com/,2024-09-18,,,,,,,,,,,
2024,日韩,320.0,GWh,130.0,GWh,35.0,GWh,90.0,GWh,日本经济新闻,https://www.nikkei.com,2024-09-18,,,,,,,,,,,
2024,拉丁美洲,130.0,GWh,45.0,GWh,15.0,GWh,25.0,GWh,拉丁美洲电池展,https://www.latamerbatteryexpo.com,2024-09-18,,,,,,,,,,,
2024,全球,550.0,GWh,240.0,GWh,60.0,GWh,150.0,GWh,市场研究报告,https://www.marketresearch.com,2024-09-18,,,,,,,,,,,
2024,中国,400.0,GWh,150.0,GWh,30.0,GWh,70.0,GWh,中国国际电池展,https://www.chinabatteryexpo.com/,2024-09-18,,,,,,,,,,,
2024,全球,410.2,GWh,170.0,GWh,35.0,GWh,130.0,GWh,彭博新能源财经,https://about.bnef.com/,2024-09-18,,,,,,,,,,,
2024,中国,420.0,GWh,120.0,GWh,30.0,GWh,45.0,GWh,中国有色金属工业协会,https://www.chinamine.org,2024-09-18,,,,,,,,,,,
2024,美国,380.0,GWh,160.0,GWh,28.0,GWh,75.0,GWh,美国电池协会,https://www.battech.org,2024-09-18,,,,,,,,,,,
2024,美国,450.0,GWh,200.0,GWh,40.0,GWh,180.0,GWh,美国能源部,https://www.energy.gov/,2024-09-18,,,,,,,,,,,
