零部件名称,生产企业,生产所属地,供给情况,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
车轮,双星集团有限公司,山东省青岛,供给稳定,中国轮胎行业协会,http://www.ctta.org.cn,2024-09-19,,,,,,,,,,,,,
星载传感器,中科院空间科学与应用研究中心,北京,供给稳定,中国航天科技集团公司,https://www.casc.cn,2024-09-19,,,,,,,,,,,,,
变速器,长城汽车股份有限公司,保定,供给良好,长城汽车官网,https://www.gwm.com.cn,2024-09-19,,,,,,,,,,,,,
动力电池,宁德时代新能源科技股份有限公司,宁德,供给缓解,新能源汽车产业发展报告,https://www.catl.com,2024-09-19,,,,,,,,,,,,,
ABS系统,博世集团,德国,稳定供给,国际汽车工程师协会,https://www.sae.org,2024-09-19,,,,,,,,,,,,,
窄波离子束法曝光机,中微公司,上海,供给紧张,中国半导体行业协会,http://www.csia.org.cn,2024-09-19,,,,,,,,,,,,,
传动轴,长春一汽富维汽车零部件有限公司,长春,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
涡轮增压器,美驰创新科技有限公司,长春,稳定供给,汽车动力系统技术委员会,https://www.engineering.org.cn,2024-09-19,,,,,,,,,,,,,
发动机,长城汽车股份有限公司,保定,供给稳定,中国汽车产业发展月刊,https://www.gwm.com.cn,2024-09-19,,,,,,,,,,,,,
空气滤清器,曼牌滤清器公司,德国,稳定供给,德国汽车工业协会,https://www.mahle.com,2024-09-19,,,,,,,,,,,,,
