品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注
匡威,Canvas Plus、Recycled Polyester,高,耐磨、环保、舒适,休闲鞋、波鞋,公司官网,https://www.converse.com.cn/,,
Under Armour,UA Tech、HOVR,高,速干、抗菌、弹性好,运动上衣、慢跑裤,时尚新闻报道,https://www.underarmour.cn/,,
李宁,生物基材料、GreenTech,高,生态可持续、透气、防水,运动外套、跑步鞋,品牌发布会,https://www.lining.com/,,
New Balance,Fresh Foam、Oeko-Tex,中,舒适、支撑性好、环保,健身鞋、休闲鞋,时尚杂志,https://www.newbalance.com.cn/,,
ASICS,FlyteFoam、GEL技术,高,轻量、减震、耐磨,跑步鞋、运动服,公司官网,https://www.asics.com.cn/,,
PUMA,R-Rated、DryCELL,中,排汗、舒适性好,运动短裤、卫衣,用户体验调查,https://www.puma.com/,,
Gymshark,Scrunch Leggings、Flex Fabric,高,修身、透气、拉伸性好,运动紧身裤、运动背心,品牌推广活动,https://www.gymshark.com/,,
H&M,Conscious Collection、Tencel,中,环保、柔软、舒适,休闲装、基本款服饰,时尚快讯,https://www.hm.com.cn/,,
Lululemon,Nulu、Swiftly,高,极致舒适、轻薄、透气,瑜伽裤、运动短裤,公司官网,https://www.lululemon.com/,,
Outdoor Research,AscentShell、Gore-Tex,高,防水、透气、舒适,户外夹克、攀岩装备,产品评测网站,https://www.outdoorresearch.com/,,
Columbia,Omni-Tech、OMNI-Heat,高,保暖、防水、舒适,滑雪服、户外鞋,公司官网,https://www.columbia.com/,,
Avia,Air Cushion、EVA Foam,中,舒适、减震、适合日常穿着,跑步鞋、快走鞋,电商平台,https://www.avia.com/,,
Reebok,Floatride Fuel、Cotton Blend,高,轻便、透气、舒适,健身鞋、运动上衣,运动评测网站,https://www.reebok.com/,,
Fabletics,PowerHold、SoftStretch,中,高弹、舒适、亲肤,运动紧身裤、运动短袖,消费者反馈,https://www.fabletics.com/,,
Alo Yoga,Airlift、MicroModal,高,轻便、速干、极致舒适,瑜伽服、运动内衣,品牌官网,https://www.aloyoga.com/,,
On Running,CloudTec、Speedboard,高,轻量、高舒适性、减震,跑步鞋、徒步鞋,研讨会,https://www.on-running.com/,,
Decathlon,Kalenji、Domyos,中,性价比高、舒适、适合初学者,运动装备、健身器材,公司研究报告,https://www.decathlon.cn/,,
Fourlaps,Rayon、Spandex,中,速干、拉伸性好、舒适,运动衫、跑步短裤,时尚博主推荐,https://www.fourlaps.com/,,
Asics,GEL技术、FlyteFoam,高,缓震性佳、超轻、适合高强度运动,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
Under Armour,HeatGear、ColdGear,高,温控调节、透气、防潮湿,运动T恤、外套,行业杂志,https://www.underarmour.cn/,,
Lululemon,Nulu、Everlux,低,柔软、舒适、适合日常运动,瑜伽服、休闲服,用户案例,https://www.lululemon.com/,,
Mammut,DRYtech、ThermoFleece,高,防水、保暖、耐候性强,登山外套、滑雪服,户外展会,https://www.mammut.com/,,
New Balance,Fresh Foam、Air Mesh,中,舒适透气、支持性强,运动鞋、休闲鞋,运动员采访,https://www.newbalance.cn/,,
FILA,Nylon Spandex、CoolMax,高,快干、弹性好、贴身舒适,健身服、运动短裤,品牌推广活动,https://www.fila.cn/,,
PUMA,PUMA Cell、Air Mesh,中,轻便、支撑效果好、灵活性高,运动鞋、日常休闲鞋,消费者反馈,https://www.puma.com/,,
Reebok,NanoWeave、Cotton Blend,低,舒适、日常穿着、易打理,训练服、健身鞋,运动论坛,https://www.reebok.cn/,,
Champion,EcoBlend、Double Dry,高,环保材料、快速干燥、打底舒适,运动T恤、卫衣,环保活动,https://www.champion.com/,,
Gymshark,Shapewear、Seamless,高,塑形效果好、透气性强、抗撕裂,健身服、运动文胸,用户社群,https://www.gymshark.com/,,
Columbia,Omni-Tech、Omni-Wick,高,防水透气、干爽舒适、适合极端天气,户外服、登山装备,户外活动,https://www.columbia.com/,,
The North Face,GORE-TEX、Thermoball,高,强防水、保暖、透气性能卓越,野营外套、睡袋,产品发布会,https://www.thenorthface.com/,,
Alo Yoga,Airbrush、Luxe,中,超柔软、适合瑜伽、身体贴合,瑜伽裤、运动文胸,流行趋势分析,https://www.aloyoga.com/,,
Patagonia,Recycled polyester、Hemp,高,可持续材料、耐用性强、透气,户外服饰、背包,可持续发展大会,https://www.patagonia.com/,,
H&M Sports,Tencel、Recycled Polyester,中,柔软、环保、视觉美观,运动衫、休闲鞋,时尚展会,https://www.hm.com/,,
Oiselle,AeroLite、Durable Water Repellent,高,速干、抗水、适合专业跑步,跑步装、外套,专业评测,https://www.oiselle.com/,,
AERIE,SmoothStretch、EcoFriendly,中,舒适度高、适合日常活动,运动内衣、紧身裤,品牌宣传活动,https://www.aerie.com/,,
Under Armour,Threadborne、HeatGear,高,透气、快干、抗菌,运动T恤、紧身裤,行业博览会,https://www.underarmour.com.cn/,,
New Balance,Fresh Foam、Knit,高,舒适、支撑性好、轻便,跑鞋、运动鞋,消费调查,https://www.newbalance.com.cn/,,
Lululemon,Nulu、Luon,高,极致柔软、四面弹性、持久耐用,瑜伽裤、运动文胸,线上商城,https://www.lululemon.com.cn/,,
感知科技,炫彩纤维、智能温控,中,变色功能、调节温度、智能,便携外套、功能衬衫,科技新闻发布,http://www.sensetech.cn/,,
H&M,Tencel、Organic Cotton,高,环保、光滑、透气良好,休闲裤、上衣,可持续发展报告,https://www.hm.com/,,
Patagonia,Hemp、Recycled Polyester,高,可再生材料、强韧、抗紫外线,外套、登山裤,品牌官方网站,https://www.patagonia.com/,,
ASICS,Ortholite、GEL,高,抗菌、减震、舒适,跑步鞋、健身鞋,运动教育研讨会,https://www.asics.com.cn/,,
Arc'teryx,GORE-TEX、Coreloft,高,防水、保暖、轻量,登山服、冲锋衣,登山博览会,https://www.arcteryx.com/,,
Fjällräven,G-1000,中,耐磨、天然材料、可水洗,背包、户外夹克,行业报告,https://www.fjallraven.com/,,
Puma,NITRO Foam Technology,高,轻盈、反弹性好、靓丽设计,运动鞋、训练服,市场分析报告,https://www.puma.com/,,
Fanatic,Lightweight Ripstop,中,抗撕裂、易打理、轻量级,水上运动装备、冲浪服,公司网页,https://www.fanatic.com/,,
Uniqlo,AIRism、HEATTECH,高,调温、舒适透气、快速干燥,内衣、休闲服,国际时尚展,https://www.uniqlo.com/,,
The North Face,Futurelight、ThermoBall,高,防水透气、保暖、轻便,户外夹克、羽绒服,户外博览会,https://www.thenorthface.com/,,
Lacoste,Pique Cotton,中,经典设计、透气性好、耐穿,POLO衫、休闲裤,时尚杂志,https://www.lacoste.com/,,
Reebok,Cotton Blend、Flexweave,高,弹性强、支撑，耐磨性好,运动服、训练鞋,运动分析报告,https://www.reebok.com/,,
Columbia,Omni-Tech、Omni-Heat,高,防水、保暖、舒适,登山服、速干裤,公司官网,https://www.columbia.com/,,
Marmot,NanoPro、Thermal R,高,防水、防风、舒适保暖,户外外套、睡袋,专业户外论坛,https://www.marmot.com/,,
Craghoppers,NOSI Defence、AeroStretch,中,防虫、拉伸性好、快干,防蚊旅行服、户外裤,环保新闻,https://www.craghoppers.com/,,
