网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注
智能家居网络,物联网通信,Zigbee,小米科技,2023-04-18,小米,小米科技有限公司,普通家庭用户,市场研究报告,https://www.mi.com,,
智能农业传感网络,农业物联网,LoRaWAN,京东,2023-06-25,京东数据科技,京东集团,农业企业,中国农业部,https://www.jd.com,,
下一代卫星通信系统,卫星通信,5G卫星网络,SpaceX,2023-08-14,Starlink,SpaceX公司,全球用户,行业新闻,https://www.spacex.com,,
超级宽带网络,固定通信系统,PON光纤,日本电信,2022-12-01,NTT,日本电信公司,普通用户,日本通信技术中心,https://www.ntt.co.jp,,
低功耗广域网,物联网通信,Sigfox,Sigfox,2023-10-05,Sigfox SA,Sigfox全球公司,城市管理,物联网行业报告,https://www.sigfox.com,,
数字货币交易网络,金融交易通信,区块链系统,Coinbase,2023-09-20,Coinbase Global Inc.,Coinbase公司,投资者,财经新闻,https://www.coinbase.com,,
车联网服务平台,车联网通信,V2X通信,特斯拉,2023-07-15,Tesla Inc.,特斯拉公司,车主,智能交通报告,https://www.tesla.com,,
全球高速互联网接入网络,固定与移动通信,Fiber-Optic & 5G,Verizon,2023-11-01,Verizon Communications Inc.,Verizon公司,家庭与企业用户,美国联邦通信委员会,https://www.verizon.com,,
城市5G网络架构,移动通信系统,5G NR标准,AT&T,2023-05-19,AT&T Inc.,美洲电信,城市服务提供者,美国通信协会,https://www.att.com,,
无线网状网络,无线通信系统,开源无线技术,Facebook,2023-09-30,Facebook Inc.,Meta平台,农村贫困地区,技术开发报告,https://www.facebook.com,,
智能电网通信系统,能源管理通信,GSM-R,西屋电气,2023-10-12,Westinghouse Electric,西屋公司,能源公司,能源政策研究,https://www.westinghouse.com,,
全球航空通信网络,航空通信,AeroMACS,波音公司,2023-03-03,Boeing,波音航空公司,航空公司与飞行员,国际航空运输协会,https://www.boeing.com,,
无人配送网络,物流通信,无人配送技术,Amazon,2023-08-22,Amazon.com Inc.,亚马逊公司,普通消费者,电子商务研究,https://www.amazon.com,,
健康监测网络,医疗通信系统,IoMT,阿里健康,2023-01-15,阿里健康,阿里巴巴健康科技,患者与医院,医疗技术期刊,https://www.alihealth.com,,
智慧政务平台,公共服务通信,云计算系统,IBM,2023-02-11,IBM Corporation,国际商用机器公司,政府机构,政府 IT 报告,https://www.ibm.com,,
虚拟现实通信平台,娱乐科技通信,5G VR,Oculus,2023-09-05,Meta Platforms Inc.,Meta平台,游戏玩家,虚拟现实行业报告,https://www.oculus.com,,
智能制造无线通信网络,工业物联网,LoRaWAN,西门子,2023-08-15,西门子公司,西门子股份公司,制造业,行业技术报告,https://www.siemens.com,,
印度智慧乡村网络,农村通信系统,光纤接入,巴拉特电信,2023-07-02,巴拉特电信有限公司,巴拉特电信公司,农村用户,印度通信部,https://www.bsnl.co.in,,
5G智能交通网络,移动通信系统,5G NR,中国移动,2023-10-01,中国移动通信,中国移动通讯集团公司,城市交通管理,中国信息通信研究院,http://www.chinamobileltd.com,,
区块链通信网络,安全通信系统,智能合约,以太坊,2023-06-15,以太坊基金会,以太坊网络,金融科技行业,区块链技术大会,https://ethereum.org,,
非洲卫星互联网,卫星通信,Ka-band,Viasat,2023-01-30,Viasat Inc.,Viasat公司,偏远地区用户,国际通信卫星组织,https://www.viasat.com,,
量子计算通信系统,量子通信,量子纠缠,IBM,2023-09-20,IBM Quantum,国际商业机器公司,研究机构,IBM 研究院,https://www.ibm.com/quantum,,
远程医疗网络,医疗通信系统,Telehealth,Teladoc Health,2023-08-25,Teladoc,Teladoc Health Inc.,患者,健康科技公告,https://www.teladochealth.com,,
英国国家光纤网络,固定通信系统,光纤到户,BT Group,2023-04-15,英国电信,英国电信集团,家庭用户,英国通信监管局,https://www.btplc.com,,
智能家庭网络,家庭自动化,IoT设备 integration,Amazon,2023-03-30,Amazon Alexa,亚马逊公司,普通家庭,智能家居论坛,https://www.amazon.com,,
无障碍通信系统,辅助技术,即时转录,Microsoft,2023-06-05,微软公司,微软公司,有听力障碍者,无障碍技术大会,https://www.microsoft.com,,
能源管理通信网络,能源物联网,智能电表,施耐德电气,2023-09-05,施耐德,施耐德电气有限公司,公共事业公司,能源监管机构,https://www.se.com,,
欧洲多国光纤连接项目,跨国通信,国际光纤网络,Orange,2023-07-12,橙色集团,橙色电信,国际企业,欧洲电信监管局,https://group.orange.com,,
高速公路智能监控网络,安全通信系统,视频监控,Hikvision,2023-05-05,海康威视,杭州海康威视数字技术股份有限公司,交通管理机构,交通安全报告,https://www.hikvision.com,,
超高速宽带网络,固定通信系统,PON,AT&T,2023-09-18,AT&T,美国电话电报公司,普通用户,全美宽带联盟,https://www.att.com,,
全球互联网连通网络,全球通信系统,SD-WAN,Cisco,2023-08-30,思科系统,思科系统公司,跨国企业,通信技术展会,https://www.cisco.com,,
智能农业网络,智慧农业,传感器网络,John Deere,2023-09-10,约翰·迪尔公司,约翰·迪尔集团,农业用户,农业科技论坛,https://www.deere.com,,
北极通信网络,特殊区域通信,超高频,Inmarsat,2023-10-05,Inmarsat,Inmarsat Global Limited,勘探与科研团队,北极研究协会,https://www.inmarsat.com,,
智能家居网络,物联网通信,智能家居自动化,小米科技,2023-01-18,小米,小米集团,家庭用户,市场调研机构,https://www.mi.com,,
卫星互联网系统,卫星通信,低延迟卫星网络,SpaceX,2023-06-25,Starlink,Space Exploration Technologies Corp,偏远地区用户,航天科技新闻,https://www.spacex.com,,
城市5G网络,移动通信系统,5G NR,中国联通,2023-08-10,中国联通,中国联合网络通信有限公司,普通用户,中国通信研究院,https://www.chinaunicom.com,,
区域Wi-Fi网络,无线通信系统,Wi-Fi 6,爱立信,2022-12-14,Ericsson,爱立信公司,商场与公共场所,国际电信联盟,https://www.ericsson.com,,
智慧农田监控网络,物联网通信,农业监控方案,上农科技,2023-10-01,上农,上农科技有限公司,农业用户,农业科技杂志,https://www.shangnong.com,,
远程医疗通信系统,安全通信系统,医疗数据加密传输,华大基因,2023-03-15,华大基因,华大基因科技有限公司,医疗机构,中国医疗科技研究院,https://www.bgitek.com,,
