受理号（数字型）,人工智能系统名称（字符型）,人工智能系统类型（字符型）,注册分类（字符型）,申请类型（字符型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范人工智能系统类型（字符型）,规范企业名称（字符型）.1,注册版本（字符型）,采集来源,来源链接,采集时间,备注
Liaoning-YuanChuang-20241027 S0010,气候智能监测系统,环境保护,环境监测,环境监测,2023-08-01,IBM,清华大学,已完成,2023-08-05,合格,IBM环境科技,气象数据分析、模型预测与决策支持,IBM,Liaoning-YuanChuang-20241027 S0010,生态与环保,气候变化监测、环境健康评估,认知人工智能系统,IBM环境科技,V1.0,Climate Tech Journal,https://www.climatetechjournal.com/,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能聊天机器人,客户服务,软件系统,软件系统,2023-09-01,百度,哈尔滨工业大学,招募中,2023-09-05,合格,百度大脑,自然语言处理、客户支持,百度,Ningxia-JiZhi-20241106 S0020,客户咨询、售后服务,客户咨询、售后服务,自适应人工智能系统,百度大脑,V2.0,36氪,https://36kr.com,2024-10-11,
Anhui-XingFu-20241025 S0008,人工智能法律助理,法律服务,法律技术,法律技术,2023-07-30,法宝科技,北大法学院,招募中,2023-08-02,合格,法宝科技有限公司,文书生成、法律文献检索,法宝科技,Anhui-XingFu-20241025 S0008,法律咨询、文书自动生成,法律咨询、文书自动生成,窄人工智能系统,法宝科技有限公司,V1.0,Legal Automation News,https://www.legalautomationnews.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智能化环境监测系统,环境保护,监测设备,监测设备,2023-07-01,华为,清华大学,招募中,2023-07-05,待审,华为科技,空气质量监测、数据分析,华为,Shanghai-WeiXin-20241029 S0012,生态环境,环境监测、污染预防,广泛人工智能系统,华为科技,V1.0,新华网,https://techcrunch.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能健康监测系统,医疗健康,健康管理,健康管理,2023-07-01,阿里健康,中国医科大学,招募中,2023-07-05,待审,阿里健康科技,心率监测、运动追踪等功能,阿里健康,Shandong-ZuoZhe-20241023 S0006,心血管疾病、体重管理,心血管疾病、体重管理,窄域人工智能系统,阿里健康科技,V1.0,People's Daily Online,https://www.fintechnews.com,2024-10-11,
Hunan-JingZhi-20241104 S0018,智慧城市管理平台,城市管理,综合管理,综合管理,2023-08-20,华为,清华大学,已完成,2023-08-25,合格,华为城市科技,公共安全、交通管理,华为,Hunan-JingZhi-20241104 S0018,城市安全、交通优化,城市安全、交通优化,超越人类智能系统,华为城市科技,V1.0,人民网,https://www.est.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,智能社交媒体分析系统,市场营销,数据分析,数据分析,2023-09-25,新浪,复旦大学,已完成,2023-09-30,合格,新浪数据科技,社交媒体挖掘、用户行为分析,新浪,Sichuan-XinTian-20241020 S0002,市场营销,用户行为分析、品牌监测,集群智能系统,新浪数据科技,V1.0,市场营销专家网,https://www.mediamarketingexperts.com,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,虚拟试衣系统,零售,客户体验,客户体验,2023-10-01,Zara,Fashion Institute,已完成,2023-10-05,合格,Zara科技,图像识别与模拟试穿,Zara,Yunnan-ZhiHui-20241102 S0016,电子商务,客户体验提升、视觉营销,广义人工智能,Zara科技,V1.0,时尚专栏,https://www.fashioncolumn.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智能金融信贷系统,金融服务,贷款审批,贷款审批,2023-07-11,招商银行,清华大学,已完成,2023-07-18,合格,招商银行,信用评估、申请审批,招商银行,Shanghai-WeiXin-20241029 S0012,3,小额贷款审批,情感智能系统,招商银行,V1.0,Finance Innovations,https://www.financeinnovations.com,2024-10-11,
Anhui-XingFu-20241025 S0008,智能供应链管理系统,物流管理,供应链工具,供应链工具,2023-08-20,全球供应链公司,MIT,已完成,2023-08-25,合格,供应链科技,需求预测、订单优化,全球供应链公司,Anhui-XingFu-20241025 S0008,物流与运输,库存管理、成本控制,先进人工智能系统,供应链科技,V2.0,Supply Chain Digital,https://www.supplychaindigital.com/,2024-10-11,
