年份（日期型）,基础设施名称（字符型）,基础组件（字符型）,账本（字符型）,共识（字符型）,智能合约（字符型）,接口（字符型）,应用（字符型）,操作运维（字符型）,系统管理（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
2020,Hyperledger Fabric,数据层、网络层,分布式账本,PBFT、Raft,支持智能合约,REST API,企业级应用,图形化管理工具,云端管理,阿里云,https://www.huaweicloud.com/special/bcs-frame.html,2024-09-26,,,,,,,
2021,蚂蚁区块链,合约层、应用层,高性能账本,PoA,自定义智能合约,SDK,金融应用,一键式部署,多租户隔离,阿里云,http://docs-aliyun.cn-hangzhou.oss.aliyun-inc.com/pdf/baas-product_intro-cn-zh-2020-04-03.pdf,2024-09-26,,,,,,,
2022,Ethereum,网络层、共识层,公有链账本,PoW,Solidity智能合约,Web3.js,去中心化应用,自主节点管理,社区治理,ChainCatcher,https://www.chaincatcher.com/article/2117614,2024-09-26,,,,,,,
2023,Solana,执行层、数据可用性层,高速账本,PoH,Rust智能合约,JSON RPC,DeFi应用,高可用性设计,自动化监控,PerfectInfo,https://www.cnblogs.com/perfectinfo/articles/16455290.html,2024-09-26,,,,,,,
2024,Avalanche,共识层、网络层,多链账本,Avalanche共识,C智能合约,REST API,NFT市场,动态资源管理,跨链管理,ChainCatcher,https://www.chaincatcher.com/article/2117614,2024-09-26,,,,,,,
2024,Cardano,权益层、执行层,公有链账本,Ouroboros,Plutus智能合约,GraphQL API,金融服务应用,集中监控工具,弹性扩展,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2024,Tezos,共识层、治理层,自适应账本,Liquid Proof of Stake,Michelson智能合约,RPC API,数字艺术市场,无缝更新机制,社区驱动治理,The Block,https://www.theblock.co,2024-09-26,,,,,,,
2024,Zilliqa,网络层、合约层,高效能账本,SHA256共识,Scilla智能合约,REST API,数据安全应用,分布式监控,可视化仪表板,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Polkadot,网络层、协议层,跨链账本,Nominated Proof of Stake,Ink智能合约,Substrate API,多链应用,自适应路由,动态链管理,CoinTelegraph,https://cointelegraph.com,2024-09-26,,,,,,,
2024,Cosmos,应用层、网络层,模块化账本,Tendermint BFT,CosmWasm智能合约,gRPC API,治理应用,高效监察,区块链互操作性,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-26,,,,,,,
2024,Algorand,共识层、网络层,快速结算账本,Pure Proof of Stake,Algorand智能合约,REST API,支付解决方案,低延迟监控,安全审计,Medium,https://medium.com,2024-09-26,,,,,,,
2024,Flow,执行层、网络层,可扩展账本,Proof of Stake,Cadence智能合约,JSON RPC,游戏开发平台,实时反馈系统,用户友好界面,Decrypt,https://decrypt.co,2024-09-26,,,,,,,
2024,Hedera,共识层、服务层,企业级账本,Hashgraph,Hedera智能合约,REST API,合规性应用,全自动部署,智能合约审核,Hedera Forum,https://www.hedera.com,2024-09-26,,,,,,,
2024,EOSIO,网络层、合约层,高吞吐量账本,Delegated Proof of Stake,EOS智能合约,RESTful API,社交媒体平台,动态资源分配,简单集成,CoinDesk,https://www.coindesk.com,2024-09-26,,,,,,,
2022,Cardano,共识层、执行层,公有链账本,Ouroboros,Plutus智能合约,GraphQL,智能合约平台,基于CLI的管理,多层次架构,CryptoNews,https://cryptonews.com,2024-09-26,,,,,,,
