基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinaunicom.com,,
固定无线接入（FWA）,50 Mbps,300 Mbps,中,信通院,https://www.caict.ac.cn,,
光纤通信,1 Gbps,5 Gbps,高,日本NTT,https://www.ntt.co.jp,,
5G NR (新无线接入技术),100 Mbps,1 Gbps,高,高通公司,https://www.qualcomm.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,网络世界,https://www.networkworld.com,,
快速光纤接入,250 Mbps,1 Gbps,中,中国联通,https://www.chinaunicom.com,,
数字用户线增强（VDSL2）,40 Mbps,200 Mbps,中,AT&T,https://about.att.com,,
DSL光纤包,25 Mbps,150 Mbps,高,BroadbandNow,https://broadbandnow.com,,
光信号放大器,80 Mbps,600 Mbps,中,计算机网络,https://www.computerworld.com,,
企业级网络接入,500 Mbps,1.5 Gbps,高,CISCO,https://www.cisco.com,,
超高带宽光纤传输,1.5 Gbps,10 Gbps,高,Fiber Optic Association,https://www.foa.org,,
长距离光纤通信,100 Mbps,1 Gbps,高,新加坡电信,https://www.singtel.com,,
MPLS网络,200 Mbps,800 Mbps,中,Vodafone集团,https://www.vodafone.com,,
短距离无线电通信,15 Mbps,200 Mbps,低,科学美国人,https://www.scientificamerican.com,,
云网络接入,1 Gbps,10 Gbps,高,亚马逊AWS,https://aws.amazon.com,,
低轨道卫星互联网,25 Mbps,150 Mbps,低,OneWeb,https://oneweb.world,,
混合光电接入,100 Mbps,500 Mbps,中,Telecom Italia,https://www.telecomitalia.com,,
Wi-Fi 7,1.5 Gbps,30 Gbps,高,IEEE,https://www.ieee.org,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
固网宽带,40 Mbps,200 Mbps,中,腾讯科技,https://tech.qq.com/,,
微波通信,50 Mbps,500 Mbps,低,中兴通讯,https://www.zte.com.cn,,
以太网接入,2 Gbps,2 Gbps,高,京东科技,https://www.jd.com/,,
光纤通信,100 Mbps,1 Gbps,高,人民网,http://www.people.com.cn,,
4G LTE,75 Mbps,300 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
卫星宽带,10 Mbps,100 Mbps,低,中国卫星通信,http://www.chinasatellite.com,,
Wi-Fi 5,200 Mbps,3.5 Gbps,中,小米科技,https://www.mi.com/,,
5G NR,200 Mbps,1.5 Gbps,高,移动电信研究院,https://www.miit.gov.cn/,,
光纤掩埋,150 Mbps,800 Mbps,高,网易科技,https://tech.163.com/,,
无线Mesh网络,50 Mbps,700 Mbps,中,华为云,https://www.huaweicloud.com/,,
双千兆网络,1 Gbps,10 Gbps,高,爱立信,https://www.ericsson.com/,,
光纤射频接入 (RFoG),250 Mbps,1.5 Gbps,中,中国信科,https://www.casit.com.cn/,,
LoRa网络,5 Mbps,10 Mbps,低,阿里巴巴集团,https://www.alibaba.com/,,
PLC宽带,30 Mbps,200 Mbps,中,海信集团,https://www.haier.com/,,
深海光缆,75 Mbps,600 Mbps,高,光纤网络协会,https://www.fiberoptic.org/,,
人工智能网络,1 Gbps,10 Gbps,高,中科院,http://www.cas.cn/,,
SDN网络,400 Mbps,1.2 Gbps,高,新华网,http://www.xinhuanet.com/,,
光纤接入,300 Mbps,1.5 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
GPON（千兆无源光网络）,1 Gbps,2.5 Gbps,中,中国网信,https://www.cac.gov.cn/,,
混合光纤同轴电缆（HFC）,100 Mbps,600 Mbps,中,全国信息产业发展研究中心,http://www.cic.gov.cn/,,
以太网光纤接入,200 Mbps,800 Mbps,高,Netgear,https://www.netgear.com/,,
微波接入,50 Mbps,400 Mbps,中,天空网络,https://www.sky.com/,,
5G NR（新无线电）,200 Mbps,1 Gbps,高,中国移动研究院,https://www.chinamobileltd.com/,,
超低延迟网络,250 Mbps,1.5 Gbps,中,Cisco,https://www.cisco.com/,,
长距离光纤接入,70 Mbps,450 Mbps,低,亚马逊网络服务,https://aws.amazon.com/,,
4G LTE网络,100 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
太赫兹通信,500 Mbps,4 Gbps,高,清华大学,https://www.tsinghua.edu.cn/,,
Wi-Fi 7,1.2 Gbps,30 Gbps,中,网络科技协会,https://www.nwct.org/,,
移动卫星互联网,30 Mbps,200 Mbps,中,Inmarsat,https://www.inmarsat.com/,,
智能家居网络,300 Mbps,600 Mbps,高,京东科技,https://www.jd.com/,,
闭路监控接入,20 Mbps,150 Mbps,低,大华股份,https://www.dahuatech.com/,,
无缝Wi-Fi网络,500 Mbps,2 Gbps,中,TP-Link,https://www.tp-link.com/,,
大容量数据传输网络,1 Gbps,10 Gbps,高,阿里巴巴集团,https://www.alibaba.com/,,
量子通信网络,特定,特定,高,中国科学院,http://www.cas.cn/,,
光纤到户 (FTTH),100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
光纤通信,10 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn,,
3G网络,384 Kbps,3.6 Mbps,中,中国联通,https://www.chinaunicom.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,TechRadar,https://www.techradar.com,,
低轨道卫星网络,50 Mbps,500 Mbps,中,OneWeb,https://www.oneweb.world,,
4G LTE网络,50 Mbps,150 Mbps,中,中国移动,https://www.chinamobile.com,,
固定无线接入,25 Mbps,100 Mbps,中,美国FCC,https://www.fcc.gov,,
MPLS网络,200 Mbps,2 Gbps,高,思科系统,https://www.cisco.com,,
边缘计算网络,300 Mbps,1.5 Gbps,高,亚马逊网络服务,https://aws.amazon.com,,
全光网络,10 Gbps,10 Gbps,高,光通信协会,https://www.lightwaveonline.com,,
毫米波网络,1 Gbps,5 Gbps,高,Xilinx,https://www.xilinx.com,,
DSL接入,10 Mbps,50 Mbps,中,Actelis Networks,https://www.actelis.com,,
量子通信网络,特定,特定,极高,MIT,https://www.mit.edu,,
SDN网络,500 Mbps,2 Gbps,高,华为技术,https://www.huawei.com,,
车载网络 (VANET),10 Mbps,20 Mbps,中,IEEE Communications Society,https://www.comsoc.org,,
太赫兹通信,100 Gbps,1 Tbps,高,科研网,https://www.sciencenet.cn,,
Wi-Fi 7,2 Gbps,30 Gbps,中,PC Mag,https://www.pcmag.com,,
FTTN (光纤到节点),50 Mbps,200 Mbps,中,美国电信,https://www.telecom.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
移动热点,50 Mbps,150 Mbps,中,联通云,https://www.10010.com,,
光纤通道网络,500 Mbps,1.5 Gbps,高,中国科技大学,https://www.ustc.edu.cn,,
Wi-Fi 5,200 Mbps,3.5 Gbps,中,小米科技,https://www.mi.com,,
光纤射频接入 (RFoG),100 Mbps,800 Mbps,高,华为公司,https://www.huawei.com,,
以太网接入,2 Gbps,2 Gbps,高,阿里巴巴,https://www.alibaba.com,,
5G FWA (固定无线接入),100 Mbps,800 Mbps,中,中国移动,https://www.chinamobile.com,,
量子通信,特定,特定,高,清华大学量子研究院,https://www.tsinghua.edu.cn/,,
VLC (可见光通信),150 Mbps,500 Mbps,中,上海交通大学,https://www.sjtu.edu.cn,,
混合光纤同轴 (HFC),30 Mbps,600 Mbps,中,中国广播电视网,https://www.cbtv.com.cn,,
卫星互联网,100 Mbps,1 Gbps,高,NASA,https://www.nasa.gov,,
固定宽带,20 Mbps,500 Mbps,中,百度,https://www.baidu.com,,
低地球轨道网络 (LEO),30 Mbps,600 Mbps,高,亚马逊卫星互联网,https://www.amazon.com,,
DSL (数字用户线),50 Mbps,200 Mbps,中,长城宽带,http://www.greatwall.net.cn,,
人造卫星互联网,40 Mbps,350 Mbps,高,SpaceX Starlink,https://www.starlink.com,,
FTTx (光纤到任何地方),100 Mbps,2 Gbps,高,中国移动,https://www.chinamobile.com,,
移动宽带,70 Mbps,400 Mbps,中,中国电信,https://www.chinatelecom.com.cn,,
光纤到户（FTTH）,200 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
混合光纤同轴电缆（HFC）,100 Mbps,800 Mbps,中,BSkyB,https://www.sky.com,,
4G LTE,50 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com,,
未来网络（6G）,1 Gbps,10 Gbps,高,MIT研究院,https://www.mit.edu,,
DSL（数字用户线）,8 Mbps,40 Mbps,低,美国电话电报公司（AT&T）,https://www.att.com,,
微波通信,10 Mbps,200 Mbps,中,日本电信公司（NTT）,https://www.ntt.com,,
卫星光纤链路,30 Mbps,150 Mbps,中,Eutelsat,https://www.eutelsat.com,,
Wi-Fi 7,4 Gbps,46 Gbps,高,IEEE标准协会,https://www.ieee.org,,
长距离以太网接入,10 Gbps,10 Gbps,中,思科系统（Cisco）,https://www.cisco.com,,
长途光纤,1.5 Gbps,12 Gbps,高,阿根廷国家电信公司,https://www.telecom.com.ar,,
VDSL2+技术,30 Mbps,200 Mbps,中,全球互联网联盟,https://www.internetsociety.org,,
里程效益网络,500 Mbps,5 Gbps,高,高通公司,https://www.qualcomm.com,,
分布式光纤网络,2 Gbps,6 Gbps,高,硅谷技术协会,https://www.siliconvalleytech.org,,
IPv6网络,1 Gbps,8 Gbps,中,国际互联网协会（ISOC）,https://www.internetsociety.org,,
IoT智能网,200 Kbps,100 Mbps,中,华为技术,https://www.huawei.com,,
微型基站网络,300 Mbps,500 Mbps,高,小米科技,https://www.mi.com,,
新型边缘计算网络,5 Gbps,15 Gbps,高,谷歌云,https://cloud.google.com,,
光纤到户（FTTH）,1 Gbps,10 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
高速移动Wi-Fi,200 Mbps,1 Gbps,中,小米科技,https://www.mi.com,,
Synchronous Digital Hierarchy (SDH),50 Mbps,200 Mbps,高,中兴通讯,https://www.zte.com.cn,,
XGPON光纤接入,10 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
低轨卫星网络,30 Mbps,500 Mbps,中,OneWeb,https://www.oneweb.world,,
Wireless Mesh Network,100 Mbps,600 Mbps,高,Cisco,https://www.cisco.com,,
旧式铜线电话网络,1 Mbps,10 Mbps,低,运营商历史资料,https://www.ops.man,,
超级宽带接入项目,200 Mbps,3 Gbps,高,国际电信联盟,https://www.itu.int,,
微波宽带通信,50 Mbps,400 Mbps,中,电信设备制造商,https://www.wireless.com,,
LoRaWAN网络,5 Mbps,5 Mbps,高,LoRa Alliance,https://lora-alliance.org/,,
以太网光纤接入,10 Gbps,10 Gbps,高,阿里巴巴集团,https://www.alibaba.com,,
4G LTE网络,50 Mbps,150 Mbps,中,AT&T,https://www.att.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,Broadcom,https://www.broadcom.com,,
DSL接入,10 Mbps,25 Mbps,中,美国电话电报公司,https://www.att.com,,
