量子计算应用的市场规模（字符型）,应用场景类型（字符型）,领域（字符型）,算法（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
超过100亿美元,网络安全,网络,QKD（量子密钥分发）,Forbes,https://www.forbes.com/sites/quantum-security-report,2024-10-22,,,,,,,,,,,,,
30.2亿美元,量子通信,电信,QKD,Telecoms.com,https://telecoms.com/,2024-10-22,,,,,,,,,,,,,
45.8亿元（人民币）,图像处理,农业,图神经网络,农业部信息中心,http://www.moa.gov.cn,2024-10-22,,,,,,,,,,,,,
超过30亿美元,运输优化,运输与物流,QPE（量子相位估计）,McKinsey & Company,https://www.mckinsey.com/business-functions/quantum,2024-10-22,,,,,,,,,,,,,
约50亿美元,智能制造,制造业,QAOA,McKinsey & Company,https://www.mckinsey.com/business-functions/mckinsey-digital/our-insights,2024-10-22,,,,,,,,,,,,,
高达200亿元（人民币）,交通优化,城市管理,QPE（量子相位估计）,国家量子中心,http://www.chinaquantum.org,2024-10-22,,,,,,,,,,,,,
比例不详,网络安全,信息技术,QKD,Cybersecurity Ventures,https://www.cybersecurityventures.com/,2024-10-22,,,,,,,,,,,,,
40亿美元,通用量子计算,科技,HHL（量子HHL算法）,The Business Research Company,https://www.thebusinessresearchcompany.com/,2024-10-22,,,,,,,,,,,,,
超过33亿美元,交通优化,物流,QAOA,McKinsey,https://www.mckinsey.com/industries/quantum-computing,2024-10-22,,,,,,,,,,,,,
32亿美元,材料科学,制造业,VQE（变分量子特征求解器）,Market Research Future,https://www.marketresearchfuture.com/reports/quantum-computing-global-market-4949,2024-10-22,,,,,,,,,,,,,
