蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
GSM,2G,9.6 kbps - 14.4 kbps,最长35公里,低,移动电话、智能设备,中国工业和信息化部,https://zh.wikipedia.org/zh-sg/GSM,2024-10-10,
LTE,4G,300 Mbps,最长100公里,中,视频流、在线游戏,百度智能云,https://cloud.baidu.com/article/3144934,2024-10-10,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能水表、智慧城市,中国工业和信息化部,https://www.thepaper.cn/newsDetail_forward_18542222,2024-10-10,
5G,5G,10 Gbps,最长1公里,高,自动驾驶、虚拟现实,Counterpoint Research,https://www.thepaper.cn/newsDetail_forward_18542222,2024-10-10,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动电话、数据服务,中国信息通信研究院,https://www.caict.ac.cn/,,
EDGE,2.5G,100 kbps - 1 Mbps,最长25公里,低,短信服务、低数据速率应用,GSMA,https://www.gsma.com/,,
4.5G,LTE-A,1 Gbps,最长75公里,中,物联网、高清流媒体,Strategy Analytics,https://www.strategyanalytics.com/,,
6G,未来网络,100 Gbps,最长10公里,高,全息通信、智能制造,International Telecommunication Union,https://www.itu.int/,,
LPWAN,低功耗广域网,50 kbps,最长15公里,低,智能城市、环境监测,知乎,https://www.zhihu.com/,,
VoLTE,语音LTE,高通量,最长50公里,中,高清视频通话、VOIP,美国联邦通信委员会,https://www.fcc.gov/,,
FMC,固定移动融合,1-10 Gbps,最长500米,高,家庭宽带、企业解决方案,中国电信,https://www.chinatelecom.com.cn/,,
V2X,车联网,10 Mbps,最快1000米,高,智能交通、车辆安全,交通运输部,http://www.mot.gov.cn/,,
DSRC,专用短程通信,6 Mbps,最快1公里,中,车辆交互、交通管理,IEEE,https://www.ieee.org/,,
Satcom,卫星通信,数 Mbps,全球覆盖,高,远程通信、应急服务,NASA,https://www.nasa.gov/,,
TD-SCDMA,3G,2 Mbps,最长5公里,中,视频通话、移动数据,中国移动通信集团,https://www.chinamobileltd.com,,
4G LTE Advanced,4G,1 Gbps,最长80公里,中,高清视频、实时游戏,GSMA Intelligence,https://www.gsma.com,,
5G NR,5G,20 Gbps,最长500米,高,智慧城市、边缘计算,ITU,https://www.itu.int,,
Cat-M1,LPWA,1 Mbps,最长15公里,低,物联网设备、远程监控,中国信息通信研究院,https://www.caict.ac.cn,,
GPRS,2.5G,30 - 80 kbps,最长30公里,低,电子邮件、网页浏览,华为技术有限公司,https://www.huawei.com,,
HSPA+,3.5G,42 Mbps,最长10公里,中,数据服务、高流量应用,Ericsson,https://www.ericsson.com,,
LTE-U,4G,600 Mbps,最长50公里,中,公共Wi-Fi、移动宽带,英特尔公司,https://www.intel.com,,
6G,6G,下一代高速,计划中,高,全息通信、量子互联网,Nokia,https://www.nokia.com,,
V2X,5G,高达1 Gbps,最长1公里,高,智能交通、自动驾驶,汽车工业协会,https://www.sae.org,,
LoRaWAN,LPWA,50 - 300 kbps,最长30公里,低,智能农业、环境监测,LoRa联盟,https://lora-alliance.org,,
CDMA,3G,2 Mbps,最长40公里,中,语音通话、移动应用,华为技术有限公司,https://www.huawei.com/cn,,
LoRaWAN,低功耗广域网,27 kbps,最长15公里,低,物联网、智能农业,物联网日报,https://www.iotdaily.com,,
HSPA+,3G,42 Mbps,最长30公里,中,移动宽带、视频会议,中国移动,https://www.chinamobileltd.com,,
5G NR,5G,20 Gbps,最长500米,高,智能制造、增强现实,中兴通讯,https://www.zte.com.cn,,
TETRA,专用网络,28.8 kbps,最长50公里,中,公共安全、交通管理,国际电信联盟,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
4G LTE-A,4.5G,1 Gbps,最长80公里,中,高质量视频、实时游戏,德州仪器,https://www.ti.com.cn,,
Sigfox,LPWAN,600 bps,最长50公里,低,物联网、智能城市,Sigfox官方,https://www.sigfox.com,,
eSIM,虚拟SIM,基于4G/5G,不适用,中,智能手表、智能手机,GSMA,https://www.gsma.com,,
WiMAX,4G,1 Gbps,最长50公里,中,宽带接入、通讯网络,IEEE,https://www.ieee.org,,
Satellite 5G,5G,100 Mbps,全球覆盖,高,偏远地区通信、灾难恢复,业务全球服务,https://www.globalservice.com,,
UMTS,3G,384 kbps - 2 Mbps,最长30公里,中,视频通话、社交网络,国际电信联盟,https://www.itu.int/,,
CDMA,2G/3G,153 kbps - 3.1 Mbps,最长20公里,中,移动电话、数据传输,运营商技术解读,http://www.operatortech.com/,,
LTE-M,LPWA,1 Mbps,最长15公里,低,智能城市、远程监控,GSMA,https://www.gsma.com/,,
WiMAX,4G,1 Mbps - 10 Mbps,最长50公里,中,宽带接入、移动互联网,IEEE,https://www.ieee.org/,,
5G NR,5G,10 Gbps - 20 Gbps,最长500米,高,智能家居、实时业务,华为技术有限公司,https://www.huawei.com/,,
SATCOM,卫星通信,512 kbps - 25 Mbps,全球覆盖,高,远程通信、航海导航,国际卫星通信组织,http://www.isc.org/,,
TDSCDMA,3G,2 Mbps,最长25公里,中,移动视频、数据服务,中国通信研究院,http://www.ctr.org.cn/,,
NB-IoT-EU,LPWA,250 kbps,最长30公里,低,智能计量、环境监测,欧洲电信标准协会,https://www.etsi.org/,,
C-V2X,5G,1 Gbps,最长300米,高,车联网、智能交通,车用技术协会,https://www.autotechassociation.org/,,
eMTC,LPWA,1 Mbps,最长10公里,低,物联网设备、监测系统,世界移动通信大会,https://www.mwc.com/,,
UMTS,3G,384 kbps - 2 Mbps,最长30公里,中,移动宽带、视频通话,中国移动通信集团有限公司,https://www.chinamobileltd.com,,
