系统名称（字符型）,系统类型（字符型）,系统架构（字符型）,系统性能（字符型）,系统搭建环境（字符型）,系统关键功能（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
空天地海一体化设计平台,数字孪生系统,五域模型架构,时频空海地综合仿真,云计算环境,空间三维态势仿真、频谱态势应用仿真,全国科技活动周组委会,https://www.ncsti.gov.cn/kjdt/ztbd/2023kjz/jingcaizhanxiang/202305/t20230515_120403.html,2024-10-08,,,,,,,,,,,
空中交通管制系统,管制系统,分布式架构,实时数据处理能力强,专用服务器环境,飞行计划管理、航班监控,中国民用航空局,http://www.dlztb.com/zbxx/202410/188940.html,2024-10-08,,,,,,,,,,,
空天遥感数据处理系统,数据处理系统,模块化架构,高效数据分析能力,本地服务器环境,遥感影像处理、数据挖掘,遥感技术公司,http://www.aircas.ac.cn,2024-10-08,,,,,,,,,,,
空天通信网络系统,通信系统,星地一体化架构,高带宽低延迟,5G网络环境,数据传输、信号增强,通信技术研究院,https://www.kongtian.com/communication,2024-10-08,,,,,,,,,,,
空天导航与定位系统,导航系统,集成化架构,精度高、响应快,多源信号环境,实时定位、路径规划,导航技术公司,https://www.ngcc.cn/navigation,2024-10-08,,,,,,,,,,,
空天任务管理系统,管理系统,统一平台架构,多任务协调能力强,云端管理平台,任务分配、资源调度,数据科学协会,https://www.datascience.org.cn/task-management,2024-10-08,,,,,,,,,,,
智能空天监测系统,监测系统,集中式架构,高效环境监测能力,边缘计算环境,环境数据收集、实时监测预警,生态环境部,https://www.mee.gov.cn/,2024-10-08,,,,,,,,,,,
空地一体智能派遣平台,调度系统,分布式服务架构,快速响应与任务派发,虚拟化云环境,资源调度、任务监控,中国科学院,https://www.cas.cn/,2024-10-08,,,,,,,,,,,
空间数据分析与决策支持系统,决策支持系统,微服务架构,数据分析效率高,私有云环境,数据可视化、决策支持分析,中国地理信息产业协会,http://www.cagdi.org.cn/,2024-10-08,,,,,,,,,,,
高空无人机编队控制系统,无人机控制系统,模块化控制架构,高灵活性与稳定性,基于5G的控制环境,编队飞行控制、实时数据传输,无人机科技公司,https://www.uavtech.cn/,2024-10-08,,,,,,,,,,,
