区块链技术名称（字符型）,区块链技术类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,区块链技术系统概述（字符型）,区块链特征（字符型）,规范区块链类型（数字型）,采集来源,来源链接,采集时间,备注,Unnamed: 19
Cardano,公有区块链,智能合约、去中心化应用开发,开发者、用户,大型,活跃研究,提高安全性与可伸缩性,智能合约、多层架构,教育、金融服务,开放式合作,数字货币,IOHK,Cardano是一个由科学家和工程师共同研发的区块链，注重安全性和可扩展性。,可编程性、高安全性,GB/T 19488.1-2026,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,多链区块链,跨链互操作性,开发者、企业,大型,快速发展,实现链间通信,中继链、平行链,DeFi、Web 3.0,开放式合作,数字货币,Parity Technologies,Polkadot能够将多个区块链连接在一起，实现数据和价值的传输。,互操作性、弹性,GB/T 19488.1-2030,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Algorand,公有区块链,快速交易,开发者、金融机构,大型,活跃研发,实现即时交易,智能合约、金融服务,金融、供应链,开放生态,金融科技,Algorand Foundation,Algorand是一个高性能区块链，能够在毫秒内确认交易，适用于多种应用场景。,瞬时确认、高效性,GB/T 19488.1-2025,Forbes,https://www.forbes.com/,2024-09-27,,
Polkadot,公有区块链,跨链协议,开发者、企业,大型,快速发展,实现多链互操作性,平行链、共享安全,DeFi、应用开发,开放式生态系统,数字货币,Parity Technologies,Polkadot是一个多链框架，允许不同区块链之间进行安全的通信与互动。,可扩展性、互操作性,GB/T 19488.1-2029,CoinDesk,https://www.coindesk.com,2024-09-27,,
EOSIO,公有区块链,去中心化应用开发,开发者、企业,大型,新兴研究,易于开发和扩展,智能合约、DApps,企业服务、游戏,社区驱动合作,数字货币,Block.one,EOSIO是一种基于区块链的操作系统，支持高效的去中心化应用开发。,高效、易用,GB/T 19488.8-2024,TechCrunch,https://techcrunch.com,2024-09-27,,
Algorand,公有区块链,快速交易,开发者、用户,大型,活跃研究,实现低延迟交易,智能合约、资产管理,金融科技、物联网,合作联盟,数字货币,Algorand Foundation,Algorand是一个高性能的公有区块链，支持快速和安全的交易。,低延迟、高安全性,GB/T 19488.1-2023,Blockchain News,https://www.blockchainnews.com,2024-09-27,,
TRON,公有区块链,数字内容分享,内容创作者、用户,大型,成熟应用,促进数字内容的自由分发,智能合约、数字资产,娱乐、内容创作,开放式生态系统,数字货币,TRON Foundation,TRON旨在通过一个开放的平台来实现分散式内容创作与分享。,去中心化、用户驱动,GB/T 19488.1-2028,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Zilliqa,公有区块链,分片技术,开发者、企业,中型,高水平,解决网络拥堵问题,分片、智能合约,金融、广告,合作伙伴关系,数字货币,Zilliqa Research,Zilliqa是首个实施分片技术以提高区块链性能的项目之一。,高吞吐量、分片,GB/T 19488.10-2031,The Block,https://www.theblock.co,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,中型,活跃研究,实现可持续性,智能合约、权益证明,金融服务、身份验证,社区驱动合作,数字货币,IOHK、Cardano Foundation,Cardano是一个以科学哲学为基础的公有区块链，重视安全和可扩展性。,可扩展性、高安全性,GB/T 19488.2-2026,CoinDesk,https://www.coindesk.com,2024-09-27,,
Algorand,公有区块链,金融协议与应用,开发者、金融机构,中型,高水平,实现金融活力,智能合约、快速确认,金融科技、支付,战略联盟,金融科技,Algorand Foundation,Algorand采用独特的共识机制，确保快速和高效的区块确认，适用于金融应用。,高效性、去中心化,GB/T 19488.6-2030,Finextra,https://www.finextra.com,2024-09-27,,
