集成度（字符型）,类型（字符型）,特点（字符型）,设计方法（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
高集成度,集成电路（IC）,将大量元器件及其连线集成在一小块半导体晶片上,采用先进的制程技术，如7nm、5nm工艺,全国社会保障基金理事会,https://www.ssf.gov.cn/portal/rootfile/P020181031558719418004.pdf,2024-10-09,
高集成度,存储器,用于数据存储，如DRAM、NAND,利用先进的制程技术提高存储密度和降低功耗,全国社会保障基金理事会,https://www.ssf.gov.cn/portal/rootfile/P020181031558719418004.pdf,2024-10-09,
高集成度,微处理器,包括CPU、GPU、ASIC等,采用复杂指令集或特定算法进行设计,全国社会保障基金理事会,https://www.ssf.gov.cn/portal/rootfile/P020181031558719418004.pdf,2024-10-09,
中等集成度,分立器件,如二极管、三极管、晶闸管等,设计相对简单，主要进行电压电流转换或控制,IC Insights、WSTS、国际货币基金组织等,https://pdf.dfcfw.com/pdf/H3_AP202304271585956303_1.pdf?1682616734000.pdf,2024-10-09,
中等集成度,模拟电路,处理模拟信号，如放大器、滤波器,侧重于电路的线性特性和信号处理能力,IC Insights、WSTS、国际货币基金组织等,https://pdf.dfcfw.com/pdf/H3_AP202304271585956303_1.pdf?1682616734000.pdf,2024-10-09,
低集成度,光电器件,如LED、激光器,主要用于光信号的发射和接收,IC InsightsIC Insights、WSTS、国际货币基金组织等,https://pdf.dfcfw.com/pdf/H3_AP202304271585956303_1.pdf?1682616734000.pdf,2024-10-09,
低集成度,传感器,如温度传感器、压力传感器,侧重于对物理量的感知和转换,IC InsightsIC Insights、WSTS、国际货币基金组织等,https://pdf.dfcfw.com/pdf/H3_AP202304271585956303_1.pdf?1682616734000.pdf,2024-10-09,
高集成度,集成电路（IC）,具备高性能计算能力，广泛应用于人工智能和机器学习,应用先进的3nm工艺技术，优化电路布局,国际半导体产业协会,https://www.sia-online.org,,
高集成度,逻辑电路,实现复杂的逻辑运算和数据处理,采用定制化的FPGA技术，提升灵活性和效能,Gartner,https://www.gartner.com/en,,
中等集成度,电源管理IC,用于高效能电源转换和管理,结合数字和模拟技术，监控电源效率,IC Insights,https://www.icinsights.com,,
中等集成度,无线通信模块,支持5G和Wi-Fi技术，提供高速数据传输,强调天线设计和频率优化,IEEE Spectrum,https://spectrum.ieee.org,,
