量子计算应用的市场规模（字符型）,应用场景类型（字符型）,领域（字符型）,算法（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
超过25亿美元,金融风险分析,金融,QPCA（量子主成分分析）,Gartner,https://www.gartner.com/en,2024-10-22,,,,,,,,,,,,,
23亿元（人民币）,供应链优化,物流与供应链,QAOA,市场研究门户,https://www.reportlinker.com,2024-10-22,,,,,,,,,,,,,
15亿美元,气候模拟,环境科学,量子仿真,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
超过100亿美元,量子算法加速器,信息技术,QA（量子算法）,Forrester,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
9.75亿美元,药物发现,制药,QPE,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
超过60亿元（人民币）,材料科学,制造业,VQE,中国科技部,http://most.gov.cn,2024-10-22,,,,,,,,,,,,,
38亿美元,网络安全,互联网,QKD,安泰科技,https://www.anthatech.com,2024-10-22,,,,,,,,,,,,,
29.4亿美元,数据加密,IT安全,量子密钥分发,Deloitte,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
14亿元（人民币）,金融衍生品定价,金融,Variational Quantum Eigensolver (VQE),新浪财经,https://finance.sina.com.cn,2024-10-22,,,,,,,,,,,,,
3.6亿美元,量子图像处理,传媒,QML,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,量子通信,金融,QKD（量子密钥分发）,MarketsandMarkets,https://www.marketsandmarkets.com/,2024-10-22,,,,,,,,,,,,,
40亿元（人民币）,药物发现,制药,QAOA,Research Gate,https://www.researchgate.net/,2024-10-22,,,,,,,,,,,,,
5.2亿美元,金融风险评估,金融,VQE（变分量子特征求解器）,Bloomberg,https://www.bloomberg.com/,2024-10-22,,,,,,,,,,,,,
23亿美元,供应链优化,物流与运输,QML（量子机器学习）,Gartner,https://www.gartner.com/,2024-10-22,,,,,,,,,,,,,
78亿元（人民币）,量子图像处理,信息技术,QPE（量子相位估计）,IDC,https://www.idc.com/,2024-10-22,,,,,,,,,,,,,
27亿美元,精确农业,农业,QAOA,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
9.5亿美元,环境模拟,环境科学,VQE,World Economic Forum,https://www.weforum.org/,2024-10-22,,,,,,,,,,,,,
33亿美元,网络安全,信息技术,QKD,Forrester Research,https://go.forrester.com/,2024-10-22,,,,,,,,,,,,,
12亿美元,气候变化模拟,气候科学,QML,Nature,https://www.nature.com/,2024-10-22,,,,,,,,,,,,,
62亿元（人民币）,智能电网优化,能源,QPE,IEEE,https://www.ieee.org/,2024-10-22,,,,,,,,,,,,,
超过10亿美元,金融风险评估,金融,QML,McKinsey,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
25亿元（人民币）,药物开发,生物技术,QPE,Cinsight,https://www.cinsight.com,2024-10-22,,,,,,,,,,,,,
32亿美元,量子模拟,化学,VQE,International Journal of Quantum Science,https://www.ijqs.com,2024-10-22,,,,,,,,,,,,,
超过50亿美元,供应链优化,物流,QAOA,Deloitte Insights,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,智能合约,区块链,QKD,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
5.5亿美元,天气预测,气象,QML,WeatherTech,https://www.weathertech.com,2024-10-22,,,,,,,,,,,,,
21亿元（人民币）,图像识别,人工智能,QAOA,AI Research Group,https://www.airesearchgroup.com,2024-10-22,,,,,,,,,,,,,
报道称15亿美元,量子通信,通信,QKD,IEEE Quantum,https://quantum.ieee.org,2024-10-22,,,,,,,,,,,,,
100亿美元,金融建模,金融市场,QPE,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
80亿元（人民币）,能源管理,可再生能源,VQE,EIA (Energy Information Administration),https://www.eia.gov,2024-10-22,,,,,,,,,,,,,
32亿美元,药物发现,制药,QPE,Market Research Future,https://www.marketresearchfuture.com,2024-10-22,,,,,,,,,,,,,
6.2亿美元,气候建模,环境科学,量子模拟,Environmental Research Letters,https://iopscience.iop.org/journal/1748-9326,2024-10-22,,,,,,,,,,,,,
12.5亿元（人民币）,优化,物流与供应链管理,QAOA,中国物流与采购联合会,http://www.logistics.org.cn/,2024-10-22,,,,,,,,,,,,,
1.5亿美元,量子通信,网络安全,QKD,IEEE Quantum,https://quantum.ieee.org/,2024-10-22,,,,,,,,,,,,,
25亿美元,机器学习,电信,量子神经网络,Gartner Research,https://www.gartner.com/en/research,2024-10-22,,,,,,,,,,,,,
19.8亿美元,金融建模,投资银行,量子蒙特卡洛,Bloomberg Intelligence,https://www.bloomberg.com/professional/,2024-10-22,,,,,,,,,,,,,
4.3亿元（人民币）,电池材料设计,新能源,量子化学计算,清华大学,http://www.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,,
35亿美元,信息处理,计算机科学,量子图计算,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,,
55亿美元,智能合约,区块链,量子安全协议,CoinDesk,https://www.coindesk.com/,2024-10-22,,,,,,,,,,,,,
3.1亿美元,材料科学,高科技,量子状态重构,Nature Materials,https://www.nature.com/nmat/,2024-10-22,,,,,,,,,,,,,
超过15亿美元,金融风险评估,金融,QAOA（量子近似优化算法）,Grand View Research,https://www.grandviewresearch.com/industry-analysis/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
52亿元（人民币）,供应链优化,物流,VQE（变分量子特征求解器）,国际物流协会,https://www.internationallogistics.org/quantum-logistics,2024-10-22,,,,,,,,,,,,,
22亿美元,药物发现,生物技术,QPE（量子相位估计）,Mordor Intelligence,https://www.mordorintelligence.com/industry-reports/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
35亿美元,气候模拟,环境科学,QML（量子机器学习）,ResearchAndMarkets,https://www.researchandmarkets.com/reports/quantum-computing-market-analysis,2024-10-22,,,,,,,,,,,,,
超过100亿美元,网络安全,网络,QKD（量子密钥分发）,Forbes,https://www.forbes.com/sites/quantum-security-report,2024-10-22,,,,,,,,,,,,,
9.5亿美元,个性化医疗,健康科技,HHL（赫尔迈特算法）,Gartner,https://www.gartner.com/en/quantum-healthcare-trends,2024-10-22,,,,,,,,,,,,,
28亿元（人民币）,材料科学,制造业,QAOA,材料科学前沿,https://www.materialssciencejournal.com,2024-10-22,,,,,,,,,,,,,
3.2亿美元,图像处理,科技,VQE（变分量子特征求解器）,Nature Reviews,https://www.nature.com/quantum-technology,2024-10-22,,,,,,,,,,,,,
12.2亿美元,天然语言处理,人工智能,QML（量子机器学习）,MIT Technology Review,https://www.technologyreview.com/quantum-ai,2024-10-22,,,,,,,,,,,,,
45亿美元,金融投资分析,金融服务,QKD（量子密钥分发）,Bloomberg,https://www.bloomberg.com/quantum-finance,2024-10-22,,,,,,,,,,,,,
超过25.3亿美元,材料科学,科研机构,QPE,Global Market Insights,https://www.gminsights.com/,2024-10-22,,,,,,,,,,,,,
35亿元（人民币）,金融服务,金融,QAOA,中国金融科技网,https://www.fintechcn.com/,2024-10-22,,,,,,,,,,,,,
